uid,orig_commodity,orig_first_period,orig_last_period,orig_status,n_steps_in_chain,journey,family_id,latest_commodity,final_status
EXR-30011000-198801,"3001.10.00 - Glands and other organs, dried, powdered or not, for therapeutic uses (Terminated 2006-12)",1988-01,2006-10,succeeded,2,3001.10.00 -> 3001.90.00,EX-30011000-198801,"3001.90.00 - Heparin & its salts;human or animal substances for therap or prophltc uses, nes",active
EXR-30012000-198801,"3001.20.00 - Extracts of glands/other organs or of their secretions, for therapeutic uses",1988-01,2026-05,not_a_retirement,1,3001.20.00,EX-30012000-198801,"3001.20.00 - Extracts of glands/other organs or of their secretions, for therapeutic uses",not_a_retirement
EXR-30019000-198801,"3001.90.00 - Heparin & its salts;human or animal substnces for therap or prophltc uses, nes",1988-01,2006-12,active,1,3001.90.00,EX-30011000-198801,"3001.90.00 - Heparin & its salts;human or animal substances for therap or prophltc uses, nes",active
EXR-30019000-200701,"3001.90.00 - Heparin & its salts;human or animal substances for therap or prophltc uses, nes",2007-01,2026-06,active,1,3001.90.00,EX-30011000-198801,"3001.90.00 - Heparin & its salts;human or animal substances for therap or prophltc uses, nes",active
EXR-30021000-198801,"3002.10.00 - Antisera and other bld fract and mod immn prod, w/n obtained b/m of btech proc (Terminated 2016-12)",1988-01,2011-12,succeeded,2,3002.10.00 -> 3002.12.00,EX-30021000-198801,"3002.12.00 - Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",active
EXR-30021000-201201,"3002.10.00 - Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc (Terminated 2016-12)",2012-01,2016-12,succeeded,2,3002.10.00 -> 3002.12.00,EX-30021000-198801,"3002.12.00 - Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",active
EXR-30021100-201702,3002.11.00 - Malaria diagnostic test kits (Terminated 2021-12),2017-02,2021-11,left_chapter,1,3002.11.00,EX-30021100-201702,3002.11.00 - Malaria diagnostic test kits (Terminated 2021-12),left_chapter
EXR-30021200-201701,"3002.12.00 - Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",2017-01,2026-06,active,1,3002.12.00,EX-30021000-198801,"3002.12.00 - Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",active
EXR-30021300-201706,"3002.13.00 - Immunological products, unmixed, not put up in measured doses/forms/packings frs",2017-06,2026-06,active,1,3002.13.00,EX-30021300-201706,"3002.13.00 - Immunological products, unmixed, not put up in measured doses/forms/packings frs",active
EXR-30021400-201701,"3002.14.00 - Immunological products,mixed,not put in measured doses/forms/packings f ret sale",2017-01,2026-06,active,1,3002.14.00,EX-30021400-201701,"3002.14.00 - Immunological products,mixed,not put in measured doses/forms/packings f ret sale",active
