uid,orig_commodity,family_id,step_number,hs_code,description,orig_first_period,orig_last_period,step_status,next_hs_code,step_first_period,step_last_period
EXR-30011000-198801,"3001.10.00 - Glands and other organs, dried, powdered or not, for therapeutic uses (Terminated 2006-12)",EX-30011000-198801,1,3001.10.00,"Glands and other organs, dried, powdered or not, for therapeutic uses",1988-01,2006-10,succeeded,3001.90.00,1988-01,2006-10
EXR-30011000-198801,"3001.10.00 - Glands and other organs, dried, powdered or not, for therapeutic uses (Terminated 2006-12)",EX-30011000-198801,2,3001.90.00,"Heparin & its salts;human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",1988-01,2006-10,active,,1988-01,2026-06
EXR-30012000-198801,"3001.20.00 - Extracts of glands/other organs or of their secretions, for therapeutic uses",EX-30012000-198801,1,3001.20.00,"Extracts of glands/other organs or of their secretions, for therapeutic uses",1988-01,2026-05,not_a_retirement,,1988-01,2026-05
EXR-30019000-198801,"3001.90.00 - Heparin & its salts;human or animal substnces for therap or prophltc uses, nes",EX-30011000-198801,1,3001.90.00,"Heparin & its salts;human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",1988-01,2006-12,active,,1988-01,2026-06
EXR-30019000-200701,"3001.90.00 - Heparin & its salts;human or animal substances for therap or prophltc uses, nes",EX-30011000-198801,1,3001.90.00,"Heparin & its salts;human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",2007-01,2026-06,active,,2007-01,2026-06
EXR-30021000-198801,"3002.10.00 - Antisera and other bld fract and mod immn prod, w/n obtained b/m of btech proc (Terminated 2016-12)",EX-30021000-198801,1,3002.10.00,"Antisera, other blood fractions, immunological prod,whether or not mod/obtained by biotechnological process",1988-01,2011-12,succeeded,3002.12.00,1988-01,2016-12
EXR-30021000-198801,"3002.10.00 - Antisera and other bld fract and mod immn prod, w/n obtained b/m of btech proc (Terminated 2016-12)",EX-30021000-198801,2,3002.12.00,"Antisera & other blood fractions, whether or not modified/obtained by biotechnological process",1988-01,2011-12,active,,2017-01,2026-06
EXR-30021000-201201,"3002.10.00 - Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc (Terminated 2016-12)",EX-30021000-198801,1,3002.10.00,"Antisera, other blood fractions, immunological prod,whether or not mod/obtained by biotechnological process",2012-01,2016-12,succeeded,3002.12.00,2012-01,2016-12
EXR-30021000-201201,"3002.10.00 - Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc (Terminated 2016-12)",EX-30021000-198801,2,3002.12.00,"Antisera & other blood fractions, whether or not modified/obtained by biotechnological process",2012-01,2016-12,active,,2017-01,2026-06
EXR-30021100-201702,3002.11.00 - Malaria diagnostic test kits (Terminated 2021-12),EX-30021100-201702,1,3002.11.00,Malaria diagnostic test kits,2017-02,2021-11,left_chapter,,2017-02,2021-11
