uid,orig_commodity,orig_hs_code,orig_description,orig_first_period,orig_last_period,family_id,latest_commodity,latest_hs_code,latest_description,latest_status,v1_uid,v1_family_id
EXR-30011000-198801,"3001.10.00 - Glands and other organs, dried, powdered or not, for therapeutic uses (Terminated 2006-12)",3001.10.00,"Glands and other organs, dried, powdered or not, for therapeutic uses",1988-01,2006-10,EX-30011000-198801,"3001.90.00 - Heparin & its salts;human or animal substances for therap or prophltc uses, nes",3001.90.00,"Heparin & its salts;human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",active,EXR_0001,EX_0001
EXR-30012000-198801,"3001.20.00 - Extracts of glands/other organs or of their secretions, for therapeutic uses",3001.20.00,"Extracts of glands/other organs or of their secretions, for therapeutic uses",1988-01,2026-05,EX-30012000-198801,"3001.20.00 - Extracts of glands/other organs or of their secretions, for therapeutic uses",3001.20.00,"Extracts of glands/other organs or of their secretions, for therapeutic uses",not_a_retirement,EXR_0002,EX_0001
EXR-30019000-198801,"3001.90.00 - Heparin & its salts;human or animal substnces for therap or prophltc uses, nes",3001.90.00,"Heparin & its salts;human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",1988-01,2006-12,EX-30011000-198801,"3001.90.00 - Heparin & its salts;human or animal substances for therap or prophltc uses, nes",3001.90.00,"Heparin & its salts;human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",active,EXR_0004,EX_0003
EXR-30019000-200701,"3001.90.00 - Heparin & its salts;human or animal substances for therap or prophltc uses, nes",3001.90.00,"Heparin & its salts;human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",2007-01,2026-06,EX-30011000-198801,"3001.90.00 - Heparin & its salts;human or animal substances for therap or prophltc uses, nes",3001.90.00,"Heparin & its salts;human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",active,EXR_0003,EX_0003
EXR-30021000-198801,"3002.10.00 - Antisera and other bld fract and mod immn prod, w/n obtained b/m of btech proc (Terminated 2016-12)",3002.10.00,"Antisera and other blood fractions and mod immunological prod, whether or not obtained by means of biotechnological process",1988-01,2011-12,EX-30021000-198801,"3002.12.00 - Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",3002.12.00,"Antisera & other blood fractions, whether or not modified/obtained by biotechnological process",active,EXR_0005,EX_0004
EXR-30021000-201201,"3002.10.00 - Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc (Terminated 2016-12)",3002.10.00,"Antisera, other blood fractions, immunological prod,whether or not mod/obtained by biotechnological process",2012-01,2016-12,EX-30021000-198801,"3002.12.00 - Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",3002.12.00,"Antisera & other blood fractions, whether or not modified/obtained by biotechnological process",active,EXR_0006,EX_0004
EXR-30021100-201702,3002.11.00 - Malaria diagnostic test kits (Terminated 2021-12),3002.11.00,Malaria diagnostic test kits,2017-02,2021-11,EX-30021100-201702,3002.11.00 - Malaria diagnostic test kits (Terminated 2021-12),3002.11.00,Malaria diagnostic test kits,left_chapter,EXR_0007,EX_0005
EXR-30021200-201701,"3002.12.00 - Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",3002.12.00,"Antisera & other blood fractions, whether or not modified/obtained by biotechnological process",2017-01,2026-06,EX-30021000-198801,"3002.12.00 - Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",3002.12.00,"Antisera & other blood fractions, whether or not modified/obtained by biotechnological process",active,EXR_0008,EX_0004
EXR-30021300-201706,"3002.13.00 - Immunological products, unmixed, not put up in measured doses/forms/packings frs",3002.13.00,"Immunological products, unmixed, not put up in measured doses/forms/packings for retail sale",2017-06,2026-06,EX-30021300-201706,"3002.13.00 - Immunological products, unmixed, not put up in measured doses/forms/packings frs",3002.13.00,"Immunological products, unmixed, not put up in measured doses/forms/packings for retail sale",active,EXR_0009,EX_0007
EXR-30021400-201701,"3002.14.00 - Immunological products,mixed,not put in measured doses/forms/packings f ret sale",3002.14.00,"Immunological products,mixed,not put in measured doses/forms/packings for ret sale",2017-01,2026-06,EX-30021400-201701,"3002.14.00 - Immunological products,mixed,not put in measured doses/forms/packings f ret sale",3002.14.00,"Immunological products,mixed,not put in measured doses/forms/packings for ret sale",active,EXR_0010,EX_0008
EXR-30021500-201701,"3002.15.00 - Immunological products, put up in measured doses/forms/packings, for retail sale",3002.15.00,"Immunological products, put up in measured doses/forms/packings, for retail sale",2017-01,2026-06,EX-30021500-201701,"3002.15.00 - Immunological products, put up in measured doses/forms/packings, for retail sale",3002.15.00,"Immunological products, put up in measured doses/forms/packings, for retail sale",active,EXR_0011,EX_0009
EXR-30021900-201701,"3002.19.00 - Immunological products, nes, w/n modified/obtained by biotechnological processes (Terminated 2021-12)",3002.19.00,"Immunological products, not elsewhere specified, whether or not modified/obtained by biotechnological processes",2017-01,2021-12,EX-30029010-198801,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",3002.90.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",active,EXR_0012,EX_0010
EXR-30022000-198801,"3002.20.00 - Vaccines, human use (Terminated 2021-12)",3002.20.00,"Vaccines, human use",1988-01,2001-12,EX-30022000-198801,"3002.41.00 - Vaccines, for human medicine",3002.41.00,"Vaccines, for human medicine",active,EXR_0014,EX_0011
EXR-30022000-200201,3002.20.00 - Vaccines for human medicine (Terminated 2021-12),3002.20.00,Vaccines for human medicine,2002-01,2021-12,EX-30022000-198801,"3002.41.00 - Vaccines, for human medicine",3002.41.00,"Vaccines, for human medicine",active,EXR_0013,EX_0011
EXR-30023000-201701,"3002.30.00 - Vaccines, for veterinary medecine (Terminated 2021-12)",3002.30.00,"Vaccines, for veterinary medecine",2017-01,2021-12,EX-30023100-198801,"3002.42.00 - Vaccines, for veterinary medecine",3002.42.00,"Vaccines, for veterinary medecine",active,EXR_0015,EX_0012
EXR-30023010-199602,"3002.30.10 - Vaccines against foot or mouth disease, veterinary use (Terminated 2016-12)",3002.30.10,"Vaccines against foot or mouth disease, veterinary use",1996-02,2016-06,EX-30023100-198801,"3002.42.00 - Vaccines, for veterinary medecine",3002.42.00,"Vaccines, for veterinary medecine",active,EXR_0016,EX_0012
EXR-30023090-199601,"3002.30.90 - Vaccines, veterinary use, nes (Terminated 2016-12)",3002.30.90,"Vaccines, veterinary use, not elsewhere specified",1996-01,2016-12,EX-30023100-198801,"3002.42.00 - Vaccines, for veterinary medecine",3002.42.00,"Vaccines, for veterinary medecine",active,EXR_0017,EX_0012
EXR-30023100-198801,"3002.31.00 - Vaccines against foot or mouth disease, veterinary use (Terminated 1995-12)",3002.31.00,"Vaccines against foot or mouth disease, veterinary use",1988-01,1995-12,EX-30023100-198801,"3002.42.00 - Vaccines, for veterinary medecine",3002.42.00,"Vaccines, for veterinary medecine",active,,
EXR-30023900-198801,"3002.39.00 - Vaccines, veterinary use, nes (Terminated 1995-12)",3002.39.00,"Vaccines, veterinary use, not elsewhere specified",1988-01,1995-12,EX-30023100-198801,"3002.42.00 - Vaccines, for veterinary medecine",3002.42.00,"Vaccines, for veterinary medecine",active,,
EXR-30024100-202201,"3002.41.00 - Vaccines, for human medicine",3002.41.00,"Vaccines, for human medicine",2022-01,2026-06,EX-30022000-198801,"3002.41.00 - Vaccines, for human medicine",3002.41.00,"Vaccines, for human medicine",active,EXR_0018,EX_0011
EXR-30024200-202201,"3002.42.00 - Vaccines, for veterinary medecine",3002.42.00,"Vaccines, for veterinary medecine",2022-01,2026-06,EX-30023100-198801,"3002.42.00 - Vaccines, for veterinary medecine",3002.42.00,"Vaccines, for veterinary medecine",active,EXR_0019,EX_0012
EXR-30024900-202201,"3002.49.00 - Vaccines,toxins, cultures of micro-organisms (excl yeasts) and sim products, nes",3002.49.00,"Vaccines,toxins, cultures of micro-organisms (excl yeasts) and similar products, not elsewhere specified",2022-01,2026-06,EX-30024900-202201,"3002.49.00 - Vaccines,toxins, cultures of micro-organisms (excl yeasts) and sim products, nes",3002.49.00,"Vaccines,toxins, cultures of micro-organisms (excl yeasts) and similar products, not elsewhere specified",active,EXR_0020,EX_0010
EXR-30025100-202202,"3002.51.00 - Cell therapy products, whether or not modified",3002.51.00,"Cell therapy products, whether or not modified",2022-02,2026-06,EX-30025100-202202,"3002.51.00 - Cell therapy products, whether or not modified",3002.51.00,"Cell therapy products, whether or not modified",active,EXR_0021,EX_0016
EXR-30025900-202202,"3002.59.00 - Cell cultures, whether or not modified, nes",3002.59.00,"Cell cultures, whether or not modified, not elsewhere specified",2022-02,2026-06,EX-30025900-202202,"3002.59.00 - Cell cultures, whether or not modified, nes",3002.59.00,"Cell cultures, whether or not modified, not elsewhere specified",active,EXR_0022,EX_0017
EXR-30029000-198901,"3002.90.00 - Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes (Terminated 1996-12)",3002.90.00,"Human blood;animal blood for therapeutic,prophylactic or diagnostic uses; microbial preparation not elsewhere specified",1989-01,1996-12,EX-30029010-198801,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",3002.90.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",active,,
EXR-30029010-198801,"3002.90.10 - Human blood;animal blood for therap,prophtc/diag use; microbial prep,human use",3002.90.10,"Human blood;animal blood for therapeutic,prophylactic/diagnostic use; microbial preparation,human use",1988-01,1988-12,EX-30029010-198801,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",3002.90.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",active,,
EXR-30029010-199712,3002.90.10 - Ricin,3002.90.10,Ricin,1997-12,2026-06,EX-30029010-199712,3002.90.10 - Ricin,3002.90.10,Ricin,active,EXR_0023,EX_0018
EXR-30029020-198801,"3002.90.20 - Human blood;animal blood for therap,prophtc/diag use;microbial prep nes,vet use (Terminated 2016-12)",3002.90.20,"Human blood;animal blood for therapeutic,prophylactic/diagnostic use;microbial preparation not elsewhere specified,veterinary use",1988-01,1988-12,EX-30029010-198801,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",3002.90.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",active,,
EXR-30029020-199705,3002.90.20 - Saxitoxin (Terminated 2016-12),3002.90.20,Saxitoxin,1997-05,2016-11,EX-30029010-198801,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",3002.90.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",active,EXR_0024,EX_0010
EXR-30029090-199701,"3002.90.90 - Human blood;animal blood for therap,prophtc or diag uses; microbial prep, nes",3002.90.90,"Human blood;animal blood for therapeutic,prophylactic or diagnostic uses; microbial preparation, not elsewhere specified",1997-01,2011-12,EX-30029010-198801,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",3002.90.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",active,EXR_0026,EX_0020
EXR-30029090-201201,"3002.90.90 - Human blood; animal blood for therap/prophltc/diag uses;micro-organisms cult,nes",3002.90.90,"Human blood; animal blood for therapeutic/prophylactic/diagnostic uses;micro-organisms culture,not elsewhere specified",2012-01,2016-12,EX-30029010-198801,"3002.90.90 - Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",3002.90.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",active,EXR_0025,EX_0020
