uid,orig_hs_code,family_id,resolution_source,resolution_detail,official_adjudicated,official_agrees,boundary_crossed,confidence_tier,departure_from_official
EXR-30011000-198801,3001.10.00,EX-30011000-198801,analyst,the analyst accepted the proposal,no,,yes,approve,
EXR-30012000-198801,3001.20.00,EX-30012000-198801,delivery,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",no,,no,no_termination_declared,
EXR-30019000-198801,3001.90.00,EX-30011000-198801,never_retired,,not_applicable,,not_applicable,,
EXR-30019000-200701,3001.90.00,EX-30011000-198801,never_retired,,not_applicable,,not_applicable,,
EXR-30021000-198801,3002.10.00,EX-30021000-198801,analyst,the analyst accepted the proposal,yes,yes,yes,approve,
EXR-30021000-201201,3002.10.00,EX-30021000-198801,analyst,the analyst accepted the proposal,yes,yes,yes,approve,
EXR-30021100-201702,3002.11.00,EX-30021100-201702,analyst,the analyst rejected the proposal and recorded no successor in this chapter,no,,yes,reject_none,
EXR-30021200-201701,3002.12.00,EX-30021000-198801,never_retired,,not_applicable,,not_applicable,,
EXR-30021300-201706,3002.13.00,EX-30021300-201706,never_retired,,not_applicable,,not_applicable,,
EXR-30021400-201701,3002.14.00,EX-30021400-201701,never_retired,,not_applicable,,not_applicable,,
EXR-30021500-201701,3002.15.00,EX-30021500-201701,never_retired,,not_applicable,,not_applicable,,
EXR-30021900-201701,3002.19.00,EX-30029010-198801,analyst,the analyst rejected the proposal and named 3002.90.90 instead,no,,yes,reject_named,
EXR-30022000-198801,3002.20.00,EX-30022000-198801,analyst,the analyst accepted the proposal,no,,yes,approve,
EXR-30022000-200201,3002.20.00,EX-30022000-198801,analyst,the analyst accepted the proposal,no,,yes,approve,
EXR-30023000-201701,3002.30.00,EX-30023100-198801,analyst,the analyst accepted the proposal,no,,yes,approve,
EXR-30023010-199602,3002.30.10,EX-30023100-198801,analyst,the analyst accepted the proposal | the analyst accepted the proposal,no,,yes,approve,
EXR-30023090-199601,3002.30.90,EX-30023100-198801,analyst,the analyst accepted the proposal | the analyst accepted the proposal,no,,yes,approve,
EXR-30023100-198801,3002.31.00,EX-30023100-198801,analyst,the analyst accepted the proposal | the analyst accepted the proposal | the analyst accepted the proposal,no,,yes,approve,
EXR-30023900-198801,3002.39.00,EX-30023100-198801,analyst,the analyst accepted the proposal | the analyst accepted the proposal | the analyst accepted the proposal,no,,yes,approve,
EXR-30024100-202201,3002.41.00,EX-30022000-198801,never_retired,,not_applicable,,not_applicable,,
EXR-30024200-202201,3002.42.00,EX-30023100-198801,never_retired,,not_applicable,,not_applicable,,
EXR-30024900-202201,3002.49.00,EX-30024900-202201,never_retired,,not_applicable,,not_applicable,,
EXR-30025100-202202,3002.51.00,EX-30025100-202202,never_retired,,not_applicable,,not_applicable,,
EXR-30025900-202202,3002.59.00,EX-30025900-202202,never_retired,,not_applicable,,not_applicable,,
EXR-30029000-198901,3002.90.00,EX-30029010-198801,analyst,the analyst accepted the proposal,no,,no,approve,
EXR-30029010-198801,3002.90.10,EX-30029010-198801,analyst,the analyst accepted the proposal | the analyst accepted the proposal,no,,no,approve,
EXR-30029010-199712,3002.90.10,EX-30029010-199712,never_retired,,not_applicable,,not_applicable,,
EXR-30029020-198801,3002.90.20,EX-30029010-198801,analyst,the analyst accepted the proposal | the analyst accepted the proposal,no,,no,approve,
EXR-30029020-199705,3002.90.20,EX-30029010-198801,analyst,the analyst rejected the proposal and named 3002.90.90 instead,no,,yes,reject_named,
EXR-30029090-199701,3002.90.90,EX-30029010-198801,never_retired,,not_applicable,,not_applicable,,
EXR-30029090-201201,3002.90.90,EX-30029010-198801,never_retired,,not_applicable,,not_applicable,,
