link_id,flow,hs_code,description,last_traded,months_before_delivery_end,value_cad,outcome,authority,author_decision_recorded,why_it_is_not_a_retirement,what_would_change_it
exports:3001.20.00:2026-05,exports,3001.20.00,"Extracts of glands/other organs or of their secretions, for therapeutic uses",2026-05,1,77599600.00,not_a_retirement,delivery,no,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending","a termination notice for this line in a later delivery, or the number being handed to different goods"
exports:3003.10.00:2026-05,exports,3003.10.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",2026-05,1,2184328.00,not_a_retirement,delivery,no,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending","a termination notice for this line in a later delivery, or the number being handed to different goods"
exports:3004.41.00:2026-05,exports,3004.41.00,"Medicaments,cont ephedrin/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",2026-05,1,104471710.00,not_a_retirement,delivery,no,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending","a termination notice for this line in a later delivery, or the number being handed to different goods"
imports:3003.41.00.00:2026-05,imports,3003.41.00.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",2026-05,1,14190.00,not_a_retirement,delivery,no,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending","a termination notice for this line in a later delivery, or the number being handed to different goods"
imports:3004.39.00.12:2026-05,imports,3004.39.00.12,"Medi,cont anterior pituitary hormones,f human,doses/pack frs,o/t No 30.02/05/06",2026-05,1,184895196.00,not_a_retirement,delivery,no,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending","a termination notice for this line in a later delivery, or the number being handed to different goods"
imports:3004.41.00.00:2026-05,imports,3004.41.00.00,"Medicaments,cont ephedrin/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",2026-05,1,8250035.00,not_a_retirement,delivery,no,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending","a termination notice for this line in a later delivery, or the number being handed to different goods"
imports:3003.31.00.00:2026-03,imports,3003.31.00.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",2026-03,3,2797436.00,not_a_retirement,delivery,no,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending","a termination notice for this line in a later delivery, or the number being handed to different goods"
imports:3003.60.00.00:2025-08,imports,3003.60.00.00,"Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",2025-08,10,786374.00,not_a_retirement,delivery,no,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending","a termination notice for this line in a later delivery, or the number being handed to different goods"
imports:3003.43.00.00:2025-06,imports,3003.43.00.00,"Medicaments,cont norephedrine/salts,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",2025-06,12,21630.00,not_a_retirement,delivery,no,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending","a termination notice for this line in a later delivery, or the number being handed to different goods"
exports:3003.31.00:2025-05,exports,3003.31.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",2025-05,13,1208878.00,not_a_retirement,delivery,no,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending","a termination notice for this line in a later delivery, or the number being handed to different goods"
exports:3003.42.00:2024-09,exports,3003.42.00,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",2024-09,21,594838.00,not_a_retirement,delivery,yes,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending","a termination notice for this line in a later delivery, or the number being handed to different goods"
imports:3003.42.00.00:2024-01,imports,3003.42.00.00,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",2024-01,29,193.00,not_a_retirement,delivery,yes,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending","a termination notice for this line in a later delivery, or the number being handed to different goods"
exports:3003.60.00:2023-08,exports,3003.60.00,"Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",2023-08,34,7735481.00,not_a_retirement,delivery,yes,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending","a termination notice for this line in a later delivery, or the number being handed to different goods"
exports:3004.43.00:2022-03,exports,3004.43.00,"Medi,cont norephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",2022-03,51,497680.00,not_a_retirement,delivery,yes,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending","a termination notice for this line in a later delivery, or the number being handed to different goods"
exports:3003.41.00:2020-09,exports,3003.41.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",2020-09,69,16605.00,not_a_retirement,delivery,yes,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending","a termination notice for this line in a later delivery, or the number being handed to different goods"
