uid,orig_commodity,family_id,step_number,hs_code,description,orig_first_period,orig_last_period,step_status,next_hs_code,step_first_period,step_last_period
IMR-3001100010-198801,"3001.10.00.10 - Animal glands, dried, powdered or not, for therapeutic uses (Terminated 2006-12)",IM-3001100010-198801,1,3001.10.00.10,"Animal glands, dried, powdered or not, for therapeutic uses",1988-01,2006-12,succeeded,3001.90.00.90,1988-01,2006-12
IMR-3001100010-198801,"3001.10.00.10 - Animal glands, dried, powdered or not, for therapeutic uses (Terminated 2006-12)",IM-3001100010-198801,2,3001.90.00.90,"Heparin & its salts; human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",1988-01,2006-12,active,,2002-01,2026-06
IMR-3001100090-198801,"3001.10.00.90 - Glands, nes, and other organs, dried, powdered or not, for therapeutic uses (Terminated 2006-12)",IM-3001100010-198801,1,3001.10.00.90,"Glands, not elsewhere specified, and other organs, dried, powdered or not, for therapeutic uses",1988-01,2006-12,succeeded,3001.90.00.90,1988-01,2006-12
IMR-3001100090-198801,"3001.10.00.90 - Glands, nes, and other organs, dried, powdered or not, for therapeutic uses (Terminated 2006-12)",IM-3001100010-198801,2,3001.90.00.90,"Heparin & its salts; human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",1988-01,2006-12,active,,2002-01,2026-06
IMR-3001200000-198801,"3001.20.00.00 - Extracts of glands or other organs or of their secretions, for therapeutic uses",IM-3001200000-198801,1,3001.20.00.00,"Extracts of glands or other organs or of their secretions, for therapeutic uses",1988-01,2026-06,active,,1988-01,2026-06
IMR-3001900010-199801,3001.90.00.10 - Heparin and its salts,IM-3001901000-198801,1,3001.90.00.10,Heparin and its salts,1998-01,2026-06,active,,1998-01,2026-06
IMR-3001900020-199801,"3001.90.00.20 - Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",IM-3001902000-198801,1,3001.90.00.20,"Bone, organs & other human/animal tissue, living/preserved,for grafting/implantation",1998-01,2026-06,active,,1998-01,2026-06
IMR-3001900090-199801,"3001.90.00.90 - Other human or animal subs prepared for therapeutic or prophylactic uses, nes",IM-3001100010-198801,1,3001.90.00.90,"Heparin & its salts; human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",1998-01,2001-12,active,,1998-01,2026-06
IMR-3001900090-200201,"3001.90.00.90 - Heparin & its salts; human or animal substances for therap or prophltc uses, nes",IM-3001100010-198801,1,3001.90.00.90,"Heparin & its salts; human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",2002-01,2026-06,active,,2002-01,2026-06
IMR-3001901000-198801,3001.90.10.00 - Heparin and its salts (Terminated 1997-12),IM-3001901000-198801,1,3001.90.10.00,Heparin and its salts,1988-01,1997-12,succeeded,3001.90.00.10,1988-01,1997-12
IMR-3001901000-198801,3001.90.10.00 - Heparin and its salts (Terminated 1997-12),IM-3001901000-198801,2,3001.90.00.10,Heparin and its salts,1988-01,1997-12,active,,1998-01,2026-06
