uid,orig_commodity,orig_hs_code,orig_description,orig_first_period,orig_last_period,family_id,latest_commodity,latest_hs_code,latest_description,latest_status,v1_uid,v1_family_id
IMR-3001100010-198801,"3001.10.00.10 - Animal glands, dried, powdered or not, for therapeutic uses (Terminated 2006-12)",3001.10.00.10,"Animal glands, dried, powdered or not, for therapeutic uses",1988-01,2006-12,IM-3001100010-198801,"3001.90.00.90 - Heparin & its salts; human or animal substances for therap or prophltc uses, nes",3001.90.00.90,"Heparin & its salts; human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",active,IMR_0001,IM_0001
IMR-3001100090-198801,"3001.10.00.90 - Glands, nes, and other organs, dried, powdered or not, for therapeutic uses (Terminated 2006-12)",3001.10.00.90,"Glands, not elsewhere specified, and other organs, dried, powdered or not, for therapeutic uses",1988-01,2006-12,IM-3001100010-198801,"3001.90.00.90 - Heparin & its salts; human or animal substances for therap or prophltc uses, nes",3001.90.00.90,"Heparin & its salts; human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",active,IMR_0002,IM_0001
IMR-3001200000-198801,"3001.20.00.00 - Extracts of glands or other organs or of their secretions, for therapeutic uses",3001.20.00.00,"Extracts of glands or other organs or of their secretions, for therapeutic uses",1988-01,2026-06,IM-3001200000-198801,"3001.20.00.00 - Extracts of glands or other organs or of their secretions, for therapeutic uses",3001.20.00.00,"Extracts of glands or other organs or of their secretions, for therapeutic uses",active,IMR_0003,IM_0001
IMR-3001900010-199801,3001.90.00.10 - Heparin and its salts,3001.90.00.10,Heparin and its salts,1998-01,2026-06,IM-3001901000-198801,3001.90.00.10 - Heparin and its salts,3001.90.00.10,Heparin and its salts,active,IMR_0004,IM_0004
IMR-3001900020-199801,"3001.90.00.20 - Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",3001.90.00.20,"Bone, organs & other human/animal tissue, living/preserved,for grafting/implantation",1998-01,2026-06,IM-3001902000-198801,"3001.90.00.20 - Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",3001.90.00.20,"Bone, organs & other human/animal tissue, living/preserved,for grafting/implantation",active,IMR_0005,IM_0005
IMR-3001900090-199801,"3001.90.00.90 - Other human or animal subs prepared for therapeutic or prophylactic uses, nes",3001.90.00.90,"Other human or animal substances prepared for therapeutic or prophylactic uses, not elsewhere specified",1998-01,2001-12,IM-3001100010-198801,"3001.90.00.90 - Heparin & its salts; human or animal substances for therap or prophltc uses, nes",3001.90.00.90,"Heparin & its salts; human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",active,IMR_0007,IM_0006
IMR-3001900090-200201,"3001.90.00.90 - Heparin & its salts; human or animal substances for therap or prophltc uses, nes",3001.90.00.90,"Heparin & its salts; human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",2002-01,2026-06,IM-3001100010-198801,"3001.90.00.90 - Heparin & its salts; human or animal substances for therap or prophltc uses, nes",3001.90.00.90,"Heparin & its salts; human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",active,IMR_0006,IM_0006
IMR-3001901000-198801,3001.90.10.00 - Heparin and its salts (Terminated 1997-12),3001.90.10.00,Heparin and its salts,1988-01,1997-12,IM-3001901000-198801,3001.90.00.10 - Heparin and its salts,3001.90.00.10,Heparin and its salts,active,IMR_0008,IM_0004
IMR-3001902000-198801,"3001.90.20.00 - Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation (Terminated 1997-12)",3001.90.20.00,"Bone, organs & other human/animal tissue, living/preserved,for grafting/implantation",1988-01,1997-12,IM-3001902000-198801,"3001.90.00.20 - Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",3001.90.00.20,"Bone, organs & other human/animal tissue, living/preserved,for grafting/implantation",active,IMR_0009,IM_0005
IMR-3001909000-198801,"3001.90.90.00 - Other human or animal subs prepared for therapeutic or prophylactic uses, nes (Terminated 1997-12)",3001.90.90.00,"Other human or animal substances prepared for therapeutic or prophylactic uses, not elsewhere specified",1988-01,1997-12,IM-3001100010-198801,"3001.90.00.90 - Heparin & its salts; human or animal substances for therap or prophltc uses, nes",3001.90.00.90,"Heparin & its salts; human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",active,IMR_0010,IM_0006
IMR-3002100010-199801,"3002.10.00.10 - Antisera & o blood fractions, human origin, for diagnostic use (Terminated 2016-12)",3002.10.00.10,"Antisera & other blood fractions, human origin, for diagnostic use",1998-01,2016-12,IM-3002101010-198801,"3002.12.00.11 - Human antisera and other human blood fractions, for diagnostic use",3002.12.00.11,"Human antisera and other human blood fractions, for diagnostic use",active,IMR_0011,IM_0007
