uid,orig_hs_code,family_id,resolution_source,resolution_detail,official_adjudicated,official_agrees,boundary_crossed,confidence_tier,departure_from_official
IMR-3001100010-198801,3001.10.00.10,IM-3001100010-198801,analyst,the analyst accepted the proposal,no,,yes,approve,
IMR-3001100090-198801,3001.10.00.90,IM-3001100010-198801,analyst,the analyst accepted the proposal,no,,yes,approve,
IMR-3001200000-198801,3001.20.00.00,IM-3001200000-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3001900010-199801,3001.90.00.10,IM-3001901000-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3001900020-199801,3001.90.00.20,IM-3001902000-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3001900090-199801,3001.90.00.90,IM-3001100010-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3001900090-200201,3001.90.00.90,IM-3001100010-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3001901000-198801,3001.90.10.00,IM-3001901000-198801,analyst,the analyst accepted the proposal,no,,no,approve,
IMR-3001902000-198801,3001.90.20.00,IM-3001902000-198801,analyst,the analyst accepted the proposal,no,,no,approve,
IMR-3001909000-198801,3001.90.90.00,IM-3001100010-198801,analyst,the analyst accepted the proposal,no,,no,approve,
IMR-3002100010-199801,3002.10.00.10,IM-3002101010-198801,official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,decided,
IMR-3002100021-199801,3002.10.00.21,IM-3002101021-198801,official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,decided,
IMR-3002100022-199801,3002.10.00.22,IM-3002101022-198801,official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,decided,
IMR-3002100023-199801,3002.10.00.23,IM-3002101023-199001,official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,decided,
IMR-3002100029-199801,3002.10.00.29,IM-3002101022-198801,official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,decided,
IMR-3002100030-199801,3002.10.00.30,IM-3002101022-198801,analyst,the analyst accepted the proposal,yes,yes,yes,approve,
IMR-3002100030-200201,3002.10.00.30,IM-3002101022-198801,analyst,the analyst accepted the proposal,yes,yes,yes,approve,
IMR-3002100041-199801,3002.10.00.41,IM-3002102110-198801,official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,decided,
IMR-3002100042-199801,3002.10.00.42,IM-3002102110-198801,official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,decided,
IMR-3002100049-199801,3002.10.00.49,IM-3002102110-198801,official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,decided,
IMR-3002100049-200201,3002.10.00.49,IM-3002102110-198801,official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,decided,
IMR-3002100051-199801,3002.10.00.51,IM-3002102110-198801,official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,decided,
IMR-3002100059-199801,3002.10.00.59,IM-3002102920-198801,official_record,"named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,decided,
IMR-3002100060-200302,3002.10.00.60,IM-3002901020-198801,analyst;official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012 | the analyst accepted the proposal | the analyst rejected the proposal and named 3002.90.00.90 instead",yes,yes,yes,approve;decided;reject_named,
IMR-3002100090-201201,3002.10.00.90,IM-3002901020-198801,analyst,the analyst accepted the proposal | the analyst rejected the proposal and named 3002.90.00.90 instead,yes,yes,yes,approve;reject_named,
IMR-3002101010-198801,3002.10.10.10,IM-3002101010-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,approve;decided,
IMR-3002101021-198801,3002.10.10.21,IM-3002101021-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,approve;decided,
IMR-3002101022-198801,3002.10.10.22,IM-3002101022-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,approve;decided,
IMR-3002101023-199001,3002.10.10.23,IM-3002101023-199001,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,approve;decided,
IMR-3002101029-198801,3002.10.10.29,IM-3002101022-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,approve;decided,
IMR-3002101090-198801,3002.10.10.90,IM-3002101022-198801,analyst,the analyst accepted the proposal | the analyst accepted the proposal,yes,yes,yes,approve,
IMR-3002102110-198801,3002.10.21.10,IM-3002102110-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,approve;decided,
IMR-3002102120-198801,3002.10.21.20,IM-3002102110-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,approve;decided,
IMR-3002102190-198801,3002.10.21.90,IM-3002102110-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,approve;decided,
IMR-3002102910-198801,3002.10.29.10,IM-3002102110-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,approve;decided,
IMR-3002102920-198801,3002.10.29.20,IM-3002102920-198801,analyst;official_record,"the analyst accepted the proposal | the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,approve;decided,
IMR-3002102990-198801,3002.10.29.90,IM-3002102920-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2016 to 2017",yes,yes,yes,approve;decided,
IMR-3002110000-201701,3002.11.00.00,IM-3002110000-201701,analyst,the analyst rejected the proposal and recorded no successor in this chapter,no,,yes,reject_none,
IMR-3002120011-201701,3002.12.00.11,IM-3002101010-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3002120012-201701,3002.12.00.12,IM-3002101021-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3002120013-201701,3002.12.00.13,IM-3002101023-199001,never_retired,,not_applicable,,not_applicable,,
IMR-3002120019-201701,3002.12.00.19,IM-3002101022-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3002120021-201701,3002.12.00.21,IM-3002102110-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3002120029-201701,3002.12.00.29,IM-3002102920-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3002130000-201701,3002.13.00.00,IM-3002130000-201701,never_retired,,not_applicable,,not_applicable,,
IMR-3002140000-201701,3002.14.00.00,IM-3002140000-201701,never_retired,,not_applicable,,not_applicable,,
