flow,v1_uid,v1_family_id,v1_hs_code,v1_first_period,v1_last_period,v1_description,v2_record_id,v2_family_id,v2_hs_code,v2_first_period,v2_last_period,matched_on,note
exports,EXR_0001,EX_0001,3001.10.00,200003,200610,"Glands and other organs, dried, powdered or not, for therapeutic uses",EXR-30011000-198801,EX-30011000-198801,3001.10.00,198801,200610,code and last month,
exports,EXR_0002,EX_0001,3001.20.00,200001,202601,"Extracts of glands/other organs or of their secretions, for therapeutic uses",EXR-30012000-198801,EX-30012000-198801,3001.20.00,198801,202605,code alone,
exports,EXR_0003,EX_0003,3001.90.00,200701,202602,"Heparin & its salts;human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",EXR-30019000-200701,EX-30011000-198801,3001.90.00,200701,202606,code and first month,
exports,EXR_0004,EX_0003,3001.90.00,200001,200612,"Heparin & its salts;human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",EXR-30019000-198801,EX-30011000-198801,3001.90.00,198801,200612,code and last month,
exports,EXR_0005,EX_0004,3002.10.00,200001,201112,"Antisera and other blood fractions and mod immunological prod, whether or not obtained by means of biotechnological process",EXR-30021000-198801,EX-30021000-198801,3002.10.00,198801,201112,code and last month,
exports,EXR_0006,EX_0004,3002.10.00,201201,201612,"Antisera, other blood fractions, immunological prod,whether or not mod/obtained by biotechnological process",EXR-30021000-201201,EX-30021000-198801,3002.10.00,201201,201612,code and first month,
exports,EXR_0007,EX_0005,3002.11.00,201702,202111,Malaria diagnostic test kits,EXR-30021100-201702,EX-30021100-201702,3002.11.00,201702,202111,code and first month,
exports,EXR_0008,EX_0004,3002.12.00,201701,202602,"Antisera & other blood fractions, whether or not modified/obtained by biotechnological process",EXR-30021200-201701,EX-30021000-198801,3002.12.00,201701,202606,code and first month,
exports,EXR_0009,EX_0007,3002.13.00,201706,202602,"Immunological products, unmixed, not put up in measured doses/forms/packings for retail sale",EXR-30021300-201706,EX-30021300-201706,3002.13.00,201706,202606,code and first month,
exports,EXR_0010,EX_0008,3002.14.00,201701,202602,"Immunological products,mixed,not put in measured doses/forms/packings for ret sale",EXR-30021400-201701,EX-30021400-201701,3002.14.00,201701,202606,code and first month,
exports,EXR_0011,EX_0009,3002.15.00,201701,202602,"Immunological products, put up in measured doses/forms/packings, for retail sale",EXR-30021500-201701,EX-30021500-201701,3002.15.00,201701,202606,code and first month,
exports,EXR_0012,EX_0010,3002.19.00,201701,202112,"Immunological products, not elsewhere specified, whether or not modified/obtained by biotechnological processes",EXR-30021900-201701,EX-30029010-198801,3002.19.00,201701,202112,code and first month,
exports,EXR_0013,EX_0011,3002.20.00,200201,202112,Vaccines for human medicine,EXR-30022000-200201,EX-30022000-198801,3002.20.00,200201,202112,code and first month,
exports,EXR_0014,EX_0011,3002.20.00,200001,200112,"Vaccines, human use",EXR-30022000-198801,EX-30022000-198801,3002.20.00,198801,200112,code and last month,
exports,EXR_0015,EX_0012,3002.30.00,201701,202112,"Vaccines, for veterinary medecine",EXR-30023000-201701,EX-30023100-198801,3002.30.00,201701,202112,code and first month,
exports,EXR_0016,EX_0012,3002.30.10,200004,201606,"Vaccines against foot or mouth disease, veterinary use",EXR-30023010-199602,EX-30023100-198801,3002.30.10,199602,201606,code and last month,
exports,EXR_0017,EX_0012,3002.30.90,200001,201612,"Vaccines, veterinary use, not elsewhere specified",EXR-30023090-199601,EX-30023100-198801,3002.30.90,199601,201612,code and last month,
exports,EXR_0018,EX_0011,3002.41.00,202201,202602,"Vaccines, for human medicine",EXR-30024100-202201,EX-30022000-198801,3002.41.00,202201,202606,code and first month,
exports,EXR_0019,EX_0012,3002.42.00,202201,202602,"Vaccines, for veterinary medecine",EXR-30024200-202201,EX-30023100-198801,3002.42.00,202201,202606,code and first month,
exports,EXR_0020,EX_0010,3002.49.00,202201,202602,"Vaccines,toxins, cultures of micro-organisms (excl yeasts) and similar products, not elsewhere specified",EXR-30024900-202201,EX-30024900-202201,3002.49.00,202201,202606,code and first month,
exports,EXR_0021,EX_0016,3002.51.00,202202,202602,"Cell therapy products, whether or not modified",EXR-30025100-202202,EX-30025100-202202,3002.51.00,202202,202606,code and first month,
exports,EXR_0022,EX_0017,3002.59.00,202202,202602,"Cell cultures, whether or not modified, not elsewhere specified",EXR-30025900-202202,EX-30025900-202202,3002.59.00,202202,202606,code and first month,
exports,EXR_0023,EX_0018,3002.90.10,200006,202602,Ricin,EXR-30029010-199712,EX-30029010-199712,3002.90.10,199712,202606,"code, v1 range inside a v2 life",
