flow,v1_uid,v1_family_id,v1_hs_code,v1_first_period,v1_last_period,v1_description,v2_record_id,v2_family_id,v2_hs_code,v2_first_period,v2_last_period,matched_on,note
imports,IMR_0001,IM_0001,3001.10.00.10,198801,200612,"Animal glands, dried, powdered or not, for therapeutic uses",IMR-3001100010-198801,IM-3001100010-198801,3001.10.00.10,198801,200612,code and first month,
imports,IMR_0002,IM_0001,3001.10.00.90,198801,200612,"Glands, not elsewhere specified, and other organs, dried, powdered or not, for therapeutic uses",IMR-3001100090-198801,IM-3001100010-198801,3001.10.00.90,198801,200612,code and first month,
imports,IMR_0003,IM_0001,3001.20.00.00,198801,202512,"Extracts of glands or other organs or of their secretions, for therapeutic uses",IMR-3001200000-198801,IM-3001200000-198801,3001.20.00.00,198801,202606,code and first month,
imports,IMR_0004,IM_0004,3001.90.00.10,199801,202512,Heparin and its salts,IMR-3001900010-199801,IM-3001901000-198801,3001.90.00.10,199801,202606,code and first month,
imports,IMR_0005,IM_0005,3001.90.00.20,199801,202512,"Bone, organs & other human/animal tissue, living/preserved,for grafting/implantation",IMR-3001900020-199801,IM-3001902000-198801,3001.90.00.20,199801,202606,code and first month,
imports,IMR_0006,IM_0006,3001.90.00.90,200201,202512,"Heparin & its salts; human or animal substances for therapeutic or prophylactic uses, not elsewhere specified",IMR-3001900090-200201,IM-3001100010-198801,3001.90.00.90,200201,202606,code and first month,
imports,IMR_0007,IM_0006,3001.90.00.90,199801,200112,"Other human or animal substances prepared for therapeutic or prophylactic uses, not elsewhere specified",IMR-3001900090-199801,IM-3001100010-198801,3001.90.00.90,199801,200112,code and first month,
imports,IMR_0008,IM_0004,3001.90.10.00,198801,199712,Heparin and its salts,IMR-3001901000-198801,IM-3001901000-198801,3001.90.10.00,198801,199712,code and first month,
imports,IMR_0009,IM_0005,3001.90.20.00,198801,199712,"Bone, organs & other human/animal tissue, living/preserved,for grafting/implantation",IMR-3001902000-198801,IM-3001902000-198801,3001.90.20.00,198801,199712,code and first month,
imports,IMR_0010,IM_0006,3001.90.90.00,198801,199712,"Other human or animal substances prepared for therapeutic or prophylactic uses, not elsewhere specified",IMR-3001909000-198801,IM-3001100010-198801,3001.90.90.00,198801,199712,code and first month,
imports,IMR_0011,IM_0007,3002.10.00.10,199801,201612,"Antisera & other blood fractions, human origin, for diagnostic use",IMR-3002100010-199801,IM-3002101010-198801,3002.10.00.10,199801,201612,code and first month,
imports,IMR_0012,IM_0008,3002.10.00.21,199801,201612,"Blood plasma, for therapeutic or prophylactic use in humans",IMR-3002100021-199801,IM-3002101021-198801,3002.10.00.21,199801,201612,code and first month,
imports,IMR_0013,IM_0009,3002.10.00.22,199801,201612,"Normal serum globulin, for therapeutic or prophylactic use in humans",IMR-3002100022-199801,IM-3002101022-198801,3002.10.00.22,199801,201612,code and first month,
imports,IMR_0014,IM_0009,3002.10.00.23,199801,201612,"Immune serum globulin, for therapeutic or prophylactic use in humans",IMR-3002100023-199801,IM-3002101023-199001,3002.10.00.23,199801,201612,code and first month,
imports,IMR_0015,IM_0008,3002.10.00.29,199801,201612,"Antisera & other blood fractions, human orig, therapeutic/prophylactic use in humans,not elsewhere specified",IMR-3002100029-199801,IM-3002101022-198801,3002.10.00.29,199801,201612,code and first month,
imports,IMR_0016,IM_0007,3002.10.00.30,199801,200112,"Antisera & other blood fractions, of human origin, for other uses",IMR-3002100030-199801,IM-3002101022-198801,3002.10.00.30,199801,200112,code and first month,
imports,IMR_0017,IM_0007,3002.10.00.30,200201,201612,"Antisera and other blood fractions, of human origin, for other uses",IMR-3002100030-200201,IM-3002101022-198801,3002.10.00.30,200201,201612,code and first month,
imports,IMR_0018,IM_0013,3002.10.00.41,199801,201612,"Bovine albumin, for parenteral administration in humans",IMR-3002100041-199801,IM-3002102110-198801,3002.10.00.41,199801,201612,code and first month,
imports,IMR_0019,IM_0013,3002.10.00.42,199801,201612,"Sera and antisera, of animal origin, for parenteral administration in humans",IMR-3002100042-199801,IM-3002102110-198801,3002.10.00.42,199801,201612,code and first month,
imports,IMR_0020,IM_0013,3002.10.00.49,199801,200112,"Blood albumin not elsewhere specified, of animal origin, for parenteral administration in humans",IMR-3002100049-199801,IM-3002102110-198801,3002.10.00.49,199801,200112,code and first month,
imports,IMR_0021,IM_0013,3002.10.00.49,200201,201612,"Blood albumin, not elsewhere specified, of animal origin, for parenteral administration in humans",IMR-3002100049-200201,IM-3002102110-198801,3002.10.00.49,200201,201612,code and first month,
imports,IMR_0022,IM_0013,3002.10.00.51,199801,201612,"Blood fractions, not elsewhere specified, for use in humans",IMR-3002100051-199801,IM-3002102110-198801,3002.10.00.51,199801,201612,code and first month,
imports,IMR_0023,IM_0017,3002.10.00.59,199801,201612,"Blood fractions, not elsewhere specified",IMR-3002100059-199801,IM-3002102920-198801,3002.10.00.59,199801,201612,code and first month,
imports,IMR_0024,IM_0018,3002.10.00.60,200302,201112,Modified immunological products,IMR-3002100060-200302,IM-3002901020-198801,3002.10.00.60,200302,201112,code and first month,
imports,IMR_0025,IM_0018,3002.10.00.90,201201,201612,"Antisera,other blood fractions,immunological prod,whether or not mod/obtained biotechnological process,not elsewhere specified",IMR-3002100090-201201,IM-3002901020-198801,3002.10.00.90,201201,201612,code and first month,
imports,IMR_0026,IM_0007,3002.10.10.10,198801,199712,"Antisera & other blood fractions, human origin, for diagnostic use",IMR-3002101010-198801,IM-3002101010-198801,3002.10.10.10,198801,199712,code and first month,
imports,IMR_0027,IM_0008,3002.10.10.21,198801,199712,"Blood plasma, for therapeutic or prophylactic use in humans",IMR-3002101021-198801,IM-3002101021-198801,3002.10.10.21,198801,199712,code and first month,
imports,IMR_0028,IM_0009,3002.10.10.22,198801,199712,"Normal serum globulin, for therapeutic or prophylactic use in humans",IMR-3002101022-198801,IM-3002101022-198801,3002.10.10.22,198801,199712,code and first month,
imports,IMR_0029,IM_0009,3002.10.10.23,199001,199712,"Immune serum globulin, for therapeutic or prophylactic use in humans",IMR-3002101023-199001,IM-3002101023-199001,3002.10.10.23,199001,199712,code and first month,
imports,IMR_0030,IM_0008,3002.10.10.29,198801,199712,"Antisera & other blood fractions, human orig, therapeutic/prophylactic use in humans,not elsewhere specified",IMR-3002101029-198801,IM-3002101022-198801,3002.10.10.29,198801,199712,code and first month,
imports,IMR_0031,IM_0007,3002.10.10.90,198801,199712,"Antisera & other blood fractions, of human origin, for other uses",IMR-3002101090-198801,IM-3002101022-198801,3002.10.10.90,198801,199712,code and first month,
imports,IMR_0032,IM_0013,3002.10.21.10,198801,199712,"Bovine albumin, for parenteral administration in humans",IMR-3002102110-198801,IM-3002102110-198801,3002.10.21.10,198801,199712,code and first month,
imports,IMR_0033,IM_0013,3002.10.21.20,198801,199712,"Sera and antisera, of animal origin, for parenteral administration in humans",IMR-3002102120-198801,IM-3002102110-198801,3002.10.21.20,198801,199712,code and first month,
imports,IMR_0034,IM_0013,3002.10.21.90,198801,199712,"Blood albumin not elsewhere specified, of animal origin, for parenteral administration in humans",IMR-3002102190-198801,IM-3002102110-198801,3002.10.21.90,198801,199712,code and first month,
imports,IMR_0035,IM_0013,3002.10.29.10,198801,199712,"Blood fractions, not elsewhere specified, for use in humans",IMR-3002102910-198801,IM-3002102110-198801,3002.10.29.10,198801,199712,code and first month,
imports,IMR_0036,IM_0020,3002.10.29.20,198801,199104,"Blood fractions, not elsewhere specified, for use in animals",IMR-3002102920-198801,IM-3002102920-198801,3002.10.29.20,198801,199104,code and first month,
imports,IMR_0037,IM_0017,3002.10.29.90,198801,199712,"Blood fractions, not elsewhere specified",IMR-3002102990-198801,IM-3002102920-198801,3002.10.29.90,198801,199712,code and first month,
imports,IMR_0038,IM_0021,3002.11.00.00,201701,202112,Malaria diagnostic test kits,IMR-3002110000-201701,IM-3002110000-201701,3002.11.00.00,201701,202112,code and first month,
imports,IMR_0039,IM_0007,3002.12.00.11,201701,202512,"Human antisera and other human blood fractions, for diagnostic use",IMR-3002120011-201701,IM-3002101010-198801,3002.12.00.11,201701,202606,code and first month,
imports,IMR_0040,IM_0008,3002.12.00.12,201701,202512,"Human blood plasma, for therapeutic/prophylactic/other uses",IMR-3002120012-201701,IM-3002101021-198801,3002.12.00.12,201701,202606,code and first month,
imports,IMR_0041,IM_0009,3002.12.00.13,201701,202512,"Human immune globulin, for therapeutic/prophylactic/other uses",IMR-3002120013-201701,IM-3002101023-199001,3002.12.00.13,201701,202606,code and first month,
imports,IMR_0042,IM_0017,3002.12.00.19,201701,202512,"Human antisera and other human blood fractions, not elsewhere specified",IMR-3002120019-201701,IM-3002101022-198801,3002.12.00.19,201701,202606,code and first month,
imports,IMR_0043,IM_0013,3002.12.00.21,201701,202512,"Animal antisera and other animal blood fractions, for use in humans",IMR-3002120021-201701,IM-3002102110-198801,3002.12.00.21,201701,202606,code and first month,
imports,IMR_0044,IM_0020,3002.12.00.29,201701,202512,"Animal antisera and other animal blood fractions, not elsewhere specified",IMR-3002120029-201701,IM-3002102920-198801,3002.12.00.29,201701,202606,code and first month,
imports,IMR_0045,IM_0028,3002.13.00.00,201701,202512,"Immunological products, unmixed, not put up in measured doses/forms/packings for retail sale",IMR-3002130000-201701,IM-3002130000-201701,3002.13.00.00,201701,202606,code and first month,
imports,IMR_0046,IM_0029,3002.14.00.00,201701,202512,"Immunological products,mixed,not put in measured doses/forms/packings for ret sale",IMR-3002140000-201701,IM-3002140000-201701,3002.14.00.00,201701,202606,code and first month,
imports,IMR_0047,IM_0030,3002.15.00.00,201701,202512,"Immunological products, put up in measured doses/forms/packings, for retail sale",IMR-3002150000-201701,IM-3002150000-201701,3002.15.00.00,201701,202606,code and first month,
imports,IMR_0048,IM_0018,3002.19.00.00,201701,202112,"Immunological products, not elsewhere specified, whether or not modified/obtained by biotechnological processes",IMR-3002190000-201701,IM-3002901020-198801,3002.19.00.00,201701,202112,code and first month,
imports,IMR_0049,IM_0032,3002.20.00.10,198802,202112,"Vaccines against influenza virus, for human use",IMR-3002200010-198802,IM-3002200010-198802,3002.20.00.10,198802,202112,code and first month,
imports,IMR_0050,IM_0033,3002.20.00.20,198801,201112,"Vaccines against rubella (german measles), for human use",IMR-3002200020-198801,IM-3002200020-198801,3002.20.00.20,198801,201112,code and first month,
imports,IMR_0051,IM_0033,3002.20.00.30,198801,201111,"Vaccines against rabies, for human use",IMR-3002200030-198801,IM-3002200020-198801,3002.20.00.30,198801,201111,code and first month,
imports,IMR_0052,IM_0033,3002.20.00.90,198801,202112,"Vaccines, not elsewhere specified, for human medicine",IMR-3002200090-198801,IM-3002200020-198801,3002.20.00.90,198801,202112,code and first month,
imports,IMR_0053,IM_0036,3002.30.00.10,199801,202112,Vacc agnst foot and mth disse; vacc prepared for parenteral administration; bovi intrnsl vacc,IMR-3002300010-199801,IM-3002391000-198801,3002.30.00.10,199801,202112,code and first month,
imports,IMR_0054,IM_0037,3002.30.00.90,199801,202112,"Vaccines, veterinary use, not elsewhere specified",IMR-3002300090-199801,IM-3002310000-198801,3002.30.00.90,199801,202112,code and first month,
imports,IMR_0055,IM_0036,3002.30.10.00,199601,199712,Vacc agnst foot and mth disse; vacc prepared for parenteral administration; bovi intrnsl vacc,IMR-3002301000-199601,IM-3002391000-198801,3002.30.10.00,199601,199712,code and first month,
imports,IMR_0056,IM_0037,3002.30.90.00,199601,199712,"Vaccines, veterinary use, not elsewhere specified",IMR-3002309000-199601,IM-3002310000-198801,3002.30.90.00,199601,199712,code and first month,
imports,IMR_0057,IM_0037,3002.31.00.00,198801,199507,"Vaccines against foot or mouth disease, veterinary use",IMR-3002310000-198801,IM-3002310000-198801,3002.31.00.00,198801,199507,code and first month,
imports,IMR_0058,IM_0036,3002.39.10.00,198801,199512,"Vaccines not elsewhere specified, prepared for parenteral administration in animal; bovine intranasal vaccine",IMR-3002391000-198801,IM-3002391000-198801,3002.39.10.00,198801,199512,code and first month,
imports,IMR_0059,IM_0037,3002.39.90.00,198801,199512,"Vaccines, veterinary use, not elsewhere specified",IMR-3002399000-198801,IM-3002310000-198801,3002.39.90.00,198801,199512,code and first month,
imports,IMR_0060,IM_0032,3002.41.00.10,202201,202512,"Vaccines, for against influenza virus, human medicine",IMR-3002410010-202201,IM-3002200010-198802,3002.41.00.10,202201,202606,code and first month,
imports,IMR_0061,IM_0033,3002.41.00.90,202201,202512,"Vaccines, other than for against influenza virus, human medicine, not elsewhere specified",IMR-3002410090-202201,IM-3002200020-198801,3002.41.00.90,202201,202606,code and first month,
imports,IMR_0062,IM_0036,3002.42.00.10,202201,202512,Vaccines agnst foot and mth disse;vacc prepared for parenteral administration;bovi intrnsl vacc,IMR-3002420010-202201,IM-3002391000-198801,3002.42.00.10,202201,202606,code and first month,
imports,IMR_0063,IM_0037,3002.42.00.90,202201,202512,"Vaccines, veterinary use, not elsewhere specified",IMR-3002420090-202201,IM-3002310000-198801,3002.42.00.90,202201,202606,code and first month,
imports,IMR_0064,IM_0042,3002.49.00.10,202201,202512,"Cultures, of micro-organisms (excluding yeasts) and similar products",IMR-3002490010-202201,IM-3002900050-201701,3002.49.00.10,202201,202606,code and first month,
imports,IMR_0065,IM_0043,3002.49.00.20,202201,202512,Toxins and similar products,IMR-3002490020-202201,IM-3002901010-198801,3002.49.00.20,202201,202606,code and first month,
imports,IMR_0066,IM_0018,3002.49.00.90,202201,202512,"Vaccines,toxins,cultures of micro-organisms (excl yeasts) & similar products,not elsewhere specified",IMR-3002490090-202201,IM-3002490090-202201,3002.49.00.90,202201,202606,code and first month,
imports,IMR_0067,IM_0045,3002.51.00.00,202201,202512,"Cell therapy products, whether or not modified",IMR-3002510000-202201,IM-3002510000-202201,3002.51.00.00,202201,202606,code and first month,
imports,IMR_0068,IM_0046,3002.59.00.00,202201,202512,"Cell cultures, whether or not modified, not elsewhere specified",IMR-3002590000-202201,IM-3002590000-202201,3002.59.00.00,202201,202606,code and first month,
