obsolete_2011,new_2012,obsolete_raw,new_raw,pdf_page
2925.29.90.90,3002.10.00.90,2925299090,3002100090,49
2933.29.90.90,3002.10.00.90,2933299090,3002100090,49
2934.99.99.90,3002.10.00.90,2934999990,3002100090,49
2937.90.11.00,3002.10.00.90,2937901100,3002100090,49
2937.90.19.00,3002.10.00.90,2937901900,3002100090,49
2937.90.90.00,3002.10.00.90,2937909000,3002100090,49
3002.10.00.60,3002.10.00.90,3002100060,3002100090,49
3002.20.00.20,3002.20.00.90,3002200020,3002200090,50
3002.20.00.30,3002.20.00.90,3002200030,3002200090,50
3002.20.00.90,3002.10.00.90,3002200090,3002100090,49
3002.20.00.90,3002.20.00.90,3002200090,3002200090,50
3002.90.00.91,3002.90.00.91,3002900091,3002900091,50
3002.90.00.92,3002.90.00.92,3002900092,3002900092,50
3002.90.00.93,3002.90.00.93,3002900093,3002900093,50
3002.90.00.99,3002.10.00.90,3002900099,3002100090,49
3002.90.00.99,3002.90.00.99,3002900099,3002900099,50
3003.31.00.10,3003.31.00.00,3003310010,3003310000,50
3003.31.00.90,3003.31.00.00,3003310090,3003310000,50
3003.39.00.10,3003.39.00.00,3003390010,3003390000,50
3003.39.00.90,3003.39.00.00,3003390090,3003390000,50
3003.90.00.10,3003.90.00.90,3003900010,3003900090,50
3003.90.00.20,3003.90.00.90,3003900020,3003900090,50
3003.90.00.91,3003.90.00.30,3003900091,3003900030,50
3003.90.00.99,3003.90.00.90,3003900099,3003900090,50
3004.10.00.11,3004.10.00.10,3004100011,3004100010,50
3004.10.00.12,3004.10.00.10,3004100012,3004100010,50
3004.10.00.13,3004.10.00.10,3004100013,3004100010,50
3004.10.00.19,3004.10.00.10,3004100019,3004100010,50
3004.10.00.20,3004.10.00.10,3004100020,3004100010,50
3004.10.00.31,3004.10.00.90,3004100031,3004100090,50
3004.10.00.32,3004.10.00.90,3004100032,3004100090,50
3004.20.00.10,3004.20.00.19,3004200010,3004200019,50
3004.20.00.20,3004.20.00.11,3004200020,3004200011,50
3004.20.00.31,3004.20.00.13,3004200031,3004200013,50
3004.20.00.39,3004.20.00.18,3004200039,3004200018,50
3004.20.00.41,3004.20.00.19,3004200041,3004200019,50
3004.20.00.49,3004.20.00.19,3004200049,3004200019,50
3004.20.00.51,3004.20.00.19,3004200051,3004200019,50
3004.20.00.59,3004.20.00.19,3004200059,3004200019,50
3004.20.00.61,3004.20.00.19,3004200061,3004200019,50
3004.20.00.62,3004.20.00.19,3004200062,3004200019,50
3004.20.00.63,3004.20.00.12,3004200063,3004200012,50
3004.20.00.69,3004.20.00.19,3004200069,3004200019,50
3004.20.00.71,3004.20.00.80,3004200071,3004200080,50
3004.20.00.79,3004.20.00.90,3004200079,3004200090,50
3004.31.00.10,3004.31.00.00,3004310010,3004310000,50
3004.31.00.90,3004.31.00.00,3004310090,3004310000,50
3004.32.00.11,3004.32.00.00,3004320011,3004320000,50
3004.32.00.19,3004.32.00.00,3004320019,3004320000,50
3004.32.00.20,3004.32.00.00,3004320020,3004320000,50
3004.39.00.10,3004.39.00.11,3004390010,3004390011,50
3004.39.00.10,3004.39.00.19,3004390010,3004390019,50
