obsolete_2016,new_2017
3002.10.00.10,3002.12.00.11
3002.10.00.21,3002.12.00.12
3002.10.00.22,3002.12.00.19
3002.10.00.23,3002.12.00.13
3002.10.00.29,3002.12.00.19
3002.10.00.30,3002.12.00.12
3002.10.00.30,3002.12.00.13
3002.10.00.30,3002.12.00.19
3002.10.00.41,3002.12.00.21
3002.10.00.42,3002.12.00.21
3002.10.00.49,3002.12.00.21
3002.10.00.51,3002.12.00.21
3002.10.00.59,3002.12.00.29
3002.10.00.90,3002.11.00.00
3002.10.00.90,3002.13.00.00
3002.10.00.90,3002.14.00.00
3002.10.00.90,3002.15.00.00
3002.10.00.90,3002.19.00.00
3002.90.00.11,3002.90.00.10
3002.90.00.12,3002.90.00.10
3002.90.00.19,3002.90.00.10
3002.90.00.20,3002.90.00.90
3002.90.00.91,3002.90.00.90
3002.90.00.92,3002.90.00.40
3002.90.00.93,3002.90.00.90
3002.90.00.99,3002.90.00.50
3002.90.00.99,3002.90.00.90
3003.40.00.00,3003.41.00.00
3003.40.00.00,3003.42.00.00
3003.40.00.00,3003.43.00.00
3003.40.00.00,3003.49.00.00
3003.90.00.30,3003.90.00.30
3003.90.00.90,3003.60.00.00
3003.90.00.90,3003.90.00.90
3004.40.00.30,3004.49.00.90
3004.40.00.40,3004.49.00.10
3004.40.00.90,3004.41.00.00
3004.40.00.90,3004.42.00.00
3004.40.00.90,3004.43.00.00
3004.40.00.90,3004.49.00.90
3004.50.00.13,3004.50.00.19
3004.50.00.19,3004.50.00.19
3004.90.00.31,3004.90.00.31
3004.90.00.32,3004.90.00.32
3004.90.00.33,3004.90.00.33
3004.90.00.34,3004.90.00.34
3004.90.00.35,3004.90.00.35
3004.90.00.36,3004.90.00.36
3004.90.00.39,3004.60.00.00
3004.90.00.39,3004.90.00.39
3004.90.00.42,3004.90.00.42
3004.90.00.43,3004.90.00.43
3004.90.00.49,3004.60.00.00
3004.90.00.49,3004.90.00.49
3004.90.00.50,3004.60.00.00
3004.90.00.50,3004.90.00.50
3004.90.00.61,3004.60.00.00
3004.90.00.61,3004.90.00.61
3004.90.00.69,3004.60.00.00
3004.90.00.69,3004.90.00.69
3004.90.00.71,3004.90.00.71
3004.90.00.72,3004.90.00.72
3004.90.00.73,3004.90.00.73
3004.90.00.74,3004.60.00.00
3004.90.00.74,3004.90.00.74
3004.90.00.75,3004.90.00.75
3004.90.00.76,3004.90.00.76
3004.90.00.77,3004.90.00.77
3004.90.00.78,3004.90.00.78
3004.90.00.79,3004.60.00.00
3004.90.00.79,3004.90.00.79
3004.90.00.90,3004.60.00.00
3004.90.00.90,3004.90.00.90
3006.60.00.10,3006.60.00.00
3006.60.00.90,3006.60.00.00
