link_id,decision,decided_on,decided_on_basis,decided_on_source,changed_after_first_entry
exports:3002.90.10:1988-12,accept,2026-08-11,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",44527e55a,no
exports:3002.90.20:1988-12,accept,2026-08-11,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",3a0be2a77,no
exports:3004.10.10:1988-12,accept,2026-08-11,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",3a0be2a77,no
exports:3004.10.20:1988-12,accept,2026-08-11,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",3a0be2a77,no
exports:3004.20.10:1988-12,accept,2026-08-11,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",44527e55a,no
exports:3004.20.20:1988-12,accept,2026-08-11,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",3a0be2a77,no
exports:3004.39.10:1988-12,accept,2026-08-11,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",44527e55a,no
exports:3004.39.20:1988-12,accept,2026-08-11,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",3a0be2a77,no
exports:3004.90.10:1988-12,accept,2026-08-11,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",44527e55a,no
exports:3004.90.20:1988-12,accept,2026-08-11,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",44527e55a,no
imports:3002.90.10.10:1996-12,accept,2026-08-11,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",44527e55a,no
imports:3003.40.90.00:1997-12,accept,2026-08-11,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",3a0be2a77,no
imports:3004.90.10.90:1997-12,accept,2026-08-11,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",44527e55a,no
imports:3004.90.99.40:1989-12,accept,2026-08-11,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",44527e55a,no
exports:3001.10.00:2006-10,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",1c2000205,no
exports:3002.11.00:2021-11,reject,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5c69e449e,no
exports:3002.30.10:2016-06,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",d8af79eaa,no
exports:3002.30.90:2016-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
exports:3002.31.00:1995-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
