year_label,hs10,tariff_item8,ss,heading4,description,uom,group_header,page,source_file
2017,3001.20.00.00,3001.20.00,00,30.01,Extracts of glands or other organs or of their secretions,KGM,,468,PS35-7-2017-eng.pdf
2017,3001.90.00.10,3001.90.00,10,30.01,Heparin and its salts,KGM,,468,PS35-7-2017-eng.pdf
2017,3001.90.00.20,3001.90.00,20,30.01,"Bone, organs and other human or animal tissue, living or preserved, suitable for permanent grafting or implantation",KGM,,468,PS35-7-2017-eng.pdf
2017,3001.90.00.90,3001.90.00,90,30.01,Other,KGM,,468,PS35-7-2017-eng.pdf
2017,3002.11.00.00,3002.11.00,00,30.02,Malaria diagnostic test kits,NMB,,469,PS35-7-2017-eng.pdf
2017,3002.12.00.11,3002.12.00,11,30.02,For diagnostic use,KGM,Human antisera and other human blood fractions,469,PS35-7-2017-eng.pdf
2017,3002.12.00.12,3002.12.00,12,30.02,"Other, blood plasma",KGM,Human antisera and other human blood fractions,469,PS35-7-2017-eng.pdf
2017,3002.12.00.13,3002.12.00,13,30.02,"Other, immune globulin",KGM,Human antisera and other human blood fractions,469,PS35-7-2017-eng.pdf
2017,3002.12.00.19,3002.12.00,19,30.02,Other,KGM,Human antisera and other human blood fractions,469,PS35-7-2017-eng.pdf
2017,3002.12.00.21,3002.12.00,21,30.02,For use in humans,KGM,Animal antisera and other animal blood fractions,469,PS35-7-2017-eng.pdf
2017,3002.12.00.29,3002.12.00,29,30.02,Other,KGM,Animal antisera and other animal blood fractions,469,PS35-7-2017-eng.pdf
2017,3002.13.00.00,3002.13.00,00,30.02,"Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",KGM,,469,PS35-7-2017-eng.pdf
2017,3002.14.00.00,3002.14.00,00,30.02,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",KGM,,469,PS35-7-2017-eng.pdf
2017,3002.15.00.00,3002.15.00,00,30.02,"Immunological products, put up in measured doses or in forms or packings for retail sale",KGM,,469,PS35-7-2017-eng.pdf
2017,3002.19.00.00,3002.19.00,00,30.02,Other,KGM,,469,PS35-7-2017-eng.pdf
2017,3002.20.00.10,3002.20.00,10,30.02,Against influenza virus,-,,469,PS35-7-2017-eng.pdf
2017,3002.20.00.90,3002.20.00,90,30.02,Other,-,,469,PS35-7-2017-eng.pdf
2017,3002.30.00.10,3002.30.00,10,30.02,Vaccines against foot and mouth disease; Vaccines prepared for parenteral administration; Bovine intranasal vaccines,-,,470,PS35-7-2017-eng.pdf
2017,3002.30.00.90,3002.30.00,90,30.02,Other,-,,470,PS35-7-2017-eng.pdf
2017,3002.90.00.10,3002.90.00,10,30.02,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",KGM,,470,PS35-7-2017-eng.pdf
2017,3002.90.00.30,3002.90.00,30,30.02,"Dried blood, of animal origin, whether or not soluble",-,,470,PS35-7-2017-eng.pdf
2017,3002.90.00.40,3002.90.00,40,30.02,Whole human blood,KGM,,470,PS35-7-2017-eng.pdf
2017,3002.90.00.50,3002.90.00,50,30.02,Micro-organisms cultures,KGM,,470,PS35-7-2017-eng.pdf
2017,3002.90.00.90,3002.90.00,90,30.02,Other,KGM,,470,PS35-7-2017-eng.pdf
2017,3003.10.00.00,3003.10.00,00,30.03,"Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",KGM,,470,PS35-7-2017-eng.pdf
2017,3003.20.00.00,3003.20.00,00,30.03,"Other, containing antibiotics",KGM,,470,PS35-7-2017-eng.pdf
2017,3003.31.00.00,3003.31.00,00,30.03,Containing insulin,KGM,,470,PS35-7-2017-eng.pdf
2017,3003.39.00.00,3003.39.00,00,30.03,Other,KGM,,470,PS35-7-2017-eng.pdf
2017,3003.41.00.00,3003.41.00,00,30.03,Containing ephedrine or its salts,KGM,,471,PS35-7-2017-eng.pdf
2017,3003.42.00.00,3003.42.00,00,30.03,Containing pseudoephedrine (INN) or its salts,KGM,,471,PS35-7-2017-eng.pdf
2017,3003.43.00.00,3003.43.00,00,30.03,Containing norephedrine or its salts,KGM,,471,PS35-7-2017-eng.pdf
2017,3003.49.00.00,3003.49.00,00,30.03,Other,KGM,,471,PS35-7-2017-eng.pdf
2017,3003.60.00.00,3003.60.00,00,30.03,"Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",KGM,,471,PS35-7-2017-eng.pdf
2017,3003.90.00.30,3003.90.00,30,30.03,Containing acetaminophen,KGM,,471,PS35-7-2017-eng.pdf
2017,3003.90.00.90,3003.90.00,90,30.03,Other,KGM,,471,PS35-7-2017-eng.pdf
2017,3004.10.00.10,3004.10.00,10,30.04,For human use,-,,471,PS35-7-2017-eng.pdf
2017,3004.10.00.90,3004.10.00,90,30.04,Other,-,,472,PS35-7-2017-eng.pdf
2017,3004.20.00.11,3004.20.00,11,30.04,Containing cephalosporins,-,For human use,472,PS35-7-2017-eng.pdf
2017,3004.20.00.12,3004.20.00,12,30.04,Containing vancomycin,-,For human use,472,PS35-7-2017-eng.pdf
2017,3004.20.00.13,3004.20.00,13,30.04,Containing erythromycin,-,For human use,472,PS35-7-2017-eng.pdf
2017,3004.20.00.18,3004.20.00,18,30.04,"Other, containing macrolides",-,For human use,472,PS35-7-2017-eng.pdf
2017,3004.20.00.19,3004.20.00,19,30.04,Other,-,For human use,472,PS35-7-2017-eng.pdf
2017,3004.20.00.80,3004.20.00,80,30.04,"Other, containing ivermectin",-,,472,PS35-7-2017-eng.pdf
2017,3004.20.00.90,3004.20.00,90,30.04,Other,-,,472,PS35-7-2017-eng.pdf
2017,3004.31.00.00,3004.31.00,00,30.04,Containing insulin,-,,472,PS35-7-2017-eng.pdf
2017,3004.32.00.00,3004.32.00,00,30.04,"Containing corticosteroid hormones, their derivatives or structural analogues",-,,472,PS35-7-2017-eng.pdf
2017,3004.39.00.11,3004.39.00,11,30.04,"Epinephrine, its solutions and pituitary extracts",-,For human use,472,PS35-7-2017-eng.pdf
2017,3004.39.00.12,3004.39.00,12,30.04,Containing anterior pituitary hormones,-,For human use,472,PS35-7-2017-eng.pdf
2017,3004.39.00.13,3004.39.00,13,30.04,Containing unmixed single estrogens,-,For human use,472,PS35-7-2017-eng.pdf
2017,3004.39.00.19,3004.39.00,19,30.04,Other,-,For human use,472,PS35-7-2017-eng.pdf
2017,3004.39.00.90,3004.39.00,90,30.04,Other,-,,472,PS35-7-2017-eng.pdf
2017,3004.41.00.00,3004.41.00,00,30.04,Containing ephedrine or its salts,KGM,,472,PS35-7-2017-eng.pdf
2017,3004.42.00.00,3004.42.00,00,30.04,Containing pseudoephedrine (INN) or its salts,KGM,,473,PS35-7-2017-eng.pdf
2017,3004.43.00.00,3004.43.00,00,30.04,Containing norephedrine or its salts,KGM,,473,PS35-7-2017-eng.pdf
2017,3004.49.00.10,3004.49.00,10,30.04,Containing morphine or derivatives thereof,KGM,,473,PS35-7-2017-eng.pdf
2017,3004.49.00.90,3004.49.00,90,30.04,Other,KGM,,473,PS35-7-2017-eng.pdf
2017,3004.50.00.11,3004.50.00,11,30.04,"Containing a single vitamin, not mixed with other supplements",-,For human use,473,PS35-7-2017-eng.pdf
2017,3004.50.00.12,3004.50.00,12,30.04,"Containing a single vitamin, mixed with other supplements",-,For human use,473,PS35-7-2017-eng.pdf
2017,3004.50.00.14,3004.50.00,14,30.04,"Containing multivitamins, mixed with other supplements",-,For human use,473,PS35-7-2017-eng.pdf
2017,3004.50.00.19,3004.50.00,19,30.04,Other,-,For human use,473,PS35-7-2017-eng.pdf
2017,3004.50.00.90,3004.50.00,90,30.04,Other,-,,473,PS35-7-2017-eng.pdf
2017,3004.60.00.00,3004.60.00,00,30.04,"Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",KGM,,473,PS35-7-2017-eng.pdf
2017,3004.90.00.11,3004.90.00,11,30.04,Amino acids,-,"Mixtures of amino acids and mixtures of amino acids and protein hydrolysates, whether or not containing added minerals, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders; Liver extracts, pituitary extracts, fractiMixtures of amino acids and mixtures of amino acids and protein hydrolysates, whether or not containing added minerals, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders; Liver extracts, pituitary extracts, fractionated soya oil emulsions, dextrose (glucose) solutions and levulose (fructose) solutions, prepared for parenteral administration",473,PS35-7-2017-eng.pdf
2017,3004.90.00.12,3004.90.00,12,30.04,Dextrose (glucose) and levulose (fructose) solutions,-,"Mixtures of amino acids and mixtures of amino acids and protein hydrolysates, whether or not containing added minerals, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders; Liver extracts, pituitary extracts, fractiMixtures of amino acids and mixtures of amino acids and protein hydrolysates, whether or not containing added minerals, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders; Liver extracts, pituitary extracts, fractionated soya oil emulsions, dextrose (glucose) solutions and levulose (fructose) solutions, prepared for parenteral administration",473,PS35-7-2017-eng.pdf
2017,3004.90.00.19,3004.90.00,19,30.04,Other,-,"Mixtures of amino acids and mixtures of amino acids and protein hydrolysates, whether or not containing added minerals, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders; Liver extracts, pituitary extracts, fractiMixtures of amino acids and mixtures of amino acids and protein hydrolysates, whether or not containing added minerals, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders; Liver extracts, pituitary extracts, fractionated soya oil emulsions, dextrose (glucose) solutions and levulose (fructose) solutions, prepared for parenteral administration",474,PS35-7-2017-eng.pdf
2017,3004.90.00.31,3004.90.00,31,30.04,Analgesics,KGM,"Other, for human use, acting on the nervous system",474,PS35-7-2017-eng.pdf
2017,3004.90.00.32,3004.90.00,32,30.04,Antidepressants and tranquilizers,KGM,"Other, for human use, acting on the nervous system",474,PS35-7-2017-eng.pdf
2017,3004.90.00.33,3004.90.00,33,30.04,Antihypertensive agents,KGM,"Other, for human use, acting on the nervous system",474,PS35-7-2017-eng.pdf
2017,3004.90.00.34,3004.90.00,34,30.04,Antihistaminic agents,KGM,"Other, for human use, acting on the nervous system",474,PS35-7-2017-eng.pdf
2017,3004.90.00.35,3004.90.00,35,30.04,"Other agents, acting on the central nervous system",KGM,"Other, for human use, acting on the nervous system",474,PS35-7-2017-eng.pdf
2017,3004.90.00.36,3004.90.00,36,30.04,Local anaesthetics,KGM,"Other, for human use, acting on the nervous system",474,PS35-7-2017-eng.pdf
2017,3004.90.00.39,3004.90.00,39,30.04,Other,KGM,"Other, for human use, acting on the nervous system",474,PS35-7-2017-eng.pdf
2017,3004.90.00.42,3004.90.00,42,30.04,Laxatives,KGM,"Other, for human use, gastrointestinal agents",474,PS35-7-2017-eng.pdf
2017,3004.90.00.43,3004.90.00,43,30.04,Antacids,KGM,"Other, for human use, gastrointestinal agents",474,PS35-7-2017-eng.pdf
2017,3004.90.00.49,3004.90.00,49,30.04,Other,KGM,"Other, for human use, gastrointestinal agents",474,PS35-7-2017-eng.pdf
2017,3004.90.00.50,3004.90.00,50,30.04,"Other, for human use, acting on the cardio-vascular system",KGM,,474,PS35-7-2017-eng.pdf
2017,3004.90.00.61,3004.90.00,61,30.04,Containing sulfonamides,KGM,"Other, for human use, anti-infective agents",474,PS35-7-2017-eng.pdf
2017,3004.90.00.69,3004.90.00,69,30.04,Other,KGM,"Other, for human use, anti-infective agents",474,PS35-7-2017-eng.pdf
2017,3004.90.00.71,3004.90.00,71,30.04,Haematological agents,KGM,"Other, for human use",474,PS35-7-2017-eng.pdf
2017,3004.90.00.72,3004.90.00,72,30.04,Antineoplastic agents,KGM,"Other, for human use",474,PS35-7-2017-eng.pdf
2017,3004.90.00.73,3004.90.00,73,30.04,Cough or cold preparations,KGM,"Other, for human use",474,PS35-7-2017-eng.pdf
2017,3004.90.00.74,3004.90.00,74,30.04,"Primarily affecting the eyes, ears or respiratory system",KGM,"Other, for human use",474,PS35-7-2017-eng.pdf
2017,3004.90.00.75,3004.90.00,75,30.04,Diuretics,KGM,"Other, for human use",474,PS35-7-2017-eng.pdf
2017,3004.90.00.76,3004.90.00,76,30.04,"Primarily affecting electrolytic, caloric or water balance",KGM,"Other, for human use",474,PS35-7-2017-eng.pdf
2017,3004.90.00.77,3004.90.00,77,30.04,Dermatological agents,KGM,"Other, for human use",474,PS35-7-2017-eng.pdf
2017,3004.90.00.78,3004.90.00,78,30.04,Containing hyaluronic acid or its sodium salt,KGM,"Other, for human use",474,PS35-7-2017-eng.pdf
2017,3004.90.00.79,3004.90.00,79,30.04,Other,KGM,"Other, for human use",474,PS35-7-2017-eng.pdf
2017,3004.90.00.90,3004.90.00,90,30.04,Other,KGM,,474,PS35-7-2017-eng.pdf
2017,3005.10.00.10,3005.10.00,10,30.05,Coated or impregnated with pharmaceutical substances,-,,474,PS35-7-2017-eng.pdf
2017,3005.10.00.91,3005.10.00,91,30.05,Adhesive dressings,-,Other,474,PS35-7-2017-eng.pdf
2017,3005.10.00.99,3005.10.00,99,30.05,Other,-,Other,474,PS35-7-2017-eng.pdf
2017,3005.90.00.20,3005.90.00,20,30.05,Coated or impregnated with pharmaceutical substances,-,,474,PS35-7-2017-eng.pdf
2017,3005.90.00.30,3005.90.00,30,30.05,"Surgical dressings, not stitched or otherwise manufactured, not coated or impregnated with pharmaceutical substances",-,,474,PS35-7-2017-eng.pdf
2017,3005.90.00.40,3005.90.00,40,30.05,"Other, of woven fabrics, other than woven fabrics solely of cotton; Of knitted fabrics, nonwovens or felts",-,,474,PS35-7-2017-eng.pdf
2017,3005.90.00.90,3005.90.00,90,30.05,Other,-,,474,PS35-7-2017-eng.pdf
2017,3006.10.00.10,3006.10.00,10,30.06,Sterile surgical catgut and similar sterile suture materials for surgical wound closure,-,,475,PS35-7-2017-eng.pdf
2017,3006.10.00.90,3006.10.00,90,30.06,Other,-,,475,PS35-7-2017-eng.pdf
2017,3006.20.00.20,3006.20.00,20,30.06,Of animal origin,-,,475,PS35-7-2017-eng.pdf
2017,3006.20.00.90,3006.20.00,90,30.06,Other,-,,475,PS35-7-2017-eng.pdf
2017,3006.30.00.10,3006.30.00,10,30.06,Opacifying preparations for X-ray examinations,-,,475,PS35-7-2017-eng.pdf
2017,3006.30.00.90,3006.30.00,90,30.06,Other,-,,475,PS35-7-2017-eng.pdf
2017,3006.40.00.10,3006.40.00,10,30.06,Dental cements and bone reconstruction cements,-,,475,PS35-7-2017-eng.pdf
2017,3006.40.00.90,3006.40.00,90,30.06,Other,-,,475,PS35-7-2017-eng.pdf
2017,3006.50.00.00,3006.50.00,00,30.06,First-aid boxes and kits,-,,475,PS35-7-2017-eng.pdf
2017,3006.60.00.00,3006.60.00,00,30.06,"Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",KGM,,475,PS35-7-2017-eng.pdf
2017,3006.70.10.00,3006.70.10,00,30.06,"Chemical or biological preparations, including kits containing ancillary articles or materials, for medical diagnosis; To be employed in the insemination of animal semen",-,,476,PS35-7-2017-eng.pdf
2017,3006.70.90.00,3006.70.90,00,30.06,Other,-,,476,PS35-7-2017-eng.pdf
2017,3006.91.00.00,3006.91.00,00,30.06,Appliances identifiable for ostomy use,-,,476,PS35-7-2017-eng.pdf
2017,3006.92.00.00,3006.92.00,00,30.06,Waste pharmaceuticals,-,,476,PS35-7-2017-eng.pdf
