boundary,direction,hs10,description
2006->2007,DIED,3001.10.00.10,Animal glands
2006->2007,DIED,3001.10.00.90,Other
2006->2007,DIED,3006.80.11.00,"Chemical or biological preparations, including kits containing ancillary articles or materials, for medical diagnosis; To be employed in the insemination of animal semen"
2006->2007,DIED,3006.80.19.00,Other
2006->2007,DIED,3006.80.90.10,Of the goods of heading 30.01
2006->2007,DIED,3006.80.90.20,Of the goods of heading 30.02
2006->2007,DIED,3006.80.90.30,Of the goods of heading 30.03
2006->2007,DIED,3006.80.90.41,Of the goods of subheadings 3004.10 to 3004.39
2006->2007,DIED,3006.80.90.42,Of the goods of subheadings 3004.40 or 3004.50
2006->2007,DIED,3006.80.90.43,Of the goods of subheading 3004.90
2006->2007,DIED,3006.80.90.50,Of the goods of heading 30.05
2006->2007,DIED,3006.80.90.60,Of the goods of heading 30.06
2006->2007,BORN,3006.91.00.00,Appliances identifiable for ostomy use
2006->2007,BORN,3006.92.00.00,Waste pharmaceuticals
2011->2012,DIED,3002.10.00.60,Modified immunological products
2011->2012,DIED,3002.20.00.20,Against rubella (German measles)
2011->2012,DIED,3002.20.00.30,Against rabies
2011->2012,DIED,3003.31.00.10,Prepared for parenteral administration in humans
2011->2012,DIED,3003.31.00.90,Other
2011->2012,DIED,3003.39.00.10,"Epinephrine and its solutions, prepared for parenteral administration in humans"
2011->2012,DIED,3003.39.00.90,Other
2011->2012,DIED,3003.90.00.10,"Fractionated soya oil emulsions, prepared for parenteral administration; mixtures of amino acids and mixtures of amino acids and protein hydrolysates, whether or not containing added minerals, vitamins, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders; dextrose (glucose) solutions and levulose (fructose) solutions, prepared for parenteral administration"
2011->2012,DIED,3003.90.00.20,Containing more than 23% of absolute ethyl alcohol by volume
2011->2012,DIED,3003.90.00.91,Containing acetaminophen
2011->2012,DIED,3003.90.00.99,Other
2011->2012,DIED,3004.10.00.11,Containing penicillin G sodium
2011->2012,DIED,3004.10.00.12,Containing penicillin V
2011->2012,DIED,3004.10.00.13,Containing amoxacillin
2011->2012,DIED,3004.10.00.19,Other
2011->2012,DIED,3004.10.00.20,"For human use, containing streptomycins or their derivatives"
2011->2012,DIED,3004.10.00.31,Containing penicillins or derivatives thereof
2011->2012,DIED,3004.10.00.32,Containing streptomycins or derivatives thereof
2011->2012,DIED,3004.20.00.10,"For human use, containing tetracyclines or their derivatives"
2011->2012,DIED,3004.20.00.20,"For human use, containing cephalosporins"
2011->2012,DIED,3004.20.00.31,Containing erythromycin
2011->2012,DIED,3004.20.00.39,Other
2011->2012,DIED,3004.20.00.41,Containing gentamycins
2011->2012,DIED,3004.20.00.49,Other
2011->2012,DIED,3004.20.00.51,Containing bacitracin
2011->2012,DIED,3004.20.00.59,Other
2011->2012,DIED,3004.20.00.61,Containing chloramphenicol
2011->2012,DIED,3004.20.00.62,Containing mitomycin C
2011->2012,DIED,3004.20.00.63,Containing vancomycin
2011->2012,DIED,3004.20.00.69,Other
2011->2012,DIED,3004.20.00.71,Containing ivermectin
2011->2012,DIED,3004.20.00.79,Other
2011->2012,DIED,3004.31.00.10,"Insulin, whether or not mixed with zinc, globin or protamine, prepared for parenteral administration"
2011->2012,DIED,3004.31.00.90,Other
2011->2012,DIED,3004.32.00.11,Containing hydrocortisone
2011->2012,DIED,3004.32.00.19,Other
2011->2012,DIED,3004.32.00.20,For veterinary use
