year,hs10,tariff_item8,description,uom
2005,3001.10.00.10,3001.10.00,Animal glands,KGM
2005,3001.10.00.90,3001.10.00,Other,KGM
2005,3001.20.00.00,3001.20.00,Extracts of glands or other organs or of their secretions,KGM
2005,3001.90.00.10,3001.90.00,Heparin and its salts,KGM
2005,3001.90.00.20,3001.90.00,"Bone, organs and other human or animal tissue, living or preserved, suitable for permanent grafting or implantation",KGM
2005,3001.90.00.90,3001.90.00,Other,KGM
2005,3002.10.00.10,3002.10.00,"Human antisera and other human blood fractions, for diagnostic use",KGM
2005,3002.10.00.21,3002.10.00,Blood plasma,KGM
2005,3002.10.00.22,3002.10.00,Normal serum globulin,KGM
2005,3002.10.00.23,3002.10.00,Immune serum globulin,KGM
2005,3002.10.00.29,3002.10.00,Other,KGM
2005,3002.10.00.30,3002.10.00,"Human antisera and other human blood fractions, for other uses",KGM
2005,3002.10.00.41,3002.10.00,Bovine albumin,KGM
2005,3002.10.00.42,3002.10.00,Sera and antisera,KGM
2005,3002.10.00.49,3002.10.00,Other,KGM
2005,3002.10.00.51,3002.10.00,For use in humans,KGM
2005,3002.10.00.59,3002.10.00,Other,KGM
2005,3002.10.00.60,3002.10.00,Modified immunological products,KGM
2005,3002.20.00.10,3002.20.00,Against influenza virus,-
2005,3002.20.00.20,3002.20.00,Against rubella (German measles),-
2005,3002.20.00.30,3002.20.00,Against rabies,-
2005,3002.20.00.90,3002.20.00,Other,-
2005,3002.30.00.10,3002.30.00,Vaccines against foot and mouth disease; vaccines prepared for parenteral administration; bovine intranasal vaccine,-
2005,3002.30.00.90,3002.30.00,Other,-
2005,3002.90.00.11,3002.90.00,Ricin,-
2005,3002.90.00.12,3002.90.00,Saxitoxin,-
2005,3002.90.00.19,3002.90.00,Other,-
2005,3002.90.00.20,3002.90.00,Butter-making ferment cultures,KGM
2005,3002.90.00.30,3002.90.00,"Dried blood of animal origin, whether or not soluble",-
2005,3002.90.00.91,3002.90.00,Bacteria culture inoculants for seeds,-
2005,3002.90.00.92,3002.90.00,Whole human blood,-
2005,3002.90.00.93,3002.90.00,Antiallergenic preparations of microbial origin,-
2005,3002.90.00.99,3002.90.00,Other,-
2005,3003.10.00.00,3003.10.00,"Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",KGM
2005,3003.20.00.00,3003.20.00,Containing other antibiotics,KGM
2005,3003.31.00.10,3003.31.00,Prepared for parenteral administration in humans,KGM
2005,3003.31.00.90,3003.31.00,Other,KGM
2005,3003.39.00.10,3003.39.00,"Epinephrine and its solutions, prepared for parenteral administration in humans",KGM
2005,3003.39.00.90,3003.39.00,Other,KGM
2005,3003.40.00.00,3003.40.00,Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,KGM
2005,3003.90.00.10,3003.90.00,"Fractionated soya oil emulsions, prepared for parenteral administration; mixtures of amino acids and mixtures of amino acids and protein hydrolysates, whether or not containing added minerals, vitamins, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders; dextrose (glucose) solutions and levulose (fructose) solutions, prepared for parenteral administration",KGM
2005,3003.90.00.20,3003.90.00,Containing more than 23% of absolute ethyl alcohol by volume,LTR
2005,3003.90.00.91,3003.90.00,Containing acetaminophen,KGM
2005,3003.90.00.99,3003.90.00,Other,KGM
2005,3004.10.00.11,3004.10.00,Containing penicillin G sodium,-
2005,3004.10.00.12,3004.10.00,Containing penicillin V,-
2005,3004.10.00.13,3004.10.00,Containing amoxacillin,-
2005,3004.10.00.19,3004.10.00,Other,-
2005,3004.10.00.20,3004.10.00,"For human use, containing streptomycins or their derivatives",-
2005,3004.10.00.31,3004.10.00,Containing penicillins or derivatives thereof,-
2005,3004.10.00.32,3004.10.00,Containing streptomycins or derivatives thereof,-
2005,3004.20.00.10,3004.20.00,"For human use, containing tetracyclines or their derivatives",-
