hs10,first_year,last_year,n_vintages_present,continuous,missing_years,description_first,description_last
3001.10.00.10,2005,2006,2,YES,,Animal glands,Animal glands
3001.10.00.90,2005,2006,2,YES,,Other,Other
3001.20.00.00,2005,2025,21,YES,,Extracts of glands or other organs or of their secretions,Extracts of glands or other organs or of their secretions
3001.90.00.10,2005,2025,21,YES,,Heparin and its salts,Heparin and its salts
3001.90.00.20,2005,2025,21,YES,,"Bone, organs and other human or animal tissue, living or preserved, suitable for permanent grafting or implantation","Bone, organs and other human or animal tissue, living or preserved, suitable for permanent grafting or implantation"
3001.90.00.90,2005,2025,21,YES,,Other,Other
3002.10.00.10,2005,2016,12,YES,,"Human antisera and other human blood fractions, for diagnostic use","Human antisera and other human blood fractions, for diagnostic use"
3002.10.00.21,2005,2016,12,YES,,Blood plasma,Blood plasma
3002.10.00.22,2005,2016,12,YES,,Normal serum globulin,Normal serum globulin
3002.10.00.23,2005,2016,12,YES,,Immune serum globulin,Immune serum globulin
3002.10.00.29,2005,2016,12,YES,,Other,Other
3002.10.00.30,2005,2016,12,YES,,"Human antisera and other human blood fractions, for other uses","Human antisera and other human blood fractions, for other uses"
3002.10.00.41,2005,2016,12,YES,,Bovine albumin,Bovine albumin
3002.10.00.42,2005,2016,12,YES,,Sera and antisera,Sera and antisera
3002.10.00.49,2005,2016,12,YES,,Other,Other
3002.10.00.51,2005,2016,12,YES,,For use in humans,For use in humans
3002.10.00.59,2005,2016,12,YES,,Other,Other
3002.10.00.60,2005,2011,7,YES,,Modified immunological products,Modified immunological products
3002.10.00.90,2012,2016,5,YES,,Other,Other
3002.11.00.00,2017,2021-5,5,YES,,Malaria diagnostic test kits,Malaria diagnostic test kits
3002.12.00.11,2017,2025,9,YES,,For diagnostic use,For diagnostic use
3002.12.00.12,2017,2025,9,YES,,"Other, blood plasma","Other, blood plasma"
3002.12.00.13,2017,2025,9,YES,,"Other, immune globulin","Other, immune globulin"
3002.12.00.19,2017,2025,9,YES,,Other,Other
3002.12.00.21,2017,2025,9,YES,,For use in humans,For use in humans
3002.12.00.29,2017,2025,9,YES,,Other,Other
3002.13.00.00,2017,2025,9,YES,,"Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale","Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale"
3002.14.00.00,2017,2025,9,YES,,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale","Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale"
3002.15.00.00,2017,2025,9,YES,,"Immunological products, put up in measured doses or in forms or packings for retail sale","Immunological products, put up in measured doses or in forms or packings for retail sale"
3002.19.00.00,2017,2021-5,5,YES,,Other,Other
3002.20.00.10,2005,2021-5,17,YES,,Against influenza virus,Against influenza virus
3002.20.00.20,2005,2011,7,YES,,Against rubella (German measles),Against rubella (German measles)
3002.20.00.30,2005,2011,7,YES,,Against rabies,Against rabies
