boundary,source_hs,target_hs,transfer_type,target_active_2025,target_life_span,applies_to_stage,collides_with_stage1,is_split_override_source,notes,applied,not_applied_reason
2011->2012,2925.29.90.90,3002.10.00.90,full_1to1,NO,2012-2016,not_in_our_data,NO,NO,cbsa_class=source_not_in_our_data; our_next=none; our_family_terminal=none; source_not_in_our_data; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal,TRUE,
2011->2012,2933.29.90.90,3002.10.00.90,full_1to1,NO,2012-2016,not_in_our_data,NO,NO,cbsa_class=source_not_in_our_data; our_next=none; our_family_terminal=none; source_not_in_our_data; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal,TRUE,
2011->2012,2934.99.99.90,3002.10.00.90,full_1to1,NO,2012-2016,not_in_our_data,NO,NO,cbsa_class=source_not_in_our_data; our_next=none; our_family_terminal=none; source_not_in_our_data; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal,TRUE,
2011->2012,2937.90.11.00,3002.10.00.90,full_1to1,NO,2012-2016,not_in_our_data,NO,NO,cbsa_class=source_not_in_our_data; our_next=none; our_family_terminal=none; source_not_in_our_data; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal,TRUE,
2011->2012,2937.90.19.00,3002.10.00.90,full_1to1,NO,2012-2016,not_in_our_data,NO,NO,cbsa_class=source_not_in_our_data; our_next=none; our_family_terminal=none; source_not_in_our_data; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal,TRUE,
2011->2012,2937.90.90.00,3002.10.00.90,full_1to1,NO,2012-2016,not_in_our_data,NO,NO,cbsa_class=source_not_in_our_data; our_next=none; our_family_terminal=none; source_not_in_our_data; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal,TRUE,
2011->2012,3002.10.00.60,3002.10.00.90,full_1to1,NO,2012-2016,stage_3,NO,NO,"cbsa_class=disagrees; our_next=3002.13.00.00; our_family_terminal=3002.13.00.00; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal; contradicts_DIRECT_OVERRIDES[3002.10.00.60,Modified immunological products]->3002.13.00.00",TRUE,
2011->2012,3002.20.00.20,3002.20.00.90,full_1to1,NO,2005-2021-5,stage_3,NO,NO,cbsa_class=disagrees; our_next=3002.41.00.90; our_family_terminal=3002.41.00.90; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal,TRUE,
2011->2012,3002.20.00.30,3002.20.00.90,full_1to1,NO,2005-2021-5,stage_3,NO,NO,cbsa_class=disagrees; our_next=3002.41.00.90; our_family_terminal=3002.41.00.90; target_in_inventory_but_dead:D-4_record_as_lineage_step_do_not_reroute_terminal,TRUE,
2011->2012,3003.31.00.10,3003.31.00.00,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3003.31.00.00; our_family_terminal=3003.31.00.00,TRUE,
2011->2012,3003.31.00.90,3003.31.00.00,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3003.31.00.00; our_family_terminal=3003.31.00.00,TRUE,
2011->2012,3003.39.00.10,3003.39.00.00,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3003.39.00.00; our_family_terminal=3003.39.00.00,TRUE,
2011->2012,3003.39.00.90,3003.39.00.00,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3003.39.00.00; our_family_terminal=3003.39.00.00,TRUE,
2011->2012,3003.90.00.10,3003.90.00.90,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3003.90.00.90; our_family_terminal=3003.90.00.90,TRUE,
2011->2012,3003.90.00.20,3003.90.00.90,full_1to1,YES,2012-2025,stage_3,NO,NO,cbsa_class=agrees_direct; our_next=3003.90.00.90; our_family_terminal=3003.90.00.90,TRUE,
2011->2012,3003.90.00.91,3003.90.00.30,full_1to1,YES,2012-2025,stage_1,NO,NO,cbsa_class=agrees_direct; our_next=3003.90.00.30; our_family_terminal=3003.90.00.30,TRUE,
