hs_code,description,heading,subheading,first_period,last_period,months_with_trade,longest_quiet_months,source_rows,total_value_cad,stated_termination,stated_introduction,stated_termination_matches_data,stated_termination_is_this_life
30011000,"Glands and other organs, dried, powdered or not, for therapeutic uses",3001,300110,198801,200610,111,16,160,5567265,200612,,no,yes
30012000,"Extracts of glands/other organs or of their secretions, for therapeutic uses",3001,300120,198801,202605,371,7,785,77599600,,,,
30019000,"Heparin & its salts;human or animal substnces for therap or prophltc uses, nes",3001,300190,198801,200612,228,0,1443,1272402095,,,,
30019000,"Heparin & its salts;human or animal substances for therap or prophltc uses, nes",3001,300190,200701,202606,234,0,2992,655557587,,,,
30021000,"Antisera and other bld fract and mod immn prod, w/n obtained b/m of btech proc",3002,300210,198801,201112,288,0,9814,1854440060,201612,,no,no
30021000,"Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc",3002,300210,201201,201612,60,0,2643,450834420,201612,,yes,yes
30021100,Malaria diagnostic test kits,3002,300211,201702,202111,34,5,51,450273,202112,,no,yes
30021200,"Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",3002,300212,201701,202606,114,0,5249,2129339097,,,,
30021300,"Immunological products, unmixed, not put up in measured doses/forms/packings frs",3002,300213,201706,202606,93,3,173,7212680,,,,
30021400,"Immunological products,mixed,not put in measured doses/forms/packings f ret sale",3002,300214,201701,202606,82,8,178,10864290,,,,
30021500,"Immunological products, put up in measured doses/forms/packings, for retail sale",3002,300215,201701,202606,114,0,1951,697199737,,,,
30021900,"Immunological products, nes, w/n modified/obtained by biotechnological processes",3002,300219,201701,202112,60,0,336,7464863,202112,,yes,yes
30022000,"Vaccines, human use",3002,300220,198801,200112,168,0,3437,596972799,202112,,no,no
30022000,Vaccines for human medicine,3002,300220,200201,202112,240,0,4135,10515505175,202112,,yes,yes
30023000,"Vaccines, for veterinary medecine",3002,300230,201701,202112,60,0,319,90821585,202112,,yes,yes
30023010,"Vaccines against foot or mouth disease, veterinary use",3002,300230,199602,201606,45,48,56,9430362,201612,,no,yes
30023090,"Vaccines, veterinary use, nes",3002,300230,199601,201612,252,0,2709,230488314,201612,,yes,yes
30023100,"Vaccines against foot or mouth disease, veterinary use",3002,300231,198801,199512,18,45,47,962870,199512,,yes,yes
30023900,"Vaccines, veterinary use, nes",3002,300239,198801,199512,96,0,929,40239940,199512,,yes,yes
30024100,"Vaccines, for human medicine",3002,300241,202201,202606,54,0,885,3107598283,,,,
30024200,"Vaccines, for veterinary medecine",3002,300242,202201,202606,54,0,376,219097026,,,,
30024900,"Vaccines,toxins, cultures of micro-organisms (excl yeasts) and sim products, nes",3002,300249,202201,202606,54,0,1201,276193421,,,,
30025100,"Cell therapy products, whether or not modified",3002,300251,202202,202606,36,5,73,7985851,,,,
