hs_code,description,heading,subheading,first_period,last_period,months_with_trade,longest_quiet_months,source_rows,total_value_cad,stated_termination,stated_introduction,stated_termination_matches_data,stated_termination_is_this_life
3001100010,"Animal glands, dried, powdered or not, for therapeutic uses",3001,300110,198801,200612,203,3,534,4534592,200612,,yes,yes
3001100090,"Glands, nes, and other organs, dried, powdered or not, for therapeutic uses",3001,300110,198801,200612,183,3,488,6809180,200612,,yes,yes
3001200000,"Extracts of glands or other organs or of their secretions, for therapeutic uses",3001,300120,198801,202606,462,0,31501,111966598,,,,
3001900010,Heparin and its salts,3001,300190,199801,202606,342,0,3230,663001548,,,,
3001900020,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",3001,300190,199801,202606,342,0,23229,713864638,,,,
3001900090,"Other human or animal subs prepared for therapeutic or prophylactic uses, nes",3001,300190,199801,200112,48,0,1112,15709092,,,,
3001900090,"Heparin & its salts; human or animal substances for therap or prophltc uses, nes",3001,300190,200201,202606,294,0,25572,393342344,,,,
3001901000,Heparin and its salts,3001,300190,198801,199712,120,0,537,23789116,199712,,yes,yes
3001902000,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",3001,300190,198801,199712,120,0,842,26959462,199712,,yes,yes
3001909000,"Other human or animal subs prepared for therapeutic or prophylactic uses, nes",3001,300190,198801,199712,118,1,561,2825176,199712,,yes,yes
3002100010,"Antisera & o blood fractions, human origin, for diagnostic use",3002,300210,199801,201612,228,0,23413,3166447761,201612,,yes,yes
3002100021,"Blood plasma, for therapeutic or prophylactic use in humans",3002,300210,199801,201612,228,0,11098,1761536873,201612,,yes,yes
3002100022,"Normal serum globulin, for therapeutic or prophylactic use in humans",3002,300210,199801,201612,223,2,1129,2414301,201612,,yes,yes
3002100023,"Immune serum globulin, for therapeutic or prophylactic use in humans",3002,300210,199801,201612,225,1,1220,1415737704,201612,,yes,yes
3002100029,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",3002,300210,199801,201612,228,0,15026,5754885877,201612,,yes,yes
