flow,retiring_code,queue_row,retiring_description,leftover_line,leftover_description,leftover_last_traded,months_apart,same_wording_restarts,codes_starting_next_month,why_unresolved
imports,3002.90.10.10,6,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",3002901019,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",1997-12,12,3002900019,3,"the same wording restarts under a new number, so this is a renumbering and can be recorded once checked"
imports,3004.20.00.52,14,"Polymyxins, for human use, in dosage",3004200059,"Polypeptide antibiotics, nes, for human use, in dosage",1997-12,13,,,this gap was invisible while the check kept only the leftover line's last life: measured against that life the two are 181 months apart and the row fell out of the subject entirely
imports,3004.50.99.22,43,"Multivitamins not mixed with o supplements, for human use, in dosage",3004509929,"Multivitamins mixed with other supplements, nes, for human use, in dosage",1989-12,0,,5,"no code carries this wording afterwards; where the trade went has to be established from the tariff, not inferred from what starts next month"
imports,3004.50.99.21,48,"Vitamins-iron preparation, for human use, in dosage",3004509929,"Multivitamins mixed with other supplements, nes, for human use, in dosage",1989-12,0,,5,"no code carries this wording afterwards; where the trade went has to be established from the tariff, not inferred from what starts next month"
imports,3004.90.99.83,54,"Dermatological agents, for human use, in dosage",3004909989,"Medicaments nes, for human use, in dosage",1997-12,0,,3,"no code carries this wording afterwards; where the trade went has to be established from the tariff, not inferred from what starts next month"
imports,3004.50.99.11,56,"Vitamin C only, for human use, in dosage",3004509919,"Single vitamin only, nes, for human use, in dosage",1997-12,0,3004500039,6,"the same wording restarts under a new number, so this is a renumbering and can be recorded once checked"
imports,3004.50.99.12,57,"Vitamin E only, for human use, in dosage",3004509919,"Single vitamin only, nes, for human use, in dosage",1997-12,0,3004500039,6,"the same wording restarts under a new number, so this is a renumbering and can be recorded once checked"
imports,3004.90.00.32,78,"Antidepressants & tranquilizers,f human use,in doses/pack frs,o/t No 30.02/05/06",3004900035,"Agents,acting on central nervous system,hum use,doses/frs,o/t No 30.02/05/06,nes",2017-12,0,3004900026,7,"the same wording restarts under a new number, so this is a renumbering and can be recorded once checked"
imports,3004.90.00.33,80,"Antihypertensive agents, for human use, in doses/packings frs,o/t No 30.02/05/06",3004900035,"Agents,acting on central nervous system,hum use,doses/frs,o/t No 30.02/05/06,nes",2017-12,0,3004900026,7,"the same wording restarts under a new number, so this is a renumbering and can be recorded once checked"
imports,3004.90.00.31,81,"Analgesics, for human use, in doses/packings for retail sale, o/t No 30.02/05/06",3004900035,"Agents,acting on central nervous system,hum use,doses/frs,o/t No 30.02/05/06,nes",2017-12,0,3004900026,7,"the same wording restarts under a new number, so this is a renumbering and can be recorded once checked"
imports,3004.90.00.36,87,"Local anaesthetics, for human use,in doses/pack f retail sale,o/t No 30.02/05/06",3004900035,"Agents,acting on central nervous system,hum use,doses/frs,o/t No 30.02/05/06,nes",2017-12,0,3004900026,7,"the same wording restarts under a new number, so this is a renumbering and can be recorded once checked"
imports,3004.90.00.34,90,"Antihistaminic agents, for human use, in doses/packings frs, o/t No 30.02/05/06",3004900035,"Agents,acting on central nervous system,hum use,doses/frs,o/t No 30.02/05/06,nes",2017-12,0,3004900026,7,"the same wording restarts under a new number, so this is a renumbering and can be recorded once checked"
imports,3004.90.99.12,91,"Antidepressants & tranquilizers, for human use, in dosage",3004909915,"Medicaments, for human use, acting on the nervous system, in dosage, nes",1997-12,0,,3,"no code carries this wording afterwards; where the trade went has to be established from the tariff, not inferred from what starts next month"
imports,3004.90.99.13,94,"Antihypertensive agents, for human use, in dosage",3004909915,"Medicaments, for human use, acting on the nervous system, in dosage, nes",1997-12,0,,3,"no code carries this wording afterwards; where the trade went has to be established from the tariff, not inferred from what starts next month"
imports,3004.90.99.21,97,"Histamine H2 receptor antagonist, for human use, in dosage",3004909929,"Gastro-intestinal agents, for human use, in dosage, nes",1997-12,0,,3,"no code carries this wording afterwards; where the trade went has to be established from the tariff, not inferred from what starts next month"
imports,3004.90.99.11,101,"Analgesics, for human use, in dosage",3004909915,"Medicaments, for human use, acting on the nervous system, in dosage, nes",1997-12,0,,3,"no code carries this wording afterwards; where the trade went has to be established from the tariff, not inferred from what starts next month"
