flow,hs_code,description,first_period,last_period,family_code,family_name,enclosing_family_name,enclosing_source,therapeutic_class,source,confidence,why,added_on
exports,30021100,Malaria diagnostic test kits,201702,202111,,Diagnostic reagents,,,in-vitro diagnostic,"asserted, unsourced",high,"malaria test kits are diagnostic, not therapeutic",2026-08-12
exports,30021900,"Immunological products, nes, w/n modified/obtained by biotechnological processes",201701,202112,,Immunological products,,,immunological product,"asserted, unsourced",high,"the imports entry for the identical description, carried across because the same wording under the other flow is the same commodity. asserted from pharmacological knowledge; no citable source was available offline",2026-08-12
exports,30023000,"Vaccines, for veterinary medecine",201701,202112,,Veterinary vaccines,,,vaccine,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
exports,30023010,"Vaccines against foot or mouth disease, veterinary use",199602,201606,,Veterinary vaccines,,,vaccine,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
exports,30023090,"Vaccines, veterinary use, nes",199601,201612,,Veterinary vaccines,,,vaccine,"asserted, unsourced",high,"the imports entry for the identical description, carried across because the same wording under the other flow is the same commodity. asserted from pharmacological knowledge; no citable source was available offline",2026-08-12
exports,30023100,"Vaccines against foot or mouth disease, veterinary use",198801,199512,,Veterinary vaccines,,,vaccine,"asserted, unsourced",high,"the imports entry for the identical description, carried across because the same wording under the other flow is the same commodity. the exports entry for the identical description, carried across because the same wording under the other flow is the same commodity. asserted from pharmacological knowledge; no citable source was available offline",2026-08-12
exports,30023900,"Vaccines, veterinary use, nes",198801,199512,,Veterinary vaccines,,,vaccine,"asserted, unsourced",high,"the imports entry for the identical description, carried across because the same wording under the other flow is the same commodity. asserted from pharmacological knowledge; no citable source was available offline",2026-08-12
exports,30029010,Ricin,199712,202606,,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",,,,"asserted, unsourced",n/a,"no leftover line with this wording exists under exports, so the grouping is carried over by analogy with the other flow rather than read off the tariff. the imports entry for the identical description, carried across because the same wording under the other flow is the same commodity. the leftover line sharing this code's tens block names the family it belongs to",2026-08-12
exports,30029020,"Human blood;animal blood for therap,prophtc/diag use;microbial prep nes,vet use",198801,198812,,Toxins,,,marine neurotoxin,"asserted, unsourced",high,"saxitoxin is a paralytic shellfish toxin, not a therapeutic agent",2026-08-12
exports,30029090,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep, nes",199701,201112,,Blood products,,,blood and microbial preparations,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
exports,30034000,"Alkaloids or their derivs, formltd, not cntg antibiotics or hormones, in bulk",198804,201611,,Vegetable alkaloids,,,unspecified alkaloid,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
exports,30034100,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",202009,202009,,Vegetable alkaloids,,,sympathomimetic (ephedra alkaloid),"asserted, unsourced",high,"ephedrine, pseudoephedrine and norephedrine are ephedra alkaloids acting on the same receptors; the first two are stereoisomers",2026-08-12
exports,30034200,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",201905,202409,,Non-narcotic vegetable alkaloids,,,sympathomimetic (ephedra alkaloid),"asserted, unsourced",high,pseudoephedrine,2026-08-12
exports,30034900,"Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",201805,202606,,Vegetable alkaloids,,,unspecified alkaloid,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
exports,30036000,"Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",201812,202308,,Antimalarials,,,antimalarial,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
exports,30044100,"Medicaments,cont ephedrin/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",201701,202605,,Non-narcotic vegetable alkaloids,,,sympathomimetic (ephedra alkaloid),"asserted, unsourced",high,ephedrine,2026-08-12
exports,30044200,"Medi,cont pseudoephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",201701,202606,,Vegetable alkaloids,,,sympathomimetic (ephedra alkaloid),"asserted, unsourced",high,"ephedrine, pseudoephedrine and norephedrine are ephedra alkaloids acting on the same receptors; the first two are stereoisomers",2026-08-12
exports,30044300,"Medi,cont norephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",201703,202203,,Non-narcotic vegetable alkaloids,,,sympathomimetic (ephedra alkaloid),"asserted, unsourced",high,"norephedrine, an ephedra alkaloid distinct from ephedrine",2026-08-12
exports,30044900,"Medi,cont alkaloids/deriv t/o,nes,therap/prophltc,doses/frs,o/t No 30.02/05/06",201701,202606,,Vegetable alkaloids,,,unspecified alkaloid,"asserted, unsourced",high,"the imports entry for the identical description, carried across because the same wording under the other flow is the same commodity. asserted from pharmacological knowledge; no citable source was available offline",2026-08-12
exports,30049010,"Medi cont cannabis/cannabinoids, therap/prophltc uses, doses/pack f retail sale",201802,202606,,"Medicaments cont more than 23% of abs ethyl alc by vol, nes, in dosage",,,,"asserted, unsourced",n/a,"no leftover line with this wording exists under exports, so the grouping is carried over by analogy with the other flow rather than read off the tariff. the imports entry for the identical description, carried across because the same wording under the other flow is the same commodity. the leftover line sharing this code's tens block names the family it belongs to",2026-08-12
imports,3002100021,"Blood plasma, for therapeutic or prophylactic use in humans",199801,201612,3002100029,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3002100022,"Normal serum globulin, for therapeutic or prophylactic use in humans",199801,201612,3002100029,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3002100023,"Immune serum globulin, for therapeutic or prophylactic use in humans",199801,201612,3002100029,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3002100041,"Bovine albumin, for parenteral administration in humans",199801,201612,3002100049,"Blood albumin nes, of animal origin, for parenteral administration in humans",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3002100042,"Sera and antisera, of animal origin, for parenteral administration in humans",199801,201612,3002100049,"Blood albumin nes, of animal origin, for parenteral administration in humans",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3002100090,"Antisera,o blood fract,immunological prod,w/n mod/obt biotechnological proc,nes",201201,201612,,Blood products,,,antisera and blood fractions,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3002101021,"Blood plasma, for therapeutic or prophylactic use in humans",198801,199712,3002101029,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3002101022,"Normal serum globulin, for therapeutic or prophylactic use in humans",198801,199712,3002101029,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3002101023,"Immune serum globulin, for therapeutic or prophylactic use in humans",199001,199712,3002101029,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3002110000,Malaria diagnostic test kits,201701,202112,,Diagnostic reagents,,,in-vitro diagnostic,"asserted, unsourced",high,"the exports entry for the identical description, carried across because the same wording under the other flow is the same commodity. malaria test kits are diagnostic, not therapeutic",2026-08-12
imports,3002120011,"Human antisera and other human blood fractions, for diagnostic use",201701,202606,3002120019,"Human antisera and other human blood fractions, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3002120012,"Human blood plasma, for therapeutic/prophylactic/other uses",201701,202606,3002120019,"Human antisera and other human blood fractions, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3002120013,"Human immune globulin, for therapeutic/prophylactic/other uses",201701,202606,3002120019,"Human antisera and other human blood fractions, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3002120021,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,3002120029,"Animal antisera and other animal blood fractions, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3002190000,"Immunological products, nes, w/n modified/obtained by biotechnological processes",201701,202112,,Immunological products,,,immunological product,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3002300090,"Vaccines, veterinary use, nes",199801,202112,,Veterinary vaccines,,,vaccine,"asserted, unsourced",high,"the exports entry for the identical description, carried across because the same wording under the other flow is the same commodity. the imports entry for the identical description, carried across because the same wording under the other flow is the same commodity. asserted from pharmacological knowledge; no citable source was available offline",2026-08-12
imports,3002301000,Vacc agnst foot and mth disse; vacc prepr for parentl admin; bovi intrnsl vacc,199601,199712,,Veterinary vaccines,,,vaccine,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3002309000,"Vaccines, veterinary use, nes",199601,199712,,Veterinary vaccines,,,vaccine,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3002310000,"Vaccines against foot or mouth disease, veterinary use",198801,199507,,Veterinary vaccines,,,vaccine,"asserted, unsourced",high,"the exports entry for the identical description, carried across because the same wording under the other flow is the same commodity. asserted from pharmacological knowledge; no citable source was available offline",2026-08-12
imports,3002391000,"Vaccines nes, prepared for parenteral admin in animal; bovine intranasal vaccine",198801,199512,,Veterinary vaccines,,,vaccine,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3002399000,"Vaccines, veterinary use, nes",198801,199512,,Veterinary vaccines,,,vaccine,"asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3002420090,"Vaccines, veterinary use, nes",202201,202606,,Veterinary vaccines,,,vaccine,"asserted, unsourced",high,"the exports entry for the identical description, carried across because the same wording under the other flow is the same commodity. the imports entry for the identical description, carried across because the same wording under the other flow is the same commodity. asserted from pharmacological knowledge; no citable source was available offline",2026-08-12
imports,3002900010,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",201701,202112,,,,,,derived from the tariff block,n/a,"this code's block holds no leftover line its trade could reach, so none is named",2026-08-12
