too_recent_to_call,retirement_basis,months_before_delivery_end,retiring_code,span_index,span_count,span_first_period,flow,heading,subheading,last_period,boundary,total_value_cad,description,subheading_survives,at_hs_revision_boundary,wco_table,cbsa_concordance_covers,tariff_schedule_covers,narrowest_tier,narrowest_count,n_same_subheading,n_same_heading,n_same_chapter,n_any_alive,n_continuous,n_alive_after_ignoring_continuity,candidates_continuous,n_born_at_boundary,n_carve_out,candidates_narrowest,candidates_outside_narrowest,candidates_born_at_boundary,candidates_carve_out
no,declared,236,30011000,1,1,198801,exports,3001,300110,200610,200611,5567265.00,"Glands and other organs, dried, powdered or not, for therapeutic uses",no,yes,2002->2007,no,yes,same_heading,2,0,2,59,59,36,59,30012000;30019000,0,0,30012000;30019000,30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30024100;30024200;30024900;30025100;30025900;30029010;30029020;30029090;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,,
yes,trade_ceased_only,1,30012000,1,1,198801,exports,3001,300120,202605,202606,77599600.00,"Extracts of glands/other organs or of their secretions, for therapeutic uses",no,no,,no,yes,same_heading,1,0,1,38,38,38,38,30019000,0,0,30019000,30021200;30021300;30021400;30021500;30024100;30024200;30024900;30025100;30025900;30029010;30029090;30032000;30033900;30034900;30039000;30041000;30042000;30043100;30043200;30043900;30044200;30044900;30045000;30046000;30049010;30049090;30051000;30059000;30061000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,,
no,declared,114,30021000,1,1,198801,exports,3002,300210,201612,201701,2305274480.00,"Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc",no,yes,2012->2017,yes,yes,same_heading,15,0,15,52,52,45,52,30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30029010;30029090,9,0,30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30024100;30024200;30024900;30025100;30025900;30029010;30029090,30012000;30019000;30031000;30032000;30033100;30033900;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,30021200;30021400;30021500;30021900;30023000;30044100;30044200;30044900;30046000,
no,declared,55,30021100,1,1,201702,exports,3002,300211,202111,202112,450273.00,Malaria diagnostic test kits,no,yes,2017->2022,no,yes,same_heading,14,0,14,49,49,49,49,30021200;30021300;30021400;30021500;30021900;30022000;30023000;30024100;30024200;30024900;30025100;30025900;30029010;30029090,0,0,30021200;30021300;30021400;30021500;30021900;30022000;30023000;30024100;30024200;30024900;30025100;30025900;30029010;30029090,30012000;30019000;30031000;30032000;30033100;30033900;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044100;30044200;30044300;30044900;30045000;30046000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,,
no,declared,54,30021900,1,1,201701,exports,3002,300219,202112,202201,7464863.00,"Immunological products, nes, w/n modified/obtained by biotechnological processes",no,yes,2017->2022,no,yes,same_heading,11,0,11,45,45,45,45,30021200;30021300;30021400;30021500;30024100;30024200;30024900;30025100;30025900;30029010;30029090,4,0,30021200;30021300;30021400;30021500;30024100;30024200;30024900;30025100;30025900;30029010;30029090,30012000;30019000;30031000;30032000;30033100;30033900;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044100;30044200;30044300;30044900;30045000;30046000;30049010;30049090;30051000;30059000;30061000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,30024100;30024200;30024900;30069300,
no,declared,54,30022000,1,1,198801,exports,3002,300220,202112,202201,11112477974.00,Vaccines for human medicine,no,yes,2017->2022,no,yes,same_heading,11,0,11,45,45,45,45,30021200;30021300;30021400;30021500;30024100;30024200;30024900;30025100;30025900;30029010;30029090,4,0,30021200;30021300;30021400;30021500;30024100;30024200;30024900;30025100;30025900;30029010;30029090,30012000;30019000;30031000;30032000;30033100;30033900;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044100;30044200;30044300;30044900;30045000;30046000;30049010;30049090;30051000;30059000;30061000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,30024100;30024200;30024900;30069300,
no,declared,54,30023000,1,1,201701,exports,3002,300230,202112,202201,90821585.00,"Vaccines, for veterinary medecine",no,yes,2017->2022,no,yes,same_heading,11,0,11,45,45,45,45,30021200;30021300;30021400;30021500;30024100;30024200;30024900;30025100;30025900;30029010;30029090,4,0,30021200;30021300;30021400;30021500;30024100;30024200;30024900;30025100;30025900;30029010;30029090,30012000;30019000;30031000;30032000;30033100;30033900;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044100;30044200;30044300;30044900;30045000;30046000;30049010;30049090;30051000;30059000;30061000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,30024100;30024200;30024900;30069300,
no,declared,120,30023010,1,1,199602,exports,3002,300230,201606,201607,9430362.00,"Vaccines against foot or mouth disease, veterinary use",yes,yes,2012->2017,yes,yes,same_subheading,2,2,18,57,57,45,57,30023000;30023090,0,0,30023000;30023090,30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30024100;30024200;30024900;30025100;30025900;30029010;30029020;30029090;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,,
no,declared,114,30023090,1,1,199601,exports,3002,300230,201612,201701,230488314.00,"Vaccines, veterinary use, nes",yes,yes,2012->2017,yes,yes,same_subheading,1,1,15,52,52,45,52,30023000,9,0,30023000,30012000;30019000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30024100;30024200;30024900;30025100;30025900;30029010;30029090;30031000;30032000;30033100;30033900;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,30021200;30021400;30021500;30021900;30023000;30044100;30044200;30044900;30046000,
no,declared,366,30023100,1,1,198801,exports,3002,300231,199512,199601,962870.00,"Vaccines against foot or mouth disease, veterinary use",no,no,,no,no,same_heading,20,0,20,61,61,30,61,30021000;30022000;30023010;30023090;30029000;30029090,1,0,30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30024100;30024200;30024900;30025100;30025900;30029000;30029010;30029020;30029090,30011000;30012000;30019000;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,30023090,
