too_recent_to_call,retirement_basis,months_before_delivery_end,retiring_code,span_index,span_count,span_first_period,flow,heading,subheading,last_period,boundary,total_value_cad,description,subheading_survives,at_hs_revision_boundary,wco_table,cbsa_concordance_covers,tariff_schedule_covers,narrowest_tier,narrowest_count,n_same_subheading,n_same_heading,n_same_chapter,n_any_alive,n_continuous,n_alive_after_ignoring_continuity,candidates_continuous,n_born_at_boundary,n_carve_out,candidates_narrowest,candidates_outside_narrowest,candidates_born_at_boundary,candidates_carve_out
no,declared,234,3001100010,1,1,198801,imports,3001,300110,200612,200701,4534592.00,"Animal glands, dried, powdered or not, for therapeutic uses",no,yes,2002->2007,no,yes,same_heading,4,0,4,228,228,151,228,3001200000;3001900010;3001900020;3001900090,2,0,3001200000;3001900010;3001900020;3001900090,3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090;3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002200010;3002200020;3002200030;3002200090;3002300010;3002300090;3002410010;3002410090;3002420010;3002420090;3002490010;3002490020;3002490090;3002510000;3002590000;3002900010;3002900011;3002900012;3002900019;3002900020;3002900030;3002900040;3002900050;3002900090;3002900091;3002900092;3002900093;3002900099;3003100000;3003200000;3003310000;3003310010;3003310090;3003390000;3003390010;3003390090;3003400000;3003410000;3003420000;3003430000;3003490000;3003600000;3003900010;3003900020;3003900030;3003900090;3003900091;3003900099;3004100010;3004100011;3004100012;3004100013;3004100019;3004100020;3004100031;3004100032;3004100090;3004200010;3004200011;3004200012;3004200013;3004200018;3004200019;3004200020;3004200031;3004200039;3004200041;3004200049;3004200051;3004200059;3004200061;3004200062;3004200063;3004200069;3004200071;3004200079;3004200080;3004200090;3004310000;3004310010;3004310090;3004320000;3004320011;3004320019;3004320020;3004390010;3004390011;3004390012;3004390013;3004390019;3004390081;3004390082;3004390083;3004390084;3004390085;3004390090;3004400010;3004400020;3004400030;3004400040;3004400050;3004400080;3004400090;3004410000;3004420000;3004430000;3004490010;3004490090;3004500010;3004500011;3004500012;3004500013;3004500014;3004500019;3004500020;3004500031;3004500032;3004500039;3004500040;3004500050;3004500061;3004500069;3004500070;3004500090;3004600000;3004900011;3004900012;3004900019;3004900020;3004900021;3004900022;3004900023;3004900024;3004900025;3004900026;3004900027;3004900029;3004900031;3004900032;3004900033;3004900034;3004900035;3004900036;3004900039;3004900041;3004900042;3004900043;3004900049;3004900050;3004900061;3004900069;3004900071;3004900072;3004900073;3004900074;3004900075;3004900076;3004900077;3004900078;3004900079;3004900081;3004900089;3004900090;3005100010;3005100091;3005100099;3005900010;3005900020;3005900030;3005900040;3005900050;3005900060;3005900090;3006100010;3006100090;3006200010;3006200020;3006200090;3006300010;3006300020;3006300090;3006400010;3006400020;3006400030;3006400090;3006500000;3006600000;3006600010;3006600011;3006600019;3006600090;3006701000;3006709000;3006910000;3006920000;3006931000;3006932000;3006933000;3006934000;3006939000,3006910000;3006920000,
no,declared,234,3001100090,1,1,198801,imports,3001,300110,200612,200701,6809180.00,"Glands, nes, and other organs, dried, powdered or not, for therapeutic uses",no,yes,2002->2007,no,yes,same_heading,4,0,4,228,228,151,228,3001200000;3001900010;3001900020;3001900090,2,0,3001200000;3001900010;3001900020;3001900090,3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090;3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002200010;3002200020;3002200030;3002200090;3002300010;3002300090;3002410010;3002410090;3002420010;3002420090;3002490010;3002490020;3002490090;3002510000;3002590000;3002900010;3002900011;3002900012;3002900019;3002900020;3002900030;3002900040;3002900050;3002900090;3002900091;3002900092;3002900093;3002900099;3003100000;3003200000;3003310000;3003310010;3003310090;3003390000;3003390010;3003390090;3003400000;3003410000;3003420000;3003430000;3003490000;3003600000;3003900010;3003900020;3003900030;3003900090;3003900091;3003900099;3004100010;3004100011;3004100012;3004100013;3004100019;3004100020;3004100031;3004100032;3004100090;3004200010;3004200011;3004200012;3004200013;3004200018;3004200019;3004200020;3004200031;3004200039;3004200041;3004200049;3004200051;3004200059;3004200061;3004200062;3004200063;3004200069;3004200071;3004200079;3004200080;3004200090;3004310000;3004310010;3004310090;3004320000;3004320011;3004320019;3004320020;3004390010;3004390011;3004390012;3004390013;3004390019;3004390081;3004390082;3004390083;3004390084;3004390085;3004390090;3004400010;3004400020;3004400030;3004400040;3004400050;3004400080;3004400090;3004410000;3004420000;3004430000;3004490010;3004490090;3004500010;3004500011;3004500012;3004500013;3004500014;3004500019;3004500020;3004500031;3004500032;3004500039;3004500040;3004500050;3004500061;3004500069;3004500070;3004500090;3004600000;3004900011;3004900012;3004900019;3004900020;3004900021;3004900022;3004900023;3004900024;3004900025;3004900026;3004900027;3004900029;3004900031;3004900032;3004900033;3004900034;3004900035;3004900036;3004900039;3004900041;3004900042;3004900043;3004900049;3004900050;3004900061;3004900069;3004900071;3004900072;3004900073;3004900074;3004900075;3004900076;3004900077;3004900078;3004900079;3004900081;3004900089;3004900090;3005100010;3005100091;3005100099;3005900010;3005900020;3005900030;3005900040;3005900050;3005900060;3005900090;3006100010;3006100090;3006200010;3006200020;3006200090;3006300010;3006300020;3006300090;3006400010;3006400020;3006400030;3006400090;3006500000;3006600000;3006600010;3006600011;3006600019;3006600090;3006701000;3006709000;3006910000;3006920000;3006931000;3006932000;3006933000;3006934000;3006939000,3006910000;3006920000,
no,declared,342,3001901000,1,1,198801,imports,3001,300190,199712,199801,23789116.00,Heparin and its salts,yes,no,,no,no,same_subheading,3,3,6,245,245,148,245,3001900010;3001900020;3001900090,106,0,3001900010;3001900020;3001900090,3001100010;3001100090;3001200000;3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090;3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002200010;3002200020;3002200030;3002200090;3002300010;3002300090;3002410010;3002410090;3002420010;3002420090;3002490010;3002490020;3002490090;3002510000;3002590000;3002900010;3002900011;3002900012;3002900019;3002900020;3002900030;3002900040;3002900050;3002900090;3002900091;3002900092;3002900093;3002900099;3003100000;3003200000;3003310000;3003310010;3003310090;3003390000;3003390010;3003390090;3003400000;3003410000;3003420000;3003430000;3003490000;3003600000;3003900010;3003900020;3003900030;3003900090;3003900091;3003900099;3004100010;3004100011;3004100012;3004100013;3004100019;3004100020;3004100031;3004100032;3004100090;3004200010;3004200011;3004200012;3004200013;3004200018;3004200019;3004200020;3004200031;3004200039;3004200041;3004200049;3004200051;3004200059;3004200061;3004200062;3004200063;3004200069;3004200071;3004200079;3004200080;3004200090;3004310000;3004310010;3004310090;3004320000;3004320010;3004320011;3004320019;3004320020;3004320081;3004320082;3004320089;3004320090;3004390010;3004390011;3004390012;3004390013;3004390019;3004390081;3004390082;3004390083;3004390084;3004390085;3004390090;3004400010;3004400020;3004400030;3004400040;3004400050;3004400080;3004400090;3004410000;3004420000;3004430000;3004490010;3004490090;3004500010;3004500011;3004500012;3004500013;3004500014;3004500019;3004500020;3004500031;3004500032;3004500039;3004500040;3004500050;3004500061;3004500069;3004500070;3004500090;3004600000;3004900011;3004900012;3004900019;3004900020;3004900021;3004900022;3004900023;3004900024;3004900025;3004900026;3004900027;3004900029;3004900031;3004900032;3004900033;3004900034;3004900035;3004900036;3004900039;3004900041;3004900042;3004900043;3004900049;3004900050;3004900061;3004900069;3004900071;3004900072;3004900073;3004900074;3004900075;3004900076;3004900077;3004900078;3004900079;3004900081;3004900089;3004900090;3005100010;3005100091;3005100099;3005900010;3005900020;3005900030;3005900040;3005900050;3005900060;3005900090;3006100010;3006100090;3006200010;3006200020;3006200090;3006300010;3006300020;3006300090;3006400010;3006400020;3006400030;3006400090;3006500000;3006600000;3006600010;3006600011;3006600019;3006600090;3006701000;3006709000;3006801100;3006801900;3006809010;3006809020;3006809030;3006809041;3006809042;3006809043;3006809050;3006809060;3006910000;3006920000;3006931000;3006932000;3006933000;3006934000;3006939000,3001900010;3001900020;3001900090;3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002300010;3002300090;3002900011;3002900019;3002900020;3002900091;3002900092;3002900099;3003310090;3003390010;3003390090;3003400000;3003900010;3003900020;3003900091;3003900099;3004310010;3004310090;3004320081;3004320089;3004320090;3004390010;3004390081;3004390083;3004390084;3004390085;3004390090;3004400010;3004400020;3004400030;3004400040;3004400080;3004400090;3004500010;3004500020;3004500031;3004500032;3004500039;3004500040;3004500050;3004500061;3004500069;3004500070;3004900011;3004900012;3004900019;3004900020;3004900031;3004900032;3004900033;3004900034;3004900035;3004900036;3004900039;3004900041;3004900042;3004900043;3004900049;3004900050;3004900061;3004900069;3004900071;3004900072;3004900073;3004900074;3004900075;3004900076;3004900077;3004900078;3004900079;3004900081;3004900089;3005100010;3005100091;3005100099;3005900010;3005900020;3005900030;3005900040;3005900050;3005900060;3005900090;3006200010;3006200020;3006200090;3006300010;3006300020;3006300090;3006400010;3006400020;3006400030;3006400090,
no,declared,342,3001902000,1,1,198801,imports,3001,300190,199712,199801,26959462.00,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",yes,no,,no,no,same_subheading,3,3,6,245,245,148,245,3001900010;3001900020;3001900090,106,0,3001900010;3001900020;3001900090,3001100010;3001100090;3001200000;3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090;3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002200010;3002200020;3002200030;3002200090;3002300010;3002300090;3002410010;3002410090;3002420010;3002420090;3002490010;3002490020;3002490090;3002510000;3002590000;3002900010;3002900011;3002900012;3002900019;3002900020;3002900030;3002900040;3002900050;3002900090;3002900091;3002900092;3002900093;3002900099;3003100000;3003200000;3003310000;3003310010;3003310090;3003390000;3003390010;3003390090;3003400000;3003410000;3003420000;3003430000;3003490000;3003600000;3003900010;3003900020;3003900030;3003900090;3003900091;3003900099;3004100010;3004100011;3004100012;3004100013;3004100019;3004100020;3004100031;3004100032;3004100090;3004200010;3004200011;3004200012;3004200013;3004200018;3004200019;3004200020;3004200031;3004200039;3004200041;3004200049;3004200051;3004200059;3004200061;3004200062;3004200063;3004200069;3004200071;3004200079;3004200080;3004200090;3004310000;3004310010;3004310090;3004320000;3004320010;3004320011;3004320019;3004320020;3004320081;3004320082;3004320089;3004320090;3004390010;3004390011;3004390012;3004390013;3004390019;3004390081;3004390082;3004390083;3004390084;3004390085;3004390090;3004400010;3004400020;3004400030;3004400040;3004400050;3004400080;3004400090;3004410000;3004420000;3004430000;3004490010;3004490090;3004500010;3004500011;3004500012;3004500013;3004500014;3004500019;3004500020;3004500031;3004500032;3004500039;3004500040;3004500050;3004500061;3004500069;3004500070;3004500090;3004600000;3004900011;3004900012;3004900019;3004900020;3004900021;3004900022;3004900023;3004900024;3004900025;3004900026;3004900027;3004900029;3004900031;3004900032;3004900033;3004900034;3004900035;3004900036;3004900039;3004900041;3004900042;3004900043;3004900049;3004900050;3004900061;3004900069;3004900071;3004900072;3004900073;3004900074;3004900075;3004900076;3004900077;3004900078;3004900079;3004900081;3004900089;3004900090;3005100010;3005100091;3005100099;3005900010;3005900020;3005900030;3005900040;3005900050;3005900060;3005900090;3006100010;3006100090;3006200010;3006200020;3006200090;3006300010;3006300020;3006300090;3006400010;3006400020;3006400030;3006400090;3006500000;3006600000;3006600010;3006600011;3006600019;3006600090;3006701000;3006709000;3006801100;3006801900;3006809010;3006809020;3006809030;3006809041;3006809042;3006809043;3006809050;3006809060;3006910000;3006920000;3006931000;3006932000;3006933000;3006934000;3006939000,3001900010;3001900020;3001900090;3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002300010;3002300090;3002900011;3002900019;3002900020;3002900091;3002900092;3002900099;3003310090;3003390010;3003390090;3003400000;3003900010;3003900020;3003900091;3003900099;3004310010;3004310090;3004320081;3004320089;3004320090;3004390010;3004390081;3004390083;3004390084;3004390085;3004390090;3004400010;3004400020;3004400030;3004400040;3004400080;3004400090;3004500010;3004500020;3004500031;3004500032;3004500039;3004500040;3004500050;3004500061;3004500069;3004500070;3004900011;3004900012;3004900019;3004900020;3004900031;3004900032;3004900033;3004900034;3004900035;3004900036;3004900039;3004900041;3004900042;3004900043;3004900049;3004900050;3004900061;3004900069;3004900071;3004900072;3004900073;3004900074;3004900075;3004900076;3004900077;3004900078;3004900079;3004900081;3004900089;3005100010;3005100091;3005100099;3005900010;3005900020;3005900030;3005900040;3005900050;3005900060;3005900090;3006200010;3006200020;3006200090;3006300010;3006300020;3006300090;3006400010;3006400020;3006400030;3006400090,
no,declared,342,3001909000,1,1,198801,imports,3001,300190,199712,199801,2825176.00,"Other human or animal subs prepared for therapeutic or prophylactic uses, nes",yes,no,,no,no,same_subheading,3,3,6,245,245,148,245,3001900010;3001900020;3001900090,106,0,3001900010;3001900020;3001900090,3001100010;3001100090;3001200000;3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090;3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002200010;3002200020;3002200030;3002200090;3002300010;3002300090;3002410010;3002410090;3002420010;3002420090;3002490010;3002490020;3002490090;3002510000;3002590000;3002900010;3002900011;3002900012;3002900019;3002900020;3002900030;3002900040;3002900050;3002900090;3002900091;3002900092;3002900093;3002900099;3003100000;3003200000;3003310000;3003310010;3003310090;3003390000;3003390010;3003390090;3003400000;3003410000;3003420000;3003430000;3003490000;3003600000;3003900010;3003900020;3003900030;3003900090;3003900091;3003900099;3004100010;3004100011;3004100012;3004100013;3004100019;3004100020;3004100031;3004100032;3004100090;3004200010;3004200011;3004200012;3004200013;3004200018;3004200019;3004200020;3004200031;3004200039;3004200041;3004200049;3004200051;3004200059;3004200061;3004200062;3004200063;3004200069;3004200071;3004200079;3004200080;3004200090;3004310000;3004310010;3004310090;3004320000;3004320010;3004320011;3004320019;3004320020;3004320081;3004320082;3004320089;3004320090;3004390010;3004390011;3004390012;3004390013;3004390019;3004390081;3004390082;3004390083;3004390084;3004390085;3004390090;3004400010;3004400020;3004400030;3004400040;3004400050;3004400080;3004400090;3004410000;3004420000;3004430000;3004490010;3004490090;3004500010;3004500011;3004500012;3004500013;3004500014;3004500019;3004500020;3004500031;3004500032;3004500039;3004500040;3004500050;3004500061;3004500069;3004500070;3004500090;3004600000;3004900011;3004900012;3004900019;3004900020;3004900021;3004900022;3004900023;3004900024;3004900025;3004900026;3004900027;3004900029;3004900031;3004900032;3004900033;3004900034;3004900035;3004900036;3004900039;3004900041;3004900042;3004900043;3004900049;3004900050;3004900061;3004900069;3004900071;3004900072;3004900073;3004900074;3004900075;3004900076;3004900077;3004900078;3004900079;3004900081;3004900089;3004900090;3005100010;3005100091;3005100099;3005900010;3005900020;3005900030;3005900040;3005900050;3005900060;3005900090;3006100010;3006100090;3006200010;3006200020;3006200090;3006300010;3006300020;3006300090;3006400010;3006400020;3006400030;3006400090;3006500000;3006600000;3006600010;3006600011;3006600019;3006600090;3006701000;3006709000;3006801100;3006801900;3006809010;3006809020;3006809030;3006809041;3006809042;3006809043;3006809050;3006809060;3006910000;3006920000;3006931000;3006932000;3006933000;3006934000;3006939000,3001900010;3001900020;3001900090;3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002300010;3002300090;3002900011;3002900019;3002900020;3002900091;3002900092;3002900099;3003310090;3003390010;3003390090;3003400000;3003900010;3003900020;3003900091;3003900099;3004310010;3004310090;3004320081;3004320089;3004320090;3004390010;3004390081;3004390083;3004390084;3004390085;3004390090;3004400010;3004400020;3004400030;3004400040;3004400080;3004400090;3004500010;3004500020;3004500031;3004500032;3004500039;3004500040;3004500050;3004500061;3004500069;3004500070;3004900011;3004900012;3004900019;3004900020;3004900031;3004900032;3004900033;3004900034;3004900035;3004900036;3004900039;3004900041;3004900042;3004900043;3004900049;3004900050;3004900061;3004900069;3004900071;3004900072;3004900073;3004900074;3004900075;3004900076;3004900077;3004900078;3004900079;3004900081;3004900089;3005100010;3005100091;3005100099;3005900010;3005900020;3005900030;3005900040;3005900050;3005900060;3005900090;3006200010;3006200020;3006200090;3006300010;3006300020;3006300090;3006400010;3006400020;3006400030;3006400090,
no,declared,114,3002100010,1,1,199801,imports,3002,300210,201612,201701,3166447761.00,"Antisera & o blood fractions, human origin, for diagnostic use",no,yes,2012->2017,yes,yes,same_heading,30,0,30,132,132,116,132,3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002200010;3002200090;3002300010;3002300090;3002900010;3002900030;3002900040;3002900050;3002900090,23,0,3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002200010;3002200090;3002300010;3002300090;3002410010;3002410090;3002420010;3002420090;3002490010;3002490020;3002490090;3002510000;3002590000;3002900010;3002900020;3002900030;3002900040;3002900050;3002900090,3001200000;3001900010;3001900020;3001900090;3003100000;3003200000;3003310000;3003390000;3003410000;3003420000;3003430000;3003490000;3003600000;3003900030;3003900090;3004100010;3004100090;3004200011;3004200012;3004200013;3004200018;3004200019;3004200080;3004200090;3004310000;3004320000;3004390011;3004390012;3004390013;3004390019;3004390090;3004410000;3004420000;3004430000;3004490010;3004490090;3004500011;3004500012;3004500014;3004500019;3004500090;3004600000;3004900011;3004900012;3004900019;3004900021;3004900022;3004900023;3004900024;3004900025;3004900026;3004900027;3004900029;3004900031;3004900032;3004900033;3004900034;3004900035;3004900036;3004900039;3004900042;3004900043;3004900049;3004900050;3004900061;3004900069;3004900071;3004900072;3004900073;3004900074;3004900075;3004900076;3004900077;3004900078;3004900079;3004900090;3005100010;3005100091;3005100099;3005900020;3005900030;3005900040;3005900090;3006100010;3006100090;3006200020;3006200090;3006300010;3006300090;3006400010;3006400090;3006500000;3006600000;3006701000;3006709000;3006910000;3006920000;3006931000;3006932000;3006933000;3006934000;3006939000,3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002900010;3002900040;3002900050;3002900090;3003430000;3003490000;3003600000;3004410000;3004420000;3004490090;3004600000;3006600000,
no,declared,114,3002100021,1,1,199801,imports,3002,300210,201612,201701,1761536873.00,"Blood plasma, for therapeutic or prophylactic use in humans",no,yes,2012->2017,yes,yes,same_heading,30,0,30,132,132,116,132,3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002200010;3002200090;3002300010;3002300090;3002900010;3002900030;3002900040;3002900050;3002900090,23,0,3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002200010;3002200090;3002300010;3002300090;3002410010;3002410090;3002420010;3002420090;3002490010;3002490020;3002490090;3002510000;3002590000;3002900010;3002900020;3002900030;3002900040;3002900050;3002900090,3001200000;3001900010;3001900020;3001900090;3003100000;3003200000;3003310000;3003390000;3003410000;3003420000;3003430000;3003490000;3003600000;3003900030;3003900090;3004100010;3004100090;3004200011;3004200012;3004200013;3004200018;3004200019;3004200080;3004200090;3004310000;3004320000;3004390011;3004390012;3004390013;3004390019;3004390090;3004410000;3004420000;3004430000;3004490010;3004490090;3004500011;3004500012;3004500014;3004500019;3004500090;3004600000;3004900011;3004900012;3004900019;3004900021;3004900022;3004900023;3004900024;3004900025;3004900026;3004900027;3004900029;3004900031;3004900032;3004900033;3004900034;3004900035;3004900036;3004900039;3004900042;3004900043;3004900049;3004900050;3004900061;3004900069;3004900071;3004900072;3004900073;3004900074;3004900075;3004900076;3004900077;3004900078;3004900079;3004900090;3005100010;3005100091;3005100099;3005900020;3005900030;3005900040;3005900090;3006100010;3006100090;3006200020;3006200090;3006300010;3006300090;3006400010;3006400090;3006500000;3006600000;3006701000;3006709000;3006910000;3006920000;3006931000;3006932000;3006933000;3006934000;3006939000,3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002900010;3002900040;3002900050;3002900090;3003430000;3003490000;3003600000;3004410000;3004420000;3004490090;3004600000;3006600000,
no,declared,114,3002100022,1,1,199801,imports,3002,300210,201612,201701,2414301.00,"Normal serum globulin, for therapeutic or prophylactic use in humans",no,yes,2012->2017,yes,yes,same_heading,30,0,30,132,132,116,132,3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002200010;3002200090;3002300010;3002300090;3002900010;3002900030;3002900040;3002900050;3002900090,23,0,3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002200010;3002200090;3002300010;3002300090;3002410010;3002410090;3002420010;3002420090;3002490010;3002490020;3002490090;3002510000;3002590000;3002900010;3002900020;3002900030;3002900040;3002900050;3002900090,3001200000;3001900010;3001900020;3001900090;3003100000;3003200000;3003310000;3003390000;3003410000;3003420000;3003430000;3003490000;3003600000;3003900030;3003900090;3004100010;3004100090;3004200011;3004200012;3004200013;3004200018;3004200019;3004200080;3004200090;3004310000;3004320000;3004390011;3004390012;3004390013;3004390019;3004390090;3004410000;3004420000;3004430000;3004490010;3004490090;3004500011;3004500012;3004500014;3004500019;3004500090;3004600000;3004900011;3004900012;3004900019;3004900021;3004900022;3004900023;3004900024;3004900025;3004900026;3004900027;3004900029;3004900031;3004900032;3004900033;3004900034;3004900035;3004900036;3004900039;3004900042;3004900043;3004900049;3004900050;3004900061;3004900069;3004900071;3004900072;3004900073;3004900074;3004900075;3004900076;3004900077;3004900078;3004900079;3004900090;3005100010;3005100091;3005100099;3005900020;3005900030;3005900040;3005900090;3006100010;3006100090;3006200020;3006200090;3006300010;3006300090;3006400010;3006400090;3006500000;3006600000;3006701000;3006709000;3006910000;3006920000;3006931000;3006932000;3006933000;3006934000;3006939000,3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002900010;3002900040;3002900050;3002900090;3003430000;3003490000;3003600000;3004410000;3004420000;3004490090;3004600000;3006600000,
no,declared,114,3002100023,1,1,199801,imports,3002,300210,201612,201701,1415737704.00,"Immune serum globulin, for therapeutic or prophylactic use in humans",no,yes,2012->2017,yes,yes,same_heading,30,0,30,132,132,116,132,3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002200010;3002200090;3002300010;3002300090;3002900010;3002900030;3002900040;3002900050;3002900090,23,0,3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002200010;3002200090;3002300010;3002300090;3002410010;3002410090;3002420010;3002420090;3002490010;3002490020;3002490090;3002510000;3002590000;3002900010;3002900020;3002900030;3002900040;3002900050;3002900090,3001200000;3001900010;3001900020;3001900090;3003100000;3003200000;3003310000;3003390000;3003410000;3003420000;3003430000;3003490000;3003600000;3003900030;3003900090;3004100010;3004100090;3004200011;3004200012;3004200013;3004200018;3004200019;3004200080;3004200090;3004310000;3004320000;3004390011;3004390012;3004390013;3004390019;3004390090;3004410000;3004420000;3004430000;3004490010;3004490090;3004500011;3004500012;3004500014;3004500019;3004500090;3004600000;3004900011;3004900012;3004900019;3004900021;3004900022;3004900023;3004900024;3004900025;3004900026;3004900027;3004900029;3004900031;3004900032;3004900033;3004900034;3004900035;3004900036;3004900039;3004900042;3004900043;3004900049;3004900050;3004900061;3004900069;3004900071;3004900072;3004900073;3004900074;3004900075;3004900076;3004900077;3004900078;3004900079;3004900090;3005100010;3005100091;3005100099;3005900020;3005900030;3005900040;3005900090;3006100010;3006100090;3006200020;3006200090;3006300010;3006300090;3006400010;3006400090;3006500000;3006600000;3006701000;3006709000;3006910000;3006920000;3006931000;3006932000;3006933000;3006934000;3006939000,3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002900010;3002900040;3002900050;3002900090;3003430000;3003490000;3003600000;3004410000;3004420000;3004490090;3004600000;3006600000,
no,declared,114,3002100029,1,1,199801,imports,3002,300210,201612,201701,5754885877.00,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",no,yes,2012->2017,yes,yes,same_heading,30,0,30,132,132,116,132,3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002200010;3002200090;3002300010;3002300090;3002900010;3002900030;3002900040;3002900050;3002900090,23,0,3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002200010;3002200090;3002300010;3002300090;3002410010;3002410090;3002420010;3002420090;3002490010;3002490020;3002490090;3002510000;3002590000;3002900010;3002900020;3002900030;3002900040;3002900050;3002900090,3001200000;3001900010;3001900020;3001900090;3003100000;3003200000;3003310000;3003390000;3003410000;3003420000;3003430000;3003490000;3003600000;3003900030;3003900090;3004100010;3004100090;3004200011;3004200012;3004200013;3004200018;3004200019;3004200080;3004200090;3004310000;3004320000;3004390011;3004390012;3004390013;3004390019;3004390090;3004410000;3004420000;3004430000;3004490010;3004490090;3004500011;3004500012;3004500014;3004500019;3004500090;3004600000;3004900011;3004900012;3004900019;3004900021;3004900022;3004900023;3004900024;3004900025;3004900026;3004900027;3004900029;3004900031;3004900032;3004900033;3004900034;3004900035;3004900036;3004900039;3004900042;3004900043;3004900049;3004900050;3004900061;3004900069;3004900071;3004900072;3004900073;3004900074;3004900075;3004900076;3004900077;3004900078;3004900079;3004900090;3005100010;3005100091;3005100099;3005900020;3005900030;3005900040;3005900090;3006100010;3006100090;3006200020;3006200090;3006300010;3006300090;3006400010;3006400090;3006500000;3006600000;3006701000;3006709000;3006910000;3006920000;3006931000;3006932000;3006933000;3006934000;3006939000,3002110000;3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002190000;3002900010;3002900040;3002900050;3002900090;3003430000;3003490000;3003600000;3004410000;3004420000;3004490090;3004600000;3006600000,
