retiring_code,flow,last_period,boundary,total_value_cad,description,deciding_layer,outcome,official_destinations,n_official,candidates_before,candidates_after,n_after,official_outside_structural_field,at_hs_revision_boundary,note
30011000,exports,200610,200611,5567265.00,"Glands and other organs, dried, powdered or not, for therapeutic uses",wco_correlation,forced,,0,2,30019000,1,,yes,"the WCO 2002 to 2007 correlation sends this subheading to 300190, leaving 1 of 2 candidate(s)"
30012000,exports,202605,202606,77599600.00,"Extracts of glands/other organs or of their secretions, for therapeutic uses",none,silent_no_source,,0,1,30019000,1,,no,no official source reaches 202606
30021000,exports,201612,201701,2305274480.00,"Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc",constraint_set,constrained,30021100;30021200;30021300;30021400;30021500;30021900,6,15,30021100;30021200;30021300;30021400;30021500;30021900,6,,yes,"bounded by the official record, action constrain"
30021100,exports,202111,202112,450273.00,Malaria diagnostic test kits,wco_correlation,correlated_left_chapter,,0,14,30021200;30021300;30021400;30021500;30021900;30022000;30023000;30024100;30024200;30024900;30025100;30025900;30029010;30029090,14,,yes,"the WCO 2017 to 2022 correlation sends this subheading to 382211, outside Chapter 30"
30021900,exports,202112,202201,7464863.00,"Immunological products, nes, w/n modified/obtained by biotechnological processes",tariff_schedule,silent_no_effect,,0,11,30021200;30021300;30021400;30021500;30024100;30024200;30024900;30025100;30025900;30029010;30029090,11,,yes,"the 2022 schedule holds every candidate, so it excludes none"
30022000,exports,202112,202201,11112477974.00,Vaccines for human medicine,wco_correlation,forced,,0,11,30024100,1,,yes,"the WCO 2017 to 2022 correlation sends this subheading to 300241, leaving 1 of 11 candidate(s)"
30023000,exports,202112,202201,90821585.00,"Vaccines, for veterinary medecine",wco_correlation,forced,,0,11,30024200,1,,yes,"the WCO 2017 to 2022 correlation sends this subheading to 300242, leaving 1 of 11 candidate(s)"
30023010,exports,201606,201607,9430362.00,"Vaccines against foot or mouth disease, veterinary use",tariff_schedule,silent_no_effect,,0,2,30023000;30023090,2,,yes,"the 2016 to 2017 schedule holds every candidate, so it excludes none"
30023090,exports,201612,201701,230488314.00,"Vaccines, veterinary use, nes",tariff_schedule,silent_no_effect,,0,1,30023000,1,,yes,"the 2017 schedule holds every candidate, so it excludes none"
30023100,exports,199512,199601,962870.00,"Vaccines against foot or mouth disease, veterinary use",none,silent_no_source,,0,20,30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30024100;30024200;30024900;30025100;30025900;30029000;30029010;30029020;30029090,20,,no,no official source reaches 199601
30023900,exports,199512,199601,40239940.00,"Vaccines, veterinary use, nes",none,silent_no_source,,0,20,30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30024100;30024200;30024900;30025100;30025900;30029000;30029010;30029020;30029090,20,,no,no official source reaches 199601
30029000,exports,199612,199701,87070203.00,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes",none,silent_no_source,,0,3,30029010;30029020;30029090,3,,no,no official source reaches 199701
30029010,exports,198812,198901,7990944.00,"Human blood;animal blood for therap,prophtc/diag use; microbial prep,human use",none,silent_no_source,,0,3,30029000;30029020;30029090,3,,no,no official source reaches 198901
30029020,exports,198812,198901,331522.00,"Human blood;animal blood for therap,prophtc/diag use;microbial prep nes,vet use",none,silent_no_source,,0,3,30029000;30029010;30029090,3,,no,no official source reaches 198901
30029020,exports,201611,201612,10613008.00,Saxitoxin,tariff_schedule,silent_no_effect,,0,2,30029010;30029090,2,,yes,"the 2016 to 2017 schedule holds every candidate, so it excludes none"
30031000,exports,202605,202606,2184328.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",none,silent_no_source,,0,4,30032000;30033900;30034900;30039000,4,,no,no official source reaches 202606
30033100,exports,199304,199305,745761.00,"Insulin, formulated, in bulk",none,silent_no_source,,0,9,30031000;30032000;30033900;30034000;30034100;30034200;30034900;30036000;30039000,9,,no,no official source reaches 199305
30033100,exports,202505,202506,1208878.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",tariff_schedule,silent_no_effect,,0,5,30031000;30032000;30033900;30034900;30039000,5,,no,"the 2025 schedule holds every candidate, so it excludes none"
30034000,exports,201611,201612,2243690.00,"Alkaloids or their derivs, formltd, not cntg antibiotics or hormones, in bulk",constraint_set,constrained,30034100;30034200;30034300;30034900,4,9,30034100;30034200;30034300;30034900,4,30034300,yes,"bounded by the official record, action constrain"
30034100,exports,202009,202010,16605.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",tariff_schedule,silent_no_effect,,0,8,30031000;30032000;30033100;30033900;30034200;30034900;30036000;30039000,8,,no,"the 2020 schedule holds every candidate, so it excludes none"
30034200,exports,202409,202410,594838.00,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",tariff_schedule,silent_no_effect,,0,6,30031000;30032000;30033100;30033900;30034900;30039000,6,,no,"the 2024 schedule holds every candidate, so it excludes none"
