retiring_code,flow,last_period,boundary,total_value_cad,description,deciding_layer,outcome,official_destinations,n_official,candidates_before,candidates_after,n_after,official_outside_structural_field,at_hs_revision_boundary,note
3001100010,imports,200612,200701,4534592.00,"Animal glands, dried, powdered or not, for therapeutic uses",wco_correlation,narrowed,,0,4,3001900010;3001900020;3001900090,3,,yes,"the WCO 2002 to 2007 correlation sends this subheading to 300190, leaving 3 of 4 candidate(s)"
3001100090,imports,200612,200701,6809180.00,"Glands, nes, and other organs, dried, powdered or not, for therapeutic uses",wco_correlation,narrowed,,0,4,3001900010;3001900020;3001900090,3,,yes,"the WCO 2002 to 2007 correlation sends this subheading to 300190, leaving 3 of 4 candidate(s)"
3001901000,imports,199712,199801,23789116.00,Heparin and its salts,none,silent_no_source,,0,3,3001900010;3001900020;3001900090,3,,no,no official source reaches 199801
3001902000,imports,199712,199801,26959462.00,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",none,silent_no_source,,0,3,3001900010;3001900020;3001900090,3,,no,no official source reaches 199801
3001909000,imports,199712,199801,2825176.00,"Other human or animal subs prepared for therapeutic or prophylactic uses, nes",none,silent_no_source,,0,3,3001900010;3001900020;3001900090,3,,no,no official source reaches 199801
3002100010,imports,201612,201701,3166447761.00,"Antisera & o blood fractions, human origin, for diagnostic use",cbsa_concordance,decided,3002120011,1,30,3002120011,1,,yes,named by Canada's concordance at 201701
3002100021,imports,201612,201701,1761536873.00,"Blood plasma, for therapeutic or prophylactic use in humans",cbsa_concordance,decided,3002120012,1,30,3002120012,1,,yes,named by Canada's concordance at 201701
3002100022,imports,201612,201701,2414301.00,"Normal serum globulin, for therapeutic or prophylactic use in humans",cbsa_concordance,decided,3002120019,1,30,3002120019,1,,yes,named by Canada's concordance at 201701
3002100023,imports,201612,201701,1415737704.00,"Immune serum globulin, for therapeutic or prophylactic use in humans",cbsa_concordance,decided,3002120013,1,30,3002120013,1,,yes,named by Canada's concordance at 201701
3002100029,imports,201612,201701,5754885877.00,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",cbsa_concordance,decided,3002120019,1,30,3002120019,1,,yes,named by Canada's concordance at 201701
3002100030,imports,201612,201701,1100455460.00,"Antisera and other blood fractions, of human origin, for other uses",cbsa_concordance,constrained,3002120012;3002120013;3002120019,3,30,3002120012;3002120013;3002120019,3,,yes,named by Canada's concordance at 201701
3002100041,imports,201612,201701,27309966.00,"Bovine albumin, for parenteral administration in humans",cbsa_concordance,decided,3002120021,1,30,3002120021,1,,yes,named by Canada's concordance at 201701
3002100042,imports,201612,201701,70394543.00,"Sera and antisera, of animal origin, for parenteral administration in humans",cbsa_concordance,decided,3002120021,1,30,3002120021,1,,yes,named by Canada's concordance at 201701
3002100049,imports,201612,201701,135621054.00,"Blood albumin, nes, of animal origin, for parenteral administration in humans",cbsa_concordance,decided,3002120021,1,30,3002120021,1,,yes,named by Canada's concordance at 201701
3002100051,imports,201612,201701,565555590.00,"Blood fractions, nes, for use in humans",cbsa_concordance,decided,3002120021,1,30,3002120021,1,,yes,named by Canada's concordance at 201701
3002100059,imports,201612,201701,1723388665.00,"Blood fractions, nes",cbsa_concordance,decided,3002120029,1,30,3002120029,1,,yes,named by Canada's concordance at 201701
3002100060,imports,201112,201201,1580200084.00,Modified immunological products,cbsa_concordance,decided,3002100090,1,12,3002100090,1,,yes,named by Canada's concordance at 201201
3002100090,imports,201612,201701,7588057599.00,"Antisera,o blood fract,immunological prod,w/n mod/obt biotechnological proc,nes",cbsa_concordance,constrained,3002110000;3002130000;3002140000;3002150000;3002190000,5,30,3002110000;3002130000;3002140000;3002150000;3002190000,5,,yes,named by Canada's concordance at 201701
3002101010,imports,199712,199801,101722161.00,"Antisera & o blood fractions, human origin, for diagnostic use",none,silent_no_source,,0,13,3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090,13,,no,no official source reaches 199801
3002101021,imports,199712,199801,80754016.00,"Blood plasma, for therapeutic or prophylactic use in humans",none,silent_no_source,,0,13,3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090,13,,no,no official source reaches 199801
3002101022,imports,199712,199801,19609749.00,"Normal serum globulin, for therapeutic or prophylactic use in humans",none,silent_no_source,,0,13,3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090,13,,no,no official source reaches 199801
3002101023,imports,199712,199801,24552889.00,"Immune serum globulin, for therapeutic or prophylactic use in humans",none,silent_no_source,,0,13,3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090,13,,no,no official source reaches 199801
3002101029,imports,199712,199801,377806210.00,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",none,silent_no_source,,0,13,3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090,13,,no,no official source reaches 199801
3002101090,imports,199712,199801,70111731.00,"Antisera & o blood fractions, of human origin, for other uses",none,silent_no_source,,0,13,3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090,13,,no,no official source reaches 199801
3002102110,imports,199712,199801,27900542.00,"Bovine albumin, for parenteral administration in humans",none,silent_no_source,,0,13,3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090,13,,no,no official source reaches 199801
3002102120,imports,199712,199801,34907173.00,"Sera and antisera, of animal origin, for parenteral administration in humans",none,silent_no_source,,0,13,3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090,13,,no,no official source reaches 199801
3002102190,imports,199712,199801,40116460.00,"Blood albumin nes, of animal origin, for parenteral administration in humans",none,silent_no_source,,0,13,3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090,13,,no,no official source reaches 199801
3002102910,imports,199712,199801,955745.00,"Blood fractions, nes, for use in humans",none,silent_no_source,,0,13,3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090,13,,no,no official source reaches 199801
3002102920,imports,199104,199105,77143.00,"Blood fractions, nes, for use in animals",none,silent_no_source,,0,24,3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090;3002101010;3002101021;3002101022;3002101023;3002101029;3002101090;3002102110;3002102120;3002102190;3002102910;3002102990,24,,no,no official source reaches 199105
3002102990,imports,199712,199801,26422139.00,"Blood fractions, nes",none,silent_no_source,,0,13,3002100010;3002100021;3002100022;3002100023;3002100029;3002100030;3002100041;3002100042;3002100049;3002100051;3002100059;3002100060;3002100090,13,,no,no official source reaches 199801
3002110000,imports,202112,202201,3361952.00,Malaria diagnostic test kits,wco_correlation,correlated_left_chapter,,0,22,3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002410010;3002410090;3002420010;3002420090;3002490010;3002490020;3002490090;3002510000;3002590000;3002900020;3002900030;3002900040;3002900090,22,,yes,"the WCO 2017 to 2022 correlation sends this subheading to 382211, outside Chapter 30"
3002190000,imports,202112,202201,1629159701.00,"Immunological products, nes, w/n modified/obtained by biotechnological processes",tariff_schedule,silent_no_effect,,0,22,3002120011;3002120012;3002120013;3002120019;3002120021;3002120029;3002130000;3002140000;3002150000;3002410010;3002410090;3002420010;3002420090;3002490010;3002490020;3002490090;3002510000;3002590000;3002900020;3002900030;3002900040;3002900090,22,,yes,"the 2022 schedule holds every candidate, so it excludes none"
3002200010,imports,202112,202201,902421504.00,"Vaccines against influenza virus, for human use",wco_correlation,narrowed,,0,22,3002410010;3002410090,2,,yes,"the WCO 2017 to 2022 correlation sends this subheading to 300241, leaving 2 of 22 candidate(s)"
3002200020,imports,201112,201201,5568753.00,"Vaccines against rubella (german measles), for human use",cbsa_concordance,decided,3002200090,1,2,3002200090,1,,yes,named by Canada's concordance at 201201
3002200030,imports,201111,201112,9012275.00,"Vaccines against rabies, for human use",cbsa_concordance,decided,3002200090,1,3,3002200090,1,,yes,named by Canada's concordance at 201112
3002200090,imports,202112,202201,11076237268.00,"Vaccines, nes, for human medicine",wco_correlation,narrowed,,0,22,3002410010;3002410090,2,,yes,"the WCO 2017 to 2022 correlation sends this subheading to 300241, leaving 2 of 22 candidate(s)"
3002300010,imports,202112,202201,803346426.00,Vacc agnst foot and mth disse; vacc prepr for parentl admin; bovi intrnsl vacc,wco_correlation,narrowed,,0,22,3002420010;3002420090,2,,yes,"the WCO 2017 to 2022 correlation sends this subheading to 300242, leaving 2 of 22 candidate(s)"
3002300090,imports,202112,202201,925135646.00,"Vaccines, veterinary use, nes",wco_correlation,narrowed,,0,22,3002420010;3002420090,2,,yes,"the WCO 2017 to 2022 correlation sends this subheading to 300242, leaving 2 of 22 candidate(s)"
3002301000,imports,199712,199801,33376350.00,Vacc agnst foot and mth disse; vacc prepr for parentl admin; bovi intrnsl vacc,none,silent_no_source,,0,2,3002300010;3002300090,2,,no,no official source reaches 199801
3002309000,imports,199712,199801,29624986.00,"Vaccines, veterinary use, nes",none,silent_no_source,,0,2,3002300010;3002300090,2,,no,no official source reaches 199801
