retiring_code,span_index,flow,last_period,total_value_cad,retiring_description,rank,candidate,candidate_description,similarity_score,vetoed_by,record_overruled_gate,review_flag,same_content_words
30011000,1,exports,200610,5567265.00,"Glands and other organs, dried, powdered or not, for therapeutic uses",1,30019000,"Heparin & its salts;human or animal substances for therap or prophltc uses, nes",0.3803,,,,no
30012000,1,exports,202605,77599600.00,"Extracts of glands/other organs or of their secretions, for therapeutic uses",1,30019000,"Heparin & its salts;human or animal substances for therap or prophltc uses, nes",0.4636,,,,no
30021000,1,exports,201612,2305274480.00,"Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc",1,30021200,"Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",0.7871,,,swapped term,no
30021000,1,exports,201612,2305274480.00,"Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc",2,30021900,"Immunological products, nes, w/n modified/obtained by biotechnological processes",0.7051,,,,no
30021000,1,exports,201612,2305274480.00,"Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc",3,30021300,"Immunological products, unmixed, not put up in measured doses/forms/packings frs",0.3974,,,,no
30021000,1,exports,201612,2305274480.00,"Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc",4,30021500,"Immunological products, put up in measured doses/forms/packings, for retail sale",0.3846,,,,no
30021000,1,exports,201612,2305274480.00,"Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc",5,30021400,"Immunological products,mixed,not put in measured doses/forms/packings f ret sale",0.3797,,,,no
30021000,1,exports,201612,2305274480.00,"Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc",6,30021100,Malaria diagnostic test kits,0.1698,,,,no
30021100,1,exports,202111,450273.00,Malaria diagnostic test kits,1,30029090,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",0.3519,,,,no
30021100,1,exports,202111,450273.00,Malaria diagnostic test kits,2,30021500,"Immunological products, put up in measured doses/forms/packings, for retail sale",0.3019,,,,no
30021100,1,exports,202111,450273.00,Malaria diagnostic test kits,3,30021900,"Immunological products, nes, w/n modified/obtained by biotechnological processes",0.3019,,,,no
30021100,1,exports,202111,450273.00,Malaria diagnostic test kits,4,30021300,"Immunological products, unmixed, not put up in measured doses/forms/packings frs",0.2830,,,,no
30021100,1,exports,202111,450273.00,Malaria diagnostic test kits,5,30021400,"Immunological products,mixed,not put in measured doses/forms/packings f ret sale",0.2593,,,,no
30021100,1,exports,202111,450273.00,Malaria diagnostic test kits,6,30022000,Vaccines for human medicine,0.2545,,,,no
30021100,1,exports,202111,450273.00,Malaria diagnostic test kits,7,30024100,"Vaccines, for human medicine",0.2545,,,,no
30021100,1,exports,202111,450273.00,Malaria diagnostic test kits,8,30029010,Ricin,0.2424,,,,no
30021100,1,exports,202111,450273.00,Malaria diagnostic test kits,9,30024900,"Vaccines,toxins, cultures of micro-organisms (excl yeasts) and sim products, nes",0.2115,,,,no
30021100,1,exports,202111,450273.00,Malaria diagnostic test kits,10,30023000,"Vaccines, for veterinary medecine",0.2000,,,,no
30021100,1,exports,202111,450273.00,Malaria diagnostic test kits,11,30024200,"Vaccines, for veterinary medecine",0.2000,,,,no
