retiring_code,span_index,flow,last_period,total_value_cad,retiring_description,rank,candidate,candidate_description,similarity_score,vetoed_by,record_overruled_gate,review_flag,same_content_words
3001100010,1,imports,200612,4534592.00,"Animal glands, dried, powdered or not, for therapeutic uses",1,3001900090,"Heparin & its salts; human or animal substances for therap or prophltc uses, nes",0.4242,,,,no
3001100010,1,imports,200612,4534592.00,"Animal glands, dried, powdered or not, for therapeutic uses",2,3001900020,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",0.3333,,,,no
3001100010,1,imports,200612,4534592.00,"Animal glands, dried, powdered or not, for therapeutic uses",3,3001900010,Heparin and its salts,0.2597,,,,no
3001100090,1,imports,200612,6809180.00,"Glands, nes, and other organs, dried, powdered or not, for therapeutic uses",1,3001900090,"Heparin & its salts; human or animal substances for therap or prophltc uses, nes",0.3699,,,,no
3001100090,1,imports,200612,6809180.00,"Glands, nes, and other organs, dried, powdered or not, for therapeutic uses",2,3001900020,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",0.3151,,,,no
3001100090,1,imports,200612,6809180.00,"Glands, nes, and other organs, dried, powdered or not, for therapeutic uses",3,3001900010,Heparin and its salts,0.2637,,,,no
3001901000,1,imports,199712,23789116.00,Heparin and its salts,1,3001900010,Heparin and its salts,1.0000,,,,yes
3001901000,1,imports,199712,23789116.00,Heparin and its salts,2,3001900020,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",0.2474,,,,no
3001901000,1,imports,199712,23789116.00,Heparin and its salts,3,3001900090,"Other human or animal subs prepared for therapeutic or prophylactic uses, nes",0.2474,,,,no
3001902000,1,imports,199712,26959462.00,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",1,3001900020,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",1.0000,,,,yes
3001902000,1,imports,199712,26959462.00,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",2,3001900090,"Other human or animal subs prepared for therapeutic or prophylactic uses, nes",0.5526,,,,no
3001902000,1,imports,199712,26959462.00,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",3,3001900010,Heparin and its salts,0.2268,,,,no
3001909000,1,imports,199712,2825176.00,"Other human or animal subs prepared for therapeutic or prophylactic uses, nes",1,3001900090,"Other human or animal subs prepared for therapeutic or prophylactic uses, nes",1.0000,,,,yes
3001909000,1,imports,199712,2825176.00,"Other human or animal subs prepared for therapeutic or prophylactic uses, nes",2,3001900020,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",0.5526,,,,no
3001909000,1,imports,199712,2825176.00,"Other human or animal subs prepared for therapeutic or prophylactic uses, nes",3,3001900010,Heparin and its salts,0.2268,,,,no
3002100010,1,imports,201612,3166447761.00,"Antisera & o blood fractions, human origin, for diagnostic use",1,3002120011,"Human antisera and other human blood fractions, for diagnostic use",0.7317,,,,no
3002100021,1,imports,201612,1761536873.00,"Blood plasma, for therapeutic or prophylactic use in humans",1,3002120012,"Human blood plasma, for therapeutic/prophylactic/other uses",0.7931,,,,no
3002100022,1,imports,201612,2414301.00,"Normal serum globulin, for therapeutic or prophylactic use in humans",1,3002120019,"Human antisera and other human blood fractions, nes",0.3248,,,,no
