link_id,row,verdict,why,retiring_code,retiring_description,retiring_last_traded,proposed_successor,proposed_successor_description,proposed_successor_traded,proposed_successor_wording_match,second_alternative,second_alternative_description,second_alternative_traded,second_alternative_wording_match,how_they_relate,how_the_second_relates,what_this_points_to,check_this_again,decision,correct_successor_if_rejected,reason,decided_by,decided_on
imports:3004.32.00.89:2001-12,1,ANALYST - a candidate is shown but NOT recommended,"SAME FRAME, DIFFERENT TERM: adrenal cortical hormone against hydrocortisone. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",3004.32.00.89,"Adrenal cortical hormones, nes, for human use, in dosage",2001-12,3004.32.00.11,"Hydrocortisone, for human use, in dosage",2002-01 to 2011-12,0.7473,3004.32.00.19,"Medicaments containing corticosteroid hormones, for human use, nes",2002-01 to 2011-12,0.6325,"same class (asserted, no source)","same class (asserted, no source)",ACCEPT is defensible: both are the same kind of medicine. Confirm that adrenal cortical hormone and hydrocortisone name the same goods.,"this one was decided and the method still does not recommend the proposal; the reason is in the why column THE PROPOSAL MAY INVERT THIS LINE'S MEANING: 3004.32.00.89 is a leftover line, and 3004.32.00.81 named hydrocortisone beside it while it traded, so this line was the goods that are NOT that. The proposal turns on hydrocortisone. Flagged, not removed.",reject,3004.32.00.19,"REJECT, successor 3004.32.00.19, 2026-08-14. THIS REVERSES THE EARLIER ACCEPT ONTO 3004.32.00.11, WHICH CARRIED NO REASON. The 2002 renumbering of the block moved each line to its counterpart: .81 hydrocortisone to .11 hydrocortisone, and .90 veterinary to .20 veterinary. The retiring line is the residual, .89 'Adrenal cortical hormones, nes', so it goes to the residual, .19 'Medicaments containing corticosteroid hormones, for human use, nes', which begins 2002-01, the month after .89 ends, and carries CAD 578,742,262 against the hydrocortisone line's CAD 30,740,274. Sending a residual to a line carved out of it is the same defect as row 210.",analysts,2026-08-14
exports:3004.90.10:1988-12,2,CONFIRM - the evidence supports this link,,3004.90.10,"Medicaments nes, in dosage, for human use",1988-12,3004.90.00,"Medicaments nes, in dosage",1989-01 to 2017-12,0.7812,,,,,unknown,,,,accept,,,analysts,2026-08-11
imports:3004.90.99.40:1989-12,3,CONFIRM - the evidence supports this link,,3004.90.99.40,"Anti-infective agents, for human use, in dosage",1989-12,3004.90.99.49,"Anti-infective agents, for human use, in dosage, nes",1990-01 to 1997-12,0.9574,,,,,its own leftover line (from the tariff structure),,,,accept,,,analysts,2026-08-11
imports:3004.90.10.90:1997-12,4,CONFIRM - the evidence supports this link,,3004.90.10.90,"Mx of amino acids & protein hydrolysates, etc, in dosage",1997-12,3004.90.00.19,"Mx of amino acids & protein hydrolysates, etc, in dosage, nes",1998-01 to 2026-06,0.9630,,,,,a catch-all line that may cover it (read off the successor's own wording),,,,accept,,,analysts,2026-08-11
imports:3004.32.00.90:2001-12,5,ANALYST - a candidate is shown but NOT recommended,"SAME FRAME, DIFFERENT TERM: adrenal cortical against corticosteriod. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",3004.32.00.90,"Adrenal cortical hormones, for vet use, in dosage",2001-12,3004.32.00.20,"Corticosteriod hormones, for veterinary use, in dosage",2002-01 to 2011-12,0.7475,,"no other candidate passes the rules; every one either swaps the term that carries the meaning, shares nothing with this description, or stops trading within two years of it",,,"same class (asserted, no source)",,ACCEPT is defensible: both are the same kind of medicine. Confirm that adrenal cortical and corticosteriod name the same goods.,this one was decided and the method still does not recommend the proposal; the reason is in the why column,accept,,,analysts,2026-08-12
imports:3002.90.10.10:1996-12,6,CONFIRM - the evidence supports this link,,3002.90.10.10,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",1996-12,3002.90.00.19,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",1998-01 to 2016-12,0.9718,,,,,its own leftover line (from the tariff structure),,,,accept,,,analysts,2026-08-11
imports:3004.10.00.14:1991-12,7,CONFIRM - the evidence supports this link,,3004.10.00.14,"Amoxycillin for human use, in dosage",1991-12,3004.10.00.13,"Amoxycillin for human use, in dosage",1988-01 to 2011-12,1.0000,,,,,the same commodity under a new number (the two descriptions match),,,,accept,,,analysts,2026-08-12
exports:3004.20.10:1988-12,8,CONFIRM - the evidence supports this link,,3004.20.10,"Antibiotics nes, in dosage, for human use",1988-12,3004.20.00,"Antibiotics nes, in dosage",1989-01 to 2026-06,0.7812,,,,,unknown,,,,accept,,,analysts,2026-08-11
exports:3004.39.10:1988-12,9,CONFIRM - the evidence supports this link,,3004.39.10,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,human use",1988-12,3004.39.00,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive",1989-01 to 2026-06,0.9306,,,,,unknown,,,,accept,,,analysts,2026-08-11
exports:3004.90.20:1988-12,10,CONFIRM - the evidence supports this link,,3004.90.20,"Medicaments nes, in dosage, for veterinary use",1988-12,3004.90.00,"Medicaments nes, in dosage",1989-01 to 2017-12,0.7246,,,,,unknown,,,,accept,,,analysts,2026-08-11
imports:3004.40.90.20:1997-07,11,ANALYST - a candidate is shown but NOT recommended,"SAME FRAME, DIFFERENT TERM: quinidine sulphate against vincristine. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",3004.40.90.20,"Quinidine sulphate, for human use, in dosage",1997-07,3004.40.00.20,"Vincristine, for human use, in dosage",1998-01 to 2011-12,0.7792,3004.40.00.80,"Narcotic veg alkaloids or their narc derivs, nes, for human use, in dosage",1998-01 to 2011-12,0.5487,"different class (asserted, no source)",a catch-all line that may cover it (read off the alternative's own wording),"NOT the proposal: it is a different kind of medicine. Neither code offered is this one's own family line, so weigh both.",this one was decided and the method still does not recommend the proposal; the reason is in the why column,reject,3004.40.00.90,"Quinidine is a cinchona alkaloid and non-narcotic, so it belongs to the non-narcotic leftover line and not the narcotic one. The receiving block ends in two leftovers, 3004.40.00.80 for other narcotic vegetable alkaloids and 3004.40.00.90 for other non-narcotic, and the code carries stated_termination 199712, so the 1998 numbering is what receives it. 3004.40.00.90 is candidate 13 at 0.5299 and no meaning rule removed it. The proposal, Vincristine, is a named antineoplastic and a different medicine; its 0.7792 match is the shared frame 'for human use, in dosage'. The second alternative the sheet offers, 3004.40.00.80, is the wrong side of the narcotic split.",analysts,2026-08-12
exports:3004.10.10:1988-12,12,CONFIRM - the evidence supports this link,,3004.10.10,"Penicillins or streptomycins and their derivatives,in dosage,for human use",1988-12,3004.10.00,"Penicillins or streptomycins and their derivatives, in dosage",1989-01 to 2026-06,0.8955,,,,,unknown,,,,accept,,,analysts,2026-08-11
