link_id,retiring_code,span_index,flow,last_period,total_value_cad,retiring_description,successor,successor_description,successor_first_traded,successor_last_traded,outcome,authority,basis,detail,decided_by,decided_on,reason,overrode_a_hold
exports:3001.10.00:2006-10,3001.10.00,1,exports,200610,5567265.00,"Glands and other organs, dried, powdered or not, for therapeutic uses",3001.90.00,"Heparin & its salts;human or animal substnces for therap or prophltc uses, nes",198801,200612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,"ACCEPT 3001.90.00 on the official record, 2026-08-14. The WCO correlation table for the 2002-to-2007 revision maps 3001.10 to 3001.90 and to nothing else, and states the reason in its own remark: ""Deletion of subheading 3001.10 because of the low volume of trade."" Confirmed from both of the document's tables, which are typeset independently and run in opposite directions: Table I page 10 gives 3001.90 <- 3001.10, Table II page 42 gives 3001.10 -> ex3001.90. Extracted into evidence/wto/wto_ch30_pairs.csv by evidence/wto/extract_wto_pairs.py. THIS OVERTURNS THE EARLIER ANSWER OF 3001.20.00, which was accepted before the tables were read and while the software proposed it. The released v1 crosswalk carries that same 3001.10 to 3001.20 link, and v1's OWN provenance file already describes it as ""editorial judgement, not WTO-supported"", naming the very table that contradicts it. The two import twins 3001.10.00.10 and 3001.10.00.90 now propose 3001.90.00.90 and are still to be answered. LIMITATION, STATED BECAUSE THE DOCUMENT STATES IT: the correlation tables are a guide published by the WCO Secretariat and, in the document's own words, ""are not to be regarded as constituting classification decisions"" and ""do not have legal status"". They are the best available account of where the goods went across a revision; they are not a ruling.",no
exports:3001.20.00:2026-05,3001.20.00,1,exports,202605,77599600.00,"Extracts of glands/other organs or of their secretions, for therapeutic uses",,,,,not_a_retirement,delivery,no_termination_declared,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",,,,no
exports:3002.10.00:2016-12,3002.10.00,1,exports,201612,2305274480.00,"Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc",3002.12.00,"Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",201701,202606,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-14,"ACCEPT 3002.12.00, 2026-08-14. The WCO 2012-to-2017 table subdivided 3002.10 into 3002.11 to 3002.15 and 3002.19 for immunological products, so the record bounds the answer to that list rather than naming one. Antisera and other blood fractions is 3002.12, and the retiring line is antisera and other blood fractions.",no
exports:3002.11.00:2021-11,3002.11.00,1,exports,202111,450273.00,Malaria diagnostic test kits,,,,,left_chapter,analyst,reject_none,the analyst rejected the proposal and recorded no successor in this chapter,analysts,2026-08-12,"NONE, on the official record, 2026-08-14. The WCO 2017-to-2022 correlation table maps 3002.11 to 3822.11 and to nothing else, so the goods left Chapter 30 and this crosswalk has no successor to record. Confirmed from BOTH of the document's own tables, which are typeset independently and in opposite directions: Table I page 10 gives 3822.11 <- 3002.11, and Table II page 30 gives 3002.11 -> ex3822.11. The remark beside it states the mechanism: ""Creation of new exclusion Note 1 (ij) to Chapter 30 and new subheadings 3822.11, 3822.12 and 3822.19 entail the transfer of [goods] from subheadings 3002.11, 3002.13, 3002.14 and 3002.15 to new subheadings 3822.11, 3822.12 and 3822.19."" Extracted into evidence/wto/wto_ch30_pairs.csv by evidence/wto/extract_wto_pairs.py. THE EARLIER ANSWER WAS 3002.15.00 AND ITS REASONING WAS SOUND ON ITS OWN TERMS; it is kept below. Every factual claim in it was checked and holds. What it could not know is that the same exclusion note is also emptying 3002.15 into 3822, so the line it named was itself on the way out. This is the hold working: the row was marked DO NOT DECIDE - waiting on a document, it was answered over that hold, and the document disagreed. --- ORIGINAL ANSWER, 3002.15.00, KEPT AS WRITTEN --- HS2022 withdrew the malaria diagnostic test kit line, stated_termination 202112, and the goods return to the immunological products they were carved from. A malaria rapid test is an antibody-based immunological product sold as a retail-packed kit, which is what 3002.15.00 describes: immunological products put up in measured doses or in forms or packings for retail sale. It is also the only line in the group that can receive them: HS2022 withdrew 3002.19.00, immunological products nes, at the same 202112 boundary as the retiring code, and it is absent from the 2022 and 2025 schedules, so it cannot be a fallback. 3002.15.00 traded through to 2026-06 and carries no stated_termination or veto. The proposal, the human blood catch-all at 0.3551, is not an immunological products line at all.",no
exports:3002.19.00:2021-12,3002.19.00,1,exports,202112,7464863.00,"Immunological products, nes, w/n modified/obtained by biotechnological processes",3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,succeeded,analyst,reject_named,the analyst rejected the proposal and named 3002.90.90 instead,analysts,2026-08-15,"REJECT, successor 3002.90.90, 2026-08-15. THIS REVERSES THE UNRESOLVED RULING OF 2026-08-14. The argument is the import twin's at row 213 and the tariff structure is identical: the 2022 schedule leaves the 3002.1 group with no residual, and 3002.90 is heading 30.02's own leftover, so an immunological product that is not unmixed, mixed or in measured doses has nowhere else to fall. THE EXPORT FLOW CANNOT CORROBORATE IT AND IT IS NOT CLAIMED TO, and the direction is against us rather than for us: 3002.19.00 was running at CAD 51,268 a month before the boundary while 3002.90.90 FELL by CAD 2,973,338 a month across it, because it surrendered toxins and cultures to the new 3002.49.00. A line that small cannot be traced against one moving millions in the other direction. The import twin at row 213 carries the evidence.",yes
exports:3002.20.00:2021-12,3002.20.00,1,exports,202112,11112477974.00,Vaccines for human medicine,3002.41.00,"Vaccines, for human medicine",202201,202606,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-14,"ACCEPT 3002.41.00 on the official record, 2026-08-14. The WCO 2017-to-2022 table records that subheadings 3002.20 and 3002.30 were deleted and substituted, and maps 3002.20 to 3002.41. The two descriptions are word for word the same, 1.0000.",no
exports:3002.30.00:2021-12,3002.30.00,1,exports,202112,90821585.00,"Vaccines, for veterinary medecine",3002.42.00,"Vaccines, for veterinary medecine",202201,202606,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-14,"ACCEPT 3002.42.00 on the official record, 2026-08-14. The WCO 2017-to-2022 table maps 3002.30 to 3002.42. The two descriptions are word for word the same, 1.0000.",no
exports:3002.30.10:2016-06,3002.30.10,1,exports,201606,9430362.00,"Vaccines against foot or mouth disease, veterinary use",3002.30.00,"Vaccines, for veterinary medecine",201701,202112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
exports:3002.30.90:2016-12,3002.30.90,1,exports,201612,230488314.00,"Vaccines, veterinary use, nes",3002.30.00,"Vaccines, for veterinary medecine",201701,202112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
exports:3002.31.00:1995-12,3002.31.00,1,exports,199512,962870.00,"Vaccines against foot or mouth disease, veterinary use",3002.30.10,"Vaccines against foot or mouth disease, veterinary use",199602,201606,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
