link_id,retiring_code,span_index,flow,last_period,total_value_cad,retiring_description,successor,successor_description,successor_first_traded,successor_last_traded,outcome,authority,basis,detail,decided_by,decided_on,reason,overrode_a_hold
imports:3001.10.00.10:2006-12,3001.10.00.10,1,imports,200612,4534592.00,"Animal glands, dried, powdered or not, for therapeutic uses",3001.90.00.90,"Heparin & its salts; human or animal substances for therap or prophltc uses, nes",200201,202606,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-14,"ACCEPT 3001.90.00.90, 2026-08-14. The WCO 2002-to-2007 table maps 3001.10 to 3001.90 and to nothing else. Animal glands, dried and powdered, are not heparin and not living or preserved tissue for grafting, which are the only other lines the delivery holds under 3001.90, so the goods fall to its leftover line. Reached by elimination rather than by wording, and decided together with row 223.",no
imports:3001.10.00.90:2006-12,3001.10.00.90,1,imports,200612,6809180.00,"Glands, nes, and other organs, dried, powdered or not, for therapeutic uses",3001.90.00.90,"Heparin & its salts; human or animal substances for therap or prophltc uses, nes",200201,202606,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-14,"ACCEPT 3001.90.00.90, 2026-08-14. The WCO 2002-to-2007 table maps 3001.10 to 3001.90 and to nothing else, with the remark 'Deletion of subheading 3001.10 because of the low volume of trade'. Under 3001.90 the delivery holds three lines and only .90 carries a residual marker, in both of its published wordings; .10 is heparin and .20 is living or preserved tissue for grafting. This is the residual going to the residual, and it is the import side of the ruling made on row 177.",no
imports:3001.90.10.00:1997-12,3001.90.10.00,1,imports,199712,23789116.00,Heparin and its salts,3001.90.00.10,Heparin and its salts,199801,202606,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3001.90.20.00:1997-12,3001.90.20.00,1,imports,199712,26959462.00,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",3001.90.00.20,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",199801,202606,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3001.90.90.00:1997-12,3001.90.90.00,1,imports,199712,2825176.00,"Other human or animal subs prepared for therapeutic or prophylactic uses, nes",3001.90.00.90,"Other human or animal subs prepared for therapeutic or prophylactic uses, nes",199801,200112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.10.00.10:2016-12,3002.10.00.10,1,imports,201612,3166447761.00,"Antisera & o blood fractions, human origin, for diagnostic use",3002.12.00.11,"Human antisera and other human blood fractions, for diagnostic use",201701,202606,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2016 to 2017",,,,no
imports:3002.10.00.21:2016-12,3002.10.00.21,1,imports,201612,1761536873.00,"Blood plasma, for therapeutic or prophylactic use in humans",3002.12.00.12,"Human blood plasma, for therapeutic/prophylactic/other uses",201701,202606,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2016 to 2017",,,,no
imports:3002.10.00.22:2016-12,3002.10.00.22,1,imports,201612,2414301.00,"Normal serum globulin, for therapeutic or prophylactic use in humans",3002.12.00.19,"Human antisera and other human blood fractions, nes",201701,202606,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2016 to 2017",,,,no
imports:3002.10.00.23:2016-12,3002.10.00.23,1,imports,201612,1415737704.00,"Immune serum globulin, for therapeutic or prophylactic use in humans",3002.12.00.13,"Human immune globulin, for therapeutic/prophylactic/other uses",201701,202606,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2016 to 2017",,,,no
imports:3002.10.00.29:2016-12,3002.10.00.29,1,imports,201612,5754885877.00,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",3002.12.00.19,"Human antisera and other human blood fractions, nes",201701,202606,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2016 to 2017",,,,no
imports:3002.10.00.30:2016-12,3002.10.00.30,1,imports,201612,1100455460.00,"Antisera and other blood fractions, of human origin, for other uses",3002.12.00.19,"Human antisera and other human blood fractions, nes",201701,202606,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.10.00.41:2016-12,3002.10.00.41,1,imports,201612,27309966.00,"Bovine albumin, for parenteral administration in humans",3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2016 to 2017",,,,no
imports:3002.10.00.42:2016-12,3002.10.00.42,1,imports,201612,70394543.00,"Sera and antisera, of animal origin, for parenteral administration in humans",3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2016 to 2017",,,,no
imports:3002.10.00.49:2016-12,3002.10.00.49,1,imports,201612,135621054.00,"Blood albumin, nes, of animal origin, for parenteral administration in humans",3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2016 to 2017",,,,no
imports:3002.10.00.51:2016-12,3002.10.00.51,1,imports,201612,565555590.00,"Blood fractions, nes, for use in humans",3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2016 to 2017",,,,no
imports:3002.10.00.59:2016-12,3002.10.00.59,1,imports,201612,1723388665.00,"Blood fractions, nes",3002.12.00.29,"Animal antisera and other animal blood fractions, nes",201701,202606,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2016 to 2017",,,,no
imports:3002.10.00.60:2011-12,3002.10.00.60,1,imports,201112,1580200084.00,Modified immunological products,3002.10.00.90,"Antisera,o blood fract,immunological prod,w/n mod/obt biotechnological proc,nes",201201,201612,succeeded,official_record,decided,"named outright by Canada's ten-digit concordance, 2011 to 2012",,,,no
imports:3002.10.00.90:2016-12,3002.10.00.90,1,imports,201612,7588057599.00,"Antisera,o blood fract,immunological prod,w/n mod/obt biotechnological proc,nes",3002.19.00.00,"Immunological products, nes, w/n modified/obtained by biotechnological processes",201701,202112,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.10.10.10:1997-12,3002.10.10.10,1,imports,199712,101722161.00,"Antisera & o blood fractions, human origin, for diagnostic use",3002.10.00.10,"Antisera & o blood fractions, human origin, for diagnostic use",199801,201612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
imports:3002.10.10.21:1997-12,3002.10.10.21,1,imports,199712,80754016.00,"Blood plasma, for therapeutic or prophylactic use in humans",3002.10.00.21,"Blood plasma, for therapeutic or prophylactic use in humans",199801,201612,succeeded,analyst,approve,the analyst accepted the proposal,analysts,2026-08-12,,no
