span_id,flow,hs_code,description,first_period,last_period,value_cad,codes_in_journey,succession_hops,rewordings_passed,journey,terminal_code,terminal_description,terminal_first_period,terminal_last_period,terminal_status
exports:3001.10.00:1988-01,exports,3001.10.00,"Glands and other organs, dried, powdered or not, for therapeutic uses",198801,200610,5567265,2,1,1,3001.10.00 -> 3001.90.00,3001.90.00,"Heparin & its salts;human or animal substances for therap or prophltc uses, nes",200701,202606,active
exports:3001.20.00:1988-01,exports,3001.20.00,"Extracts of glands/other organs or of their secretions, for therapeutic uses",198801,202605,77599600,1,0,0,3001.20.00,3001.20.00,"Extracts of glands/other organs or of their secretions, for therapeutic uses",198801,202605,not_a_retirement
exports:3001.90.00:1988-01,exports,3001.90.00,"Heparin & its salts;human or animal substnces for therap or prophltc uses, nes",198801,200612,1272402095,1,0,1,3001.90.00,3001.90.00,"Heparin & its salts;human or animal substances for therap or prophltc uses, nes",200701,202606,active
exports:3001.90.00:2007-01,exports,3001.90.00,"Heparin & its salts;human or animal substances for therap or prophltc uses, nes",200701,202606,655557587,1,0,0,3001.90.00,3001.90.00,"Heparin & its salts;human or animal substances for therap or prophltc uses, nes",200701,202606,active
exports:3002.10.00:1988-01,exports,3002.10.00,"Antisera and other bld fract and mod immn prod, w/n obtained b/m of btech proc",198801,201112,1854440060,2,1,1,3002.10.00 -> 3002.12.00,3002.12.00,"Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",201701,202606,active
exports:3002.10.00:2012-01,exports,3002.10.00,"Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc",201201,201612,450834420,2,1,0,3002.10.00 -> 3002.12.00,3002.12.00,"Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",201701,202606,active
exports:3002.11.00:2017-02,exports,3002.11.00,Malaria diagnostic test kits,201702,202111,450273,1,0,0,3002.11.00,3002.11.00,Malaria diagnostic test kits,201702,202111,left_chapter
exports:3002.12.00:2017-01,exports,3002.12.00,"Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",201701,202606,2129339097,1,0,0,3002.12.00,3002.12.00,"Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",201701,202606,active
exports:3002.13.00:2017-06,exports,3002.13.00,"Immunological products, unmixed, not put up in measured doses/forms/packings frs",201706,202606,7212680,1,0,0,3002.13.00,3002.13.00,"Immunological products, unmixed, not put up in measured doses/forms/packings frs",201706,202606,active
exports:3002.14.00:2017-01,exports,3002.14.00,"Immunological products,mixed,not put in measured doses/forms/packings f ret sale",201701,202606,10864290,1,0,0,3002.14.00,3002.14.00,"Immunological products,mixed,not put in measured doses/forms/packings f ret sale",201701,202606,active
exports:3002.15.00:2017-01,exports,3002.15.00,"Immunological products, put up in measured doses/forms/packings, for retail sale",201701,202606,697199737,1,0,0,3002.15.00,3002.15.00,"Immunological products, put up in measured doses/forms/packings, for retail sale",201701,202606,active
exports:3002.19.00:2017-01,exports,3002.19.00,"Immunological products, nes, w/n modified/obtained by biotechnological processes",201701,202112,7464863,2,1,0,3002.19.00 -> 3002.90.90,3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
exports:3002.20.00:1988-01,exports,3002.20.00,"Vaccines, human use",198801,200112,596972799,2,1,1,3002.20.00 -> 3002.41.00,3002.41.00,"Vaccines, for human medicine",202201,202606,active
exports:3002.20.00:2002-01,exports,3002.20.00,Vaccines for human medicine,200201,202112,10515505175,2,1,0,3002.20.00 -> 3002.41.00,3002.41.00,"Vaccines, for human medicine",202201,202606,active
exports:3002.30.00:2017-01,exports,3002.30.00,"Vaccines, for veterinary medecine",201701,202112,90821585,2,1,0,3002.30.00 -> 3002.42.00,3002.42.00,"Vaccines, for veterinary medecine",202201,202606,active
exports:3002.30.10:1996-02,exports,3002.30.10,"Vaccines against foot or mouth disease, veterinary use",199602,201606,9430362,3,2,0,3002.30.10 -> 3002.30.00 -> 3002.42.00,3002.42.00,"Vaccines, for veterinary medecine",202201,202606,active
exports:3002.30.90:1996-01,exports,3002.30.90,"Vaccines, veterinary use, nes",199601,201612,230488314,3,2,0,3002.30.90 -> 3002.30.00 -> 3002.42.00,3002.42.00,"Vaccines, for veterinary medecine",202201,202606,active
exports:3002.31.00:1988-01,exports,3002.31.00,"Vaccines against foot or mouth disease, veterinary use",198801,199512,962870,4,3,0,3002.31.00 -> 3002.30.10 -> 3002.30.00 -> 3002.42.00,3002.42.00,"Vaccines, for veterinary medecine",202201,202606,active
exports:3002.39.00:1988-01,exports,3002.39.00,"Vaccines, veterinary use, nes",198801,199512,40239940,4,3,0,3002.39.00 -> 3002.30.90 -> 3002.30.00 -> 3002.42.00,3002.42.00,"Vaccines, for veterinary medecine",202201,202606,active
exports:3002.41.00:2022-01,exports,3002.41.00,"Vaccines, for human medicine",202201,202606,3107598283,1,0,0,3002.41.00,3002.41.00,"Vaccines, for human medicine",202201,202606,active
exports:3002.42.00:2022-01,exports,3002.42.00,"Vaccines, for veterinary medecine",202201,202606,219097026,1,0,0,3002.42.00,3002.42.00,"Vaccines, for veterinary medecine",202201,202606,active
exports:3002.49.00:2022-01,exports,3002.49.00,"Vaccines,toxins, cultures of micro-organisms (excl yeasts) and sim products, nes",202201,202606,276193421,1,0,0,3002.49.00,3002.49.00,"Vaccines,toxins, cultures of micro-organisms (excl yeasts) and sim products, nes",202201,202606,active
exports:3002.51.00:2022-02,exports,3002.51.00,"Cell therapy products, whether or not modified",202202,202606,7985851,1,0,0,3002.51.00,3002.51.00,"Cell therapy products, whether or not modified",202202,202606,active
exports:3002.59.00:2022-02,exports,3002.59.00,"Cell cultures, whether or not modified, nes",202202,202606,8567292,1,0,0,3002.59.00,3002.59.00,"Cell cultures, whether or not modified, nes",202202,202606,active
exports:3002.90.00:1989-01,exports,3002.90.00,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes",198901,199612,87070203,2,1,3,3002.90.00 -> 3002.90.90,3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
exports:3002.90.10:1988-01,exports,3002.90.10,"Human blood;animal blood for therap,prophtc/diag use; microbial prep,human use",198801,198812,7990944,3,2,3,3002.90.10 -> 3002.90.00 -> 3002.90.90,3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
exports:3002.90.10:1997-12,exports,3002.90.10,Ricin,199712,202606,176854182,1,0,0,3002.90.10,3002.90.10,Ricin,199712,202606,active
exports:3002.90.20:1988-01,exports,3002.90.20,"Human blood;animal blood for therap,prophtc/diag use;microbial prep nes,vet use",198801,198812,331522,3,2,3,3002.90.20 -> 3002.90.00 -> 3002.90.90,3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
exports:3002.90.20:1997-05,exports,3002.90.20,Saxitoxin,199705,201611,10613008,2,1,2,3002.90.20 -> 3002.90.90,3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
exports:3002.90.90:1997-01,exports,3002.90.90,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep, nes",199701,201112,466598868,1,0,3,3002.90.90,3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
exports:3002.90.90:2012-01,exports,3002.90.90,"Human blood; animal blood for therap/prophltc/diag uses;micro-organisms cult,nes",201201,201612,354952944,1,0,2,3002.90.90,3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
exports:3002.90.90:2017-01,exports,3002.90.90,"Human blood;anml blood therap/prophltc/diag uses;toxins,micro-orga cult,sim,nes",201701,202112,401587968,1,0,1,3002.90.90,3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
exports:3002.90.90:2022-01,exports,3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,218528697,1,0,0,3002.90.90,3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
exports:3003.10.00:1988-01,exports,3003.10.00,"Penicillins or streptomycins and their derivatives, formulated, in bulk",198801,200012,748385,1,0,1,3003.10.00,3003.10.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",200204,202605,not_a_retirement
exports:3003.10.00:2002-04,exports,3003.10.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",200204,202605,1435943,1,0,0,3003.10.00,3003.10.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",200204,202605,not_a_retirement
exports:3003.20.00:1988-01,exports,3003.20.00,"Antibiotics nes, formulated, in bulk",198801,200112,7676418,1,0,1,3003.20.00,3003.20.00,"Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",200201,202606,active
exports:3003.20.00:2002-01,exports,3003.20.00,"Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",200201,202606,831236406,1,0,0,3003.20.00,3003.20.00,"Medicaments,cont antibiotics,nes,mix,for therap/prophltc,nfrs,o/t No 30.02/05/06",200201,202606,active
exports:3003.31.00:1988-01,exports,3003.31.00,"Insulin, formulated, in bulk",198801,199304,745761,2,1,1,3003.31.00 -> 3003.90.00,3003.90.00,"Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",201701,202606,active
exports:3003.31.00:2002-03,exports,3003.31.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",200203,202505,1208878,1,0,0,3003.31.00,3003.31.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",200203,202505,not_a_retirement
exports:3003.39.00:1988-01,exports,3003.39.00,"Hormones nes, formulated, not cntg antibiotics, in bulk, o/t contraceptives",198801,200111,205319941,1,0,1,3003.39.00,3003.39.00,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",200201,202606,active
exports:3003.39.00:2002-01,exports,3003.39.00,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",200201,202606,465281939,1,0,0,3003.39.00,3003.39.00,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,nfrs",200201,202606,active
exports:3003.40.00:1988-04,exports,3003.40.00,"Alkaloids or their derivs, formltd, not cntg antibiotics or hormones, in bulk",198804,201611,2243690,2,1,0,3003.40.00 -> 3003.49.00,3003.49.00,"Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",201805,202606,active
exports:3003.41.00:2020-09,exports,3003.41.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",202009,202009,16605,1,0,0,3003.41.00,3003.41.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",202009,202009,not_a_retirement
exports:3003.42.00:2019-05,exports,3003.42.00,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",201905,202409,594838,1,0,0,3003.42.00,3003.42.00,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",201905,202409,not_a_retirement
exports:3003.49.00:2018-05,exports,3003.49.00,"Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",201805,202606,803089,1,0,0,3003.49.00,3003.49.00,"Medi,cont alkaloids/deriv t/o,nes,mix,f therap/prophltc,nfrs,o/t No 30.02/05/06",201805,202606,active
exports:3003.60.00:2018-12,exports,3003.60.00,"Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",201812,202308,7735481,1,0,0,3003.60.00,3003.60.00,"Medicaments,cont antimalarial active principles,mixed,nfrs,o/t No 30.02/05/06",201812,202308,not_a_retirement
exports:3003.90.00:1988-01,exports,3003.90.00,"Medicaments nes, formulated, in bulk",198801,201612,934665379,1,0,1,3003.90.00,3003.90.00,"Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",201701,202606,active
exports:3003.90.00:2017-01,exports,3003.90.00,"Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",201701,202606,895500457,1,0,0,3003.90.00,3003.90.00,"Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",201701,202606,active
exports:3004.10.00:1989-01,exports,3004.10.00,"Penicillins or streptomycins and their derivatives, in dosage",198901,200112,292912539,1,0,1,3004.10.00,3004.10.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",200201,202606,active
exports:3004.10.00:2002-01,exports,3004.10.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",200201,202606,3763788689,1,0,0,3004.10.00,3004.10.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",200201,202606,active
exports:3004.10.10:1988-01,exports,3004.10.10,"Penicillins or streptomycins and their derivatives,in dosage,for human use",198801,198812,3401123,2,1,1,3004.10.10 -> 3004.10.00,3004.10.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",200201,202606,active
exports:3004.10.20:1988-01,exports,3004.10.20,"Penicillins or streptomycins and their derivatives,in dosage,for vet use",198801,198812,992811,2,1,1,3004.10.20 -> 3004.10.00,3004.10.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,frs",200201,202606,active
exports:3004.20.00:1989-01,exports,3004.20.00,"Antibiotics nes, in dosage",198901,200112,393606946,1,0,1,3004.20.00,3004.20.00,"Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",200201,202606,active
exports:3004.20.00:2002-01,exports,3004.20.00,"Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",200201,202606,17228758909,1,0,0,3004.20.00,3004.20.00,"Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",200201,202606,active
