span_id,flow,hs_code,description,first_period,last_period,value_cad,codes_in_journey,succession_hops,rewordings_passed,journey,terminal_code,terminal_description,terminal_first_period,terminal_last_period,terminal_status
imports:3001.10.00.10:1988-01,imports,3001.10.00.10,"Animal glands, dried, powdered or not, for therapeutic uses",198801,200612,4534592,2,1,0,3001.10.00.10 -> 3001.90.00.90,3001.90.00.90,"Heparin & its salts; human or animal substances for therap or prophltc uses, nes",200201,202606,active
imports:3001.10.00.90:1988-01,imports,3001.10.00.90,"Glands, nes, and other organs, dried, powdered or not, for therapeutic uses",198801,200612,6809180,2,1,0,3001.10.00.90 -> 3001.90.00.90,3001.90.00.90,"Heparin & its salts; human or animal substances for therap or prophltc uses, nes",200201,202606,active
imports:3001.20.00.00:1988-01,imports,3001.20.00.00,"Extracts of glands or other organs or of their secretions, for therapeutic uses",198801,202606,111966598,1,0,0,3001.20.00.00,3001.20.00.00,"Extracts of glands or other organs or of their secretions, for therapeutic uses",198801,202606,active
imports:3001.90.00.10:1998-01,imports,3001.90.00.10,Heparin and its salts,199801,202606,663001548,1,0,0,3001.90.00.10,3001.90.00.10,Heparin and its salts,199801,202606,active
imports:3001.90.00.20:1998-01,imports,3001.90.00.20,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",199801,202606,713864638,1,0,0,3001.90.00.20,3001.90.00.20,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",199801,202606,active
imports:3001.90.00.90:1998-01,imports,3001.90.00.90,"Other human or animal subs prepared for therapeutic or prophylactic uses, nes",199801,200112,15709092,1,0,1,3001.90.00.90,3001.90.00.90,"Heparin & its salts; human or animal substances for therap or prophltc uses, nes",200201,202606,active
imports:3001.90.00.90:2002-01,imports,3001.90.00.90,"Heparin & its salts; human or animal substances for therap or prophltc uses, nes",200201,202606,393342344,1,0,0,3001.90.00.90,3001.90.00.90,"Heparin & its salts; human or animal substances for therap or prophltc uses, nes",200201,202606,active
imports:3001.90.10.00:1988-01,imports,3001.90.10.00,Heparin and its salts,198801,199712,23789116,2,1,0,3001.90.10.00 -> 3001.90.00.10,3001.90.00.10,Heparin and its salts,199801,202606,active
imports:3001.90.20.00:1988-01,imports,3001.90.20.00,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",198801,199712,26959462,2,1,0,3001.90.20.00 -> 3001.90.00.20,3001.90.00.20,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",199801,202606,active
imports:3001.90.90.00:1988-01,imports,3001.90.90.00,"Other human or animal subs prepared for therapeutic or prophylactic uses, nes",198801,199712,2825176,2,1,1,3001.90.90.00 -> 3001.90.00.90,3001.90.00.90,"Heparin & its salts; human or animal substances for therap or prophltc uses, nes",200201,202606,active
imports:3002.10.00.10:1998-01,imports,3002.10.00.10,"Antisera & o blood fractions, human origin, for diagnostic use",199801,201612,3166447761,2,1,0,3002.10.00.10 -> 3002.12.00.11,3002.12.00.11,"Human antisera and other human blood fractions, for diagnostic use",201701,202606,active
imports:3002.10.00.21:1998-01,imports,3002.10.00.21,"Blood plasma, for therapeutic or prophylactic use in humans",199801,201612,1761536873,2,1,0,3002.10.00.21 -> 3002.12.00.12,3002.12.00.12,"Human blood plasma, for therapeutic/prophylactic/other uses",201701,202606,active
imports:3002.10.00.22:1998-01,imports,3002.10.00.22,"Normal serum globulin, for therapeutic or prophylactic use in humans",199801,201612,2414301,2,1,0,3002.10.00.22 -> 3002.12.00.19,3002.12.00.19,"Human antisera and other human blood fractions, nes",201701,202606,active
imports:3002.10.00.23:1998-01,imports,3002.10.00.23,"Immune serum globulin, for therapeutic or prophylactic use in humans",199801,201612,1415737704,2,1,0,3002.10.00.23 -> 3002.12.00.13,3002.12.00.13,"Human immune globulin, for therapeutic/prophylactic/other uses",201701,202606,active
imports:3002.10.00.29:1998-01,imports,3002.10.00.29,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",199801,201612,5754885877,2,1,0,3002.10.00.29 -> 3002.12.00.19,3002.12.00.19,"Human antisera and other human blood fractions, nes",201701,202606,active
imports:3002.10.00.30:1998-01,imports,3002.10.00.30,"Antisera & o blood fractions, of human origin, for other uses",199801,200112,123292770,2,1,1,3002.10.00.30 -> 3002.12.00.19,3002.12.00.19,"Human antisera and other human blood fractions, nes",201701,202606,active
imports:3002.10.00.30:2002-01,imports,3002.10.00.30,"Antisera and other blood fractions, of human origin, for other uses",200201,201612,977162690,2,1,0,3002.10.00.30 -> 3002.12.00.19,3002.12.00.19,"Human antisera and other human blood fractions, nes",201701,202606,active
imports:3002.10.00.41:1998-01,imports,3002.10.00.41,"Bovine albumin, for parenteral administration in humans",199801,201612,27309966,2,1,0,3002.10.00.41 -> 3002.12.00.21,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,active
imports:3002.10.00.42:1998-01,imports,3002.10.00.42,"Sera and antisera, of animal origin, for parenteral administration in humans",199801,201612,70394543,2,1,0,3002.10.00.42 -> 3002.12.00.21,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,active
imports:3002.10.00.49:1998-01,imports,3002.10.00.49,"Blood albumin nes, of animal origin, for parenteral administration in humans",199801,200112,23176990,2,1,1,3002.10.00.49 -> 3002.12.00.21,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,active
imports:3002.10.00.49:2002-01,imports,3002.10.00.49,"Blood albumin, nes, of animal origin, for parenteral administration in humans",200201,201612,112444064,2,1,0,3002.10.00.49 -> 3002.12.00.21,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,active
imports:3002.10.00.51:1998-01,imports,3002.10.00.51,"Blood fractions, nes, for use in humans",199801,201612,565555590,2,1,0,3002.10.00.51 -> 3002.12.00.21,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,active
imports:3002.10.00.59:1998-01,imports,3002.10.00.59,"Blood fractions, nes",199801,201612,1723388665,2,1,0,3002.10.00.59 -> 3002.12.00.29,3002.12.00.29,"Animal antisera and other animal blood fractions, nes",201701,202606,active
imports:3002.10.00.60:2003-02,imports,3002.10.00.60,Modified immunological products,200302,201112,1580200084,4,3,0,3002.10.00.60 -> 3002.10.00.90 -> 3002.19.00.00 -> 3002.90.00.90,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
imports:3002.10.00.90:2012-01,imports,3002.10.00.90,"Antisera,o blood fract,immunological prod,w/n mod/obt biotechnological proc,nes",201201,201612,7588057599,3,2,0,3002.10.00.90 -> 3002.19.00.00 -> 3002.90.00.90,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
