record_id,span_id,flow,hs_code,description,first_period,last_period,value_cad,family_id,family_anchor_code,family_anchor_first_traded,family_size,family_commodities,family_display_number,family_codes
EXR-30011000-198801,exports:3001.10.00:1988-01,exports,3001.10.00,"Glands and other organs, dried, powdered or not, for therapeutic uses",198801,200610,5567265,EX-30011000-198801,3001.10.00,198801,2,2,1,3001.10.00;3001.90.00
EXR-30012000-198801,exports:3001.20.00:1988-01,exports,3001.20.00,"Extracts of glands/other organs or of their secretions, for therapeutic uses",198801,202605,77599600,EX-30012000-198801,3001.20.00,198801,1,1,2,3001.20.00
EXR-30019000-198801,exports:3001.90.00:1988-01,exports,3001.90.00,"Heparin & its salts;human or animal substnces for therap or prophltc uses, nes",198801,200612,1272402095,EX-30011000-198801,3001.10.00,198801,2,2,1,3001.10.00;3001.90.00
EXR-30019000-200701,exports:3001.90.00:2007-01,exports,3001.90.00,"Heparin & its salts;human or animal substances for therap or prophltc uses, nes",200701,202606,655557587,EX-30011000-198801,3001.10.00,198801,2,2,1,3001.10.00;3001.90.00
EXR-30021000-198801,exports:3002.10.00:1988-01,exports,3002.10.00,"Antisera and other bld fract and mod immn prod, w/n obtained b/m of btech proc",198801,201112,1854440060,EX-30021000-198801,3002.10.00,198801,2,2,3,3002.10.00;3002.12.00
EXR-30021000-201201,exports:3002.10.00:2012-01,exports,3002.10.00,"Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc",201201,201612,450834420,EX-30021000-198801,3002.10.00,198801,2,2,3,3002.10.00;3002.12.00
EXR-30021100-201702,exports:3002.11.00:2017-02,exports,3002.11.00,Malaria diagnostic test kits,201702,202111,450273,EX-30021100-201702,3002.11.00,201702,1,1,38,3002.11.00
EXR-30021200-201701,exports:3002.12.00:2017-01,exports,3002.12.00,"Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",201701,202606,2129339097,EX-30021000-198801,3002.10.00,198801,2,2,3,3002.10.00;3002.12.00
EXR-30021300-201706,exports:3002.13.00:2017-06,exports,3002.13.00,"Immunological products, unmixed, not put up in measured doses/forms/packings frs",201706,202606,7212680,EX-30021300-201706,3002.13.00,201706,1,1,40,3002.13.00
EXR-30021400-201701,exports:3002.14.00:2017-01,exports,3002.14.00,"Immunological products,mixed,not put in measured doses/forms/packings f ret sale",201701,202606,10864290,EX-30021400-201701,3002.14.00,201701,1,1,33,3002.14.00
EXR-30021500-201701,exports:3002.15.00:2017-01,exports,3002.15.00,"Immunological products, put up in measured doses/forms/packings, for retail sale",201701,202606,697199737,EX-30021500-201701,3002.15.00,201701,1,1,34,3002.15.00
EXR-30021900-201701,exports:3002.19.00:2017-01,exports,3002.19.00,"Immunological products, nes, w/n modified/obtained by biotechnological processes",201701,202112,7464863,EX-30029010-198801,3002.90.10,198801,5,6,6,3002.19.00;3002.90.00;3002.90.10;3002.90.20;3002.90.90
EXR-30022000-198801,exports:3002.20.00:1988-01,exports,3002.20.00,"Vaccines, human use",198801,200112,596972799,EX-30022000-198801,3002.20.00,198801,2,2,4,3002.20.00;3002.41.00
EXR-30022000-200201,exports:3002.20.00:2002-01,exports,3002.20.00,Vaccines for human medicine,200201,202112,10515505175,EX-30022000-198801,3002.20.00,198801,2,2,4,3002.20.00;3002.41.00
EXR-30023000-201701,exports:3002.30.00:2017-01,exports,3002.30.00,"Vaccines, for veterinary medecine",201701,202112,90821585,EX-30023100-198801,3002.31.00,198801,6,6,5,3002.30.00;3002.30.10;3002.30.90;3002.31.00;3002.39.00;3002.42.00
EXR-30023010-199602,exports:3002.30.10:1996-02,exports,3002.30.10,"Vaccines against foot or mouth disease, veterinary use",199602,201606,9430362,EX-30023100-198801,3002.31.00,198801,6,6,5,3002.30.00;3002.30.10;3002.30.90;3002.31.00;3002.39.00;3002.42.00
EXR-30023090-199601,exports:3002.30.90:1996-01,exports,3002.30.90,"Vaccines, veterinary use, nes",199601,201612,230488314,EX-30023100-198801,3002.31.00,198801,6,6,5,3002.30.00;3002.30.10;3002.30.90;3002.31.00;3002.39.00;3002.42.00
EXR-30023100-198801,exports:3002.31.00:1988-01,exports,3002.31.00,"Vaccines against foot or mouth disease, veterinary use",198801,199512,962870,EX-30023100-198801,3002.31.00,198801,6,6,5,3002.30.00;3002.30.10;3002.30.90;3002.31.00;3002.39.00;3002.42.00
EXR-30023900-198801,exports:3002.39.00:1988-01,exports,3002.39.00,"Vaccines, veterinary use, nes",198801,199512,40239940,EX-30023100-198801,3002.31.00,198801,6,6,5,3002.30.00;3002.30.10;3002.30.90;3002.31.00;3002.39.00;3002.42.00
EXR-30024100-202201,exports:3002.41.00:2022-01,exports,3002.41.00,"Vaccines, for human medicine",202201,202606,3107598283,EX-30022000-198801,3002.20.00,198801,2,2,4,3002.20.00;3002.41.00
EXR-30024200-202201,exports:3002.42.00:2022-01,exports,3002.42.00,"Vaccines, for veterinary medecine",202201,202606,219097026,EX-30023100-198801,3002.31.00,198801,6,6,5,3002.30.00;3002.30.10;3002.30.90;3002.31.00;3002.39.00;3002.42.00
EXR-30024900-202201,exports:3002.49.00:2022-01,exports,3002.49.00,"Vaccines,toxins, cultures of micro-organisms (excl yeasts) and sim products, nes",202201,202606,276193421,EX-30024900-202201,3002.49.00,202201,1,1,45,3002.49.00
EXR-30025100-202202,exports:3002.51.00:2022-02,exports,3002.51.00,"Cell therapy products, whether or not modified",202202,202606,7985851,EX-30025100-202202,3002.51.00,202202,1,1,47,3002.51.00
EXR-30025900-202202,exports:3002.59.00:2022-02,exports,3002.59.00,"Cell cultures, whether or not modified, nes",202202,202606,8567292,EX-30025900-202202,3002.59.00,202202,1,1,48,3002.59.00
EXR-30029000-198901,exports:3002.90.00:1989-01,exports,3002.90.00,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes",198901,199612,87070203,EX-30029010-198801,3002.90.10,198801,5,6,6,3002.19.00;3002.90.00;3002.90.10;3002.90.20;3002.90.90
EXR-30029010-198801,exports:3002.90.10:1988-01,exports,3002.90.10,"Human blood;animal blood for therap,prophtc/diag use; microbial prep,human use",198801,198812,7990944,EX-30029010-198801,3002.90.10,198801,5,6,6,3002.19.00;3002.90.00;3002.90.10;3002.90.20;3002.90.90
EXR-30029010-199712,exports:3002.90.10:1997-12,exports,3002.90.10,Ricin,199712,202606,176854182,EX-30029010-199712,3002.90.10,199712,1,1,28,3002.90.10
EXR-30029020-198801,exports:3002.90.20:1988-01,exports,3002.90.20,"Human blood;animal blood for therap,prophtc/diag use;microbial prep nes,vet use",198801,198812,331522,EX-30029010-198801,3002.90.10,198801,5,6,6,3002.19.00;3002.90.00;3002.90.10;3002.90.20;3002.90.90
EXR-30029020-199705,exports:3002.90.20:1997-05,exports,3002.90.20,Saxitoxin,199705,201611,10613008,EX-30029010-198801,3002.90.10,198801,5,6,6,3002.19.00;3002.90.00;3002.90.10;3002.90.20;3002.90.90
EXR-30029090-199701,exports:3002.90.90:1997-01,exports,3002.90.90,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep, nes",199701,201112,466598868,EX-30029010-198801,3002.90.10,198801,5,6,6,3002.19.00;3002.90.00;3002.90.10;3002.90.20;3002.90.90
EXR-30029090-201201,exports:3002.90.90:2012-01,exports,3002.90.90,"Human blood; animal blood for therap/prophltc/diag uses;micro-organisms cult,nes",201201,201612,354952944,EX-30029010-198801,3002.90.10,198801,5,6,6,3002.19.00;3002.90.00;3002.90.10;3002.90.20;3002.90.90
EXR-30029090-201701,exports:3002.90.90:2017-01,exports,3002.90.90,"Human blood;anml blood therap/prophltc/diag uses;toxins,micro-orga cult,sim,nes",201701,202112,401587968,EX-30029010-198801,3002.90.10,198801,5,6,6,3002.19.00;3002.90.00;3002.90.10;3002.90.20;3002.90.90
