record_id,span_id,flow,hs_code,description,first_period,last_period,value_cad,family_id,family_anchor_code,family_anchor_first_traded,family_size,family_commodities,family_display_number,family_codes
IMR-3001100010-198801,imports:3001.10.00.10:1988-01,imports,3001.10.00.10,"Animal glands, dried, powdered or not, for therapeutic uses",198801,200612,4534592,IM-3001100010-198801,3001.10.00.10,198801,4,4,1,3001.10.00.10;3001.10.00.90;3001.90.00.90;3001.90.90.00
IMR-3001100090-198801,imports:3001.10.00.90:1988-01,imports,3001.10.00.90,"Glands, nes, and other organs, dried, powdered or not, for therapeutic uses",198801,200612,6809180,IM-3001100010-198801,3001.10.00.10,198801,4,4,1,3001.10.00.10;3001.10.00.90;3001.90.00.90;3001.90.90.00
IMR-3001200000-198801,imports:3001.20.00.00:1988-01,imports,3001.20.00.00,"Extracts of glands or other organs or of their secretions, for therapeutic uses",198801,202606,111966598,IM-3001200000-198801,3001.20.00.00,198801,1,1,2,3001.20.00.00
IMR-3001900010-199801,imports:3001.90.00.10:1998-01,imports,3001.90.00.10,Heparin and its salts,199801,202606,663001548,IM-3001901000-198801,3001.90.10.00,198801,2,2,3,3001.90.00.10;3001.90.10.00
IMR-3001900020-199801,imports:3001.90.00.20:1998-01,imports,3001.90.00.20,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",199801,202606,713864638,IM-3001902000-198801,3001.90.20.00,198801,2,2,4,3001.90.00.20;3001.90.20.00
IMR-3001900090-199801,imports:3001.90.00.90:1998-01,imports,3001.90.00.90,"Other human or animal subs prepared for therapeutic or prophylactic uses, nes",199801,200112,15709092,IM-3001100010-198801,3001.10.00.10,198801,4,4,1,3001.10.00.10;3001.10.00.90;3001.90.00.90;3001.90.90.00
IMR-3001900090-200201,imports:3001.90.00.90:2002-01,imports,3001.90.00.90,"Heparin & its salts; human or animal substances for therap or prophltc uses, nes",200201,202606,393342344,IM-3001100010-198801,3001.10.00.10,198801,4,4,1,3001.10.00.10;3001.10.00.90;3001.90.00.90;3001.90.90.00
IMR-3001901000-198801,imports:3001.90.10.00:1988-01,imports,3001.90.10.00,Heparin and its salts,198801,199712,23789116,IM-3001901000-198801,3001.90.10.00,198801,2,2,3,3001.90.00.10;3001.90.10.00
IMR-3001902000-198801,imports:3001.90.20.00:1988-01,imports,3001.90.20.00,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",198801,199712,26959462,IM-3001902000-198801,3001.90.20.00,198801,2,2,4,3001.90.00.20;3001.90.20.00
IMR-3001909000-198801,imports:3001.90.90.00:1988-01,imports,3001.90.90.00,"Other human or animal subs prepared for therapeutic or prophylactic uses, nes",198801,199712,2825176,IM-3001100010-198801,3001.10.00.10,198801,4,4,1,3001.10.00.10;3001.10.00.90;3001.90.00.90;3001.90.90.00
