record_id,family_id,flow,step_number,steps_in_journey,hs_code,description,step_first_period,step_last_period,rewordings_within_step,step_status,next_hs_code
EXR-30011000-198801,EX-30011000-198801,exports,1,2,3001.10.00,"Glands and other organs, dried, powdered or not, for therapeutic uses",198801,200610,0,succeeded,3001.90.00
EXR-30011000-198801,EX-30011000-198801,exports,2,2,3001.90.00,"Heparin & its salts;human or animal substances for therap or prophltc uses, nes",198801,202606,1,active,
EXR-30012000-198801,EX-30012000-198801,exports,1,1,3001.20.00,"Extracts of glands/other organs or of their secretions, for therapeutic uses",198801,202605,0,not_a_retirement,
EXR-30019000-198801,EX-30011000-198801,exports,1,1,3001.90.00,"Heparin & its salts;human or animal substances for therap or prophltc uses, nes",198801,202606,1,active,
EXR-30019000-200701,EX-30011000-198801,exports,1,1,3001.90.00,"Heparin & its salts;human or animal substances for therap or prophltc uses, nes",200701,202606,0,active,
EXR-30021000-198801,EX-30021000-198801,exports,1,2,3002.10.00,"Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc",198801,201612,1,succeeded,3002.12.00
EXR-30021000-198801,EX-30021000-198801,exports,2,2,3002.12.00,"Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",201701,202606,0,active,
EXR-30021000-201201,EX-30021000-198801,exports,1,2,3002.10.00,"Antisera, o blood fract, immunological prod,w/n mod/obt by biotechnological proc",201201,201612,0,succeeded,3002.12.00
EXR-30021000-201201,EX-30021000-198801,exports,2,2,3002.12.00,"Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",201701,202606,0,active,
EXR-30021100-201702,EX-30021100-201702,exports,1,1,3002.11.00,Malaria diagnostic test kits,201702,202111,0,left_chapter,
EXR-30021200-201701,EX-30021000-198801,exports,1,1,3002.12.00,"Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",201701,202606,0,active,
EXR-30021300-201706,EX-30021300-201706,exports,1,1,3002.13.00,"Immunological products, unmixed, not put up in measured doses/forms/packings frs",201706,202606,0,active,
