record_id,family_id,flow,step_number,steps_in_journey,hs_code,description,step_first_period,step_last_period,rewordings_within_step,step_status,next_hs_code
IMR-3001100010-198801,IM-3001100010-198801,imports,1,2,3001.10.00.10,"Animal glands, dried, powdered or not, for therapeutic uses",198801,200612,0,succeeded,3001.90.00.90
IMR-3001100010-198801,IM-3001100010-198801,imports,2,2,3001.90.00.90,"Heparin & its salts; human or animal substances for therap or prophltc uses, nes",200201,202606,0,active,
IMR-3001100090-198801,IM-3001100010-198801,imports,1,2,3001.10.00.90,"Glands, nes, and other organs, dried, powdered or not, for therapeutic uses",198801,200612,0,succeeded,3001.90.00.90
IMR-3001100090-198801,IM-3001100010-198801,imports,2,2,3001.90.00.90,"Heparin & its salts; human or animal substances for therap or prophltc uses, nes",200201,202606,0,active,
IMR-3001200000-198801,IM-3001200000-198801,imports,1,1,3001.20.00.00,"Extracts of glands or other organs or of their secretions, for therapeutic uses",198801,202606,0,active,
IMR-3001900010-199801,IM-3001901000-198801,imports,1,1,3001.90.00.10,Heparin and its salts,199801,202606,0,active,
IMR-3001900020-199801,IM-3001902000-198801,imports,1,1,3001.90.00.20,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",199801,202606,0,active,
IMR-3001900090-199801,IM-3001100010-198801,imports,1,1,3001.90.00.90,"Heparin & its salts; human or animal substances for therap or prophltc uses, nes",199801,202606,1,active,
IMR-3001900090-200201,IM-3001100010-198801,imports,1,1,3001.90.00.90,"Heparin & its salts; human or animal substances for therap or prophltc uses, nes",200201,202606,0,active,
IMR-3001901000-198801,IM-3001901000-198801,imports,1,2,3001.90.10.00,Heparin and its salts,198801,199712,0,succeeded,3001.90.00.10
IMR-3001901000-198801,IM-3001901000-198801,imports,2,2,3001.90.00.10,Heparin and its salts,199801,202606,0,active,
IMR-3001902000-198801,IM-3001902000-198801,imports,1,2,3001.90.20.00,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",198801,199712,0,succeeded,3001.90.00.20
IMR-3001902000-198801,IM-3001902000-198801,imports,2,2,3001.90.00.20,"Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",199801,202606,0,active,
IMR-3001909000-198801,IM-3001100010-198801,imports,1,2,3001.90.90.00,"Other human or animal subs prepared for therapeutic or prophylactic uses, nes",198801,199712,0,succeeded,3001.90.00.90
IMR-3001909000-198801,IM-3001100010-198801,imports,2,2,3001.90.00.90,"Heparin & its salts; human or animal substances for therap or prophltc uses, nes",199801,202606,1,active,
IMR-3002100010-199801,IM-3002101010-198801,imports,1,2,3002.10.00.10,"Antisera & o blood fractions, human origin, for diagnostic use",199801,201612,0,succeeded,3002.12.00.11
IMR-3002100010-199801,IM-3002101010-198801,imports,2,2,3002.12.00.11,"Human antisera and other human blood fractions, for diagnostic use",201701,202606,0,active,
IMR-3002100021-199801,IM-3002101021-198801,imports,1,2,3002.10.00.21,"Blood plasma, for therapeutic or prophylactic use in humans",199801,201612,0,succeeded,3002.12.00.12
IMR-3002100021-199801,IM-3002101021-198801,imports,2,2,3002.12.00.12,"Human blood plasma, for therapeutic/prophylactic/other uses",201701,202606,0,active,
IMR-3002100022-199801,IM-3002101022-198801,imports,1,2,3002.10.00.22,"Normal serum globulin, for therapeutic or prophylactic use in humans",199801,201612,0,succeeded,3002.12.00.19
IMR-3002100022-199801,IM-3002101022-198801,imports,2,2,3002.12.00.19,"Human antisera and other human blood fractions, nes",201701,202606,0,active,
IMR-3002100023-199801,IM-3002101023-199001,imports,1,2,3002.10.00.23,"Immune serum globulin, for therapeutic or prophylactic use in humans",199801,201612,0,succeeded,3002.12.00.13
IMR-3002100023-199801,IM-3002101023-199001,imports,2,2,3002.12.00.13,"Human immune globulin, for therapeutic/prophylactic/other uses",201701,202606,0,active,
IMR-3002100029-199801,IM-3002101022-198801,imports,1,2,3002.10.00.29,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",199801,201612,0,succeeded,3002.12.00.19
IMR-3002100029-199801,IM-3002101022-198801,imports,2,2,3002.12.00.19,"Human antisera and other human blood fractions, nes",201701,202606,0,active,
IMR-3002100030-199801,IM-3002101022-198801,imports,1,2,3002.10.00.30,"Antisera and other blood fractions, of human origin, for other uses",199801,201612,1,succeeded,3002.12.00.19
IMR-3002100030-199801,IM-3002101022-198801,imports,2,2,3002.12.00.19,"Human antisera and other human blood fractions, nes",201701,202606,0,active,
IMR-3002100030-200201,IM-3002101022-198801,imports,1,2,3002.10.00.30,"Antisera and other blood fractions, of human origin, for other uses",200201,201612,0,succeeded,3002.12.00.19
IMR-3002100030-200201,IM-3002101022-198801,imports,2,2,3002.12.00.19,"Human antisera and other human blood fractions, nes",201701,202606,0,active,
IMR-3002100041-199801,IM-3002102110-198801,imports,1,2,3002.10.00.41,"Bovine albumin, for parenteral administration in humans",199801,201612,0,succeeded,3002.12.00.21
IMR-3002100041-199801,IM-3002102110-198801,imports,2,2,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,0,active,
IMR-3002100042-199801,IM-3002102110-198801,imports,1,2,3002.10.00.42,"Sera and antisera, of animal origin, for parenteral administration in humans",199801,201612,0,succeeded,3002.12.00.21
IMR-3002100042-199801,IM-3002102110-198801,imports,2,2,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,0,active,
IMR-3002100049-199801,IM-3002102110-198801,imports,1,2,3002.10.00.49,"Blood albumin, nes, of animal origin, for parenteral administration in humans",199801,201612,1,succeeded,3002.12.00.21
IMR-3002100049-199801,IM-3002102110-198801,imports,2,2,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,0,active,
IMR-3002100049-200201,IM-3002102110-198801,imports,1,2,3002.10.00.49,"Blood albumin, nes, of animal origin, for parenteral administration in humans",200201,201612,0,succeeded,3002.12.00.21
IMR-3002100049-200201,IM-3002102110-198801,imports,2,2,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,0,active,
IMR-3002100051-199801,IM-3002102110-198801,imports,1,2,3002.10.00.51,"Blood fractions, nes, for use in humans",199801,201612,0,succeeded,3002.12.00.21
IMR-3002100051-199801,IM-3002102110-198801,imports,2,2,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,0,active,
IMR-3002100059-199801,IM-3002102920-198801,imports,1,2,3002.10.00.59,"Blood fractions, nes",199801,201612,0,succeeded,3002.12.00.29
IMR-3002100059-199801,IM-3002102920-198801,imports,2,2,3002.12.00.29,"Animal antisera and other animal blood fractions, nes",201701,202606,0,active,
IMR-3002100060-200302,IM-3002901020-198801,imports,1,4,3002.10.00.60,Modified immunological products,200302,201112,0,succeeded,3002.10.00.90
IMR-3002100060-200302,IM-3002901020-198801,imports,2,4,3002.10.00.90,"Antisera,o blood fract,immunological prod,w/n mod/obt biotechnological proc,nes",201201,201612,0,succeeded,3002.19.00.00
IMR-3002100060-200302,IM-3002901020-198801,imports,3,4,3002.19.00.00,"Immunological products, nes, w/n modified/obtained by biotechnological processes",201701,202112,0,succeeded,3002.90.00.90
IMR-3002100060-200302,IM-3002901020-198801,imports,4,4,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,0,active,
IMR-3002100090-201201,IM-3002901020-198801,imports,1,3,3002.10.00.90,"Antisera,o blood fract,immunological prod,w/n mod/obt biotechnological proc,nes",201201,201612,0,succeeded,3002.19.00.00
IMR-3002100090-201201,IM-3002901020-198801,imports,2,3,3002.19.00.00,"Immunological products, nes, w/n modified/obtained by biotechnological processes",201701,202112,0,succeeded,3002.90.00.90
IMR-3002100090-201201,IM-3002901020-198801,imports,3,3,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,0,active,
IMR-3002101010-198801,IM-3002101010-198801,imports,1,3,3002.10.10.10,"Antisera & o blood fractions, human origin, for diagnostic use",198801,199712,0,succeeded,3002.10.00.10
IMR-3002101010-198801,IM-3002101010-198801,imports,2,3,3002.10.00.10,"Antisera & o blood fractions, human origin, for diagnostic use",199801,201612,0,succeeded,3002.12.00.11
IMR-3002101010-198801,IM-3002101010-198801,imports,3,3,3002.12.00.11,"Human antisera and other human blood fractions, for diagnostic use",201701,202606,0,active,
IMR-3002101021-198801,IM-3002101021-198801,imports,1,3,3002.10.10.21,"Blood plasma, for therapeutic or prophylactic use in humans",198801,199712,0,succeeded,3002.10.00.21
IMR-3002101021-198801,IM-3002101021-198801,imports,2,3,3002.10.00.21,"Blood plasma, for therapeutic or prophylactic use in humans",199801,201612,0,succeeded,3002.12.00.12
IMR-3002101021-198801,IM-3002101021-198801,imports,3,3,3002.12.00.12,"Human blood plasma, for therapeutic/prophylactic/other uses",201701,202606,0,active,
IMR-3002101022-198801,IM-3002101022-198801,imports,1,3,3002.10.10.22,"Normal serum globulin, for therapeutic or prophylactic use in humans",198801,199712,0,succeeded,3002.10.00.22
IMR-3002101022-198801,IM-3002101022-198801,imports,2,3,3002.10.00.22,"Normal serum globulin, for therapeutic or prophylactic use in humans",199801,201612,0,succeeded,3002.12.00.19
IMR-3002101022-198801,IM-3002101022-198801,imports,3,3,3002.12.00.19,"Human antisera and other human blood fractions, nes",201701,202606,0,active,
IMR-3002101023-199001,IM-3002101023-199001,imports,1,3,3002.10.10.23,"Immune serum globulin, for therapeutic or prophylactic use in humans",199001,199712,0,succeeded,3002.10.00.23
IMR-3002101023-199001,IM-3002101023-199001,imports,2,3,3002.10.00.23,"Immune serum globulin, for therapeutic or prophylactic use in humans",199801,201612,0,succeeded,3002.12.00.13
IMR-3002101023-199001,IM-3002101023-199001,imports,3,3,3002.12.00.13,"Human immune globulin, for therapeutic/prophylactic/other uses",201701,202606,0,active,
IMR-3002101029-198801,IM-3002101022-198801,imports,1,3,3002.10.10.29,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",198801,199712,0,succeeded,3002.10.00.29
IMR-3002101029-198801,IM-3002101022-198801,imports,2,3,3002.10.00.29,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",199801,201612,0,succeeded,3002.12.00.19
IMR-3002101029-198801,IM-3002101022-198801,imports,3,3,3002.12.00.19,"Human antisera and other human blood fractions, nes",201701,202606,0,active,
IMR-3002101090-198801,IM-3002101022-198801,imports,1,3,3002.10.10.90,"Antisera & o blood fractions, of human origin, for other uses",198801,199712,0,succeeded,3002.10.00.30
IMR-3002101090-198801,IM-3002101022-198801,imports,2,3,3002.10.00.30,"Antisera and other blood fractions, of human origin, for other uses",199801,201612,1,succeeded,3002.12.00.19
