uid,orig_commodity,orig_first_period,orig_last_period,orig_status,n_steps_in_chain,journey,family_id,latest_commodity,final_status
IMR_0001,"3001.10.00.10 - Animal glands, dried, powdered or not, for therapeutic uses (Terminated 2006-12)",1988-01-01,2006-12-01,ended_2006-12,2,3001.10.00.10 -> 3001.20.00.00,IM_0001,"3001.20.00.00 - Extracts of glands or other organs or of their secretions, for therapeutic uses",active
IMR_0002,"3001.10.00.90 - Glands, nes, and other organs, dried, powdered or not, for therapeutic uses (Terminated 2006-12)",1988-01-01,2006-12-01,ended_2006-12,2,3001.10.00.90 -> 3001.20.00.00,IM_0001,"3001.20.00.00 - Extracts of glands or other organs or of their secretions, for therapeutic uses",active
IMR_0003,"3001.20.00.00 - Extracts of glands or other organs or of their secretions, for therapeutic uses",1988-01-01,2025-12-01,active,1,3001.20.00.00,IM_0001,"3001.20.00.00 - Extracts of glands or other organs or of their secretions, for therapeutic uses",active
IMR_0004,3001.90.00.10 - Heparin and its salts,1998-01-01,2025-12-01,active,1,3001.90.00.10,IM_0004,3001.90.00.10 - Heparin and its salts,active
IMR_0005,"3001.90.00.20 - Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",1998-01-01,2025-12-01,active,1,3001.90.00.20,IM_0005,"3001.90.00.20 - Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",active
IMR_0006,"3001.90.00.90 - Heparin & its salts; human or animal substances for therap or prophltc uses, nes",2002-01-01,2025-12-01,active,1,3001.90.00.90,IM_0006,"3001.90.00.90 - Heparin & its salts; human or animal substances for therap or prophltc uses, nes",active
IMR_0007,"3001.90.00.90 - Other human or animal subs prepared for therapeutic or prophylactic uses, nes",1998-01-01,2001-12-01,ended_2001-12,1,3001.90.00.90,IM_0006,"3001.90.00.90 - Heparin & its salts; human or animal substances for therap or prophltc uses, nes",active
IMR_0008,3001.90.10.00 - Heparin and its salts (Terminated 1997-12),1988-01-01,1997-12-01,ended_1997-12,2,3001.90.10.00 -> 3001.90.00.10,IM_0004,3001.90.00.10 - Heparin and its salts,active
IMR_0009,"3001.90.20.00 - Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,2,3001.90.20.00 -> 3001.90.00.20,IM_0005,"3001.90.00.20 - Bone, organs & o human/animal tissue, living/preserved,for grafting/implantation",active
IMR_0010,"3001.90.90.00 - Other human or animal subs prepared for therapeutic or prophylactic uses, nes (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,2,3001.90.90.00 -> 3001.90.00.90,IM_0006,"3001.90.00.90 - Heparin & its salts; human or animal substances for therap or prophltc uses, nes",active
IMR_0011,"3002.10.00.10 - Antisera & o blood fractions, human origin, for diagnostic use (Terminated 2016-12)",1998-01-01,2016-12-01,ended_2016-12,2,3002.10.00.10 -> 3002.12.00.11,IM_0007,"3002.12.00.11 - Human antisera and other human blood fractions, for diagnostic use",active
IMR_0012,"3002.10.00.21 - Blood plasma, for therapeutic or prophylactic use in humans (Terminated 2016-12)",1998-01-01,2016-12-01,ended_2016-12,2,3002.10.00.21 -> 3002.12.00.12,IM_0008,"3002.12.00.12 - Human blood plasma, for therapeutic/prophylactic/other uses",active
IMR_0013,"3002.10.00.22 - Normal serum globulin, for therapeutic or prophylactic use in humans (Terminated 2016-12)",1998-01-01,2016-12-01,ended_2016-12,2,3002.10.00.22 -> 3002.12.00.13,IM_0009,"3002.12.00.13 - Human immune globulin, for therapeutic/prophylactic/other uses",active
IMR_0014,"3002.10.00.23 - Immune serum globulin, for therapeutic or prophylactic use in humans (Terminated 2016-12)",1998-01-01,2016-12-01,ended_2016-12,2,3002.10.00.23 -> 3002.12.00.13,IM_0009,"3002.12.00.13 - Human immune globulin, for therapeutic/prophylactic/other uses",active
IMR_0015,"3002.10.00.29 - Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes (Terminated 2016-12)",1998-01-01,2016-12-01,ended_2016-12,2,3002.10.00.29 -> 3002.12.00.12,IM_0008,"3002.12.00.12 - Human blood plasma, for therapeutic/prophylactic/other uses",active
IMR_0016,"3002.10.00.30 - Antisera & o blood fractions, of human origin, for other uses (Terminated 2016-12)",1998-01-01,2001-12-01,ended_2001-12,2,3002.10.00.30 -> 3002.12.00.11,IM_0007,"3002.12.00.11 - Human antisera and other human blood fractions, for diagnostic use",active
IMR_0017,"3002.10.00.30 - Antisera and other blood fractions, of human origin, for other uses (Terminated 2016-12)",2002-01-01,2016-12-01,ended_2016-12,2,3002.10.00.30 -> 3002.12.00.11,IM_0007,"3002.12.00.11 - Human antisera and other human blood fractions, for diagnostic use",active
IMR_0018,"3002.10.00.41 - Bovine albumin, for parenteral administration in humans (Terminated 2016-12)",1998-01-01,2016-12-01,ended_2016-12,2,3002.10.00.41 -> 3002.12.00.21,IM_0013,"3002.12.00.21 - Animal antisera and other animal blood fractions, for use in humans",active
IMR_0019,"3002.10.00.42 - Sera and antisera, of animal origin, for parenteral administration in humans (Terminated 2016-12)",1998-01-01,2016-12-01,ended_2016-12,2,3002.10.00.42 -> 3002.12.00.21,IM_0013,"3002.12.00.21 - Animal antisera and other animal blood fractions, for use in humans",active
IMR_0020,"3002.10.00.49 - Blood albumin nes, of animal origin, for parenteral administration in humans (Terminated 2016-12)",1998-01-01,2001-12-01,ended_2001-12,2,3002.10.00.49 -> 3002.12.00.21,IM_0013,"3002.12.00.21 - Animal antisera and other animal blood fractions, for use in humans",active
IMR_0021,"3002.10.00.49 - Blood albumin, nes, of animal origin, for parenteral administration in humans (Terminated 2016-12)",2002-01-01,2016-12-01,ended_2016-12,2,3002.10.00.49 -> 3002.12.00.21,IM_0013,"3002.12.00.21 - Animal antisera and other animal blood fractions, for use in humans",active
